// <0000> あの日から、数日を経た。
<0000> あの日から、数日を経た。

// <1791> お陰で俺はもう本当に、緊張どころか、微笑ましいくらいにリラックスしてきたぜ。
<1791> お陰で俺はもう本当に、緊張どころか、微笑ましいくらいにリラックスしてきたぜ。

// <1792> ルチアほど、何を考え、何を求めているのか顔に出やすい子もいないだろう。
<1792> ルチアほど、何を考え、何を求めているのか顔に出やすい子もいないだろう。

// <1793> だから俺は、彼女の求める答えを、茶化さずにストレートに教えてやる。
<1793> だから俺は、彼女の求める答えを、茶化さずにストレートに教えてやる。

// <1794> 瑚太朗
<1794> 瑚太朗

// <1795> 「その静流の問いに、俺はこう答えたぜ」
<1795> 「その静流の問いに、俺はこう答えたぜ」

// <1796> ルチア
<1796> ルチア

// <1797> 「ん、……うん…。…それで……？」
<1797> 「ん、……うん…。…それで……？」

// <1798> 真っ赤な顔のまま、……判決を待つかのような表情で、俺をじっと見ている。
<1798> 真っ赤な顔のまま、……判決を待つかのような表情で、俺をじっと見ている。

// <1799> まるで手の平の上でぷるぷる震える、ハムスターみたいな表情だった。
<1799> まるで手の平の上でぷるぷる震える、ハムスターみたいな表情だった。

// <1800> 今までの俺だったら、その表情を見て、茶化したい、ふざけたいと思っただろう。
<1800> 今までの俺だったら、その表情を見て、茶化したい、ふざけたいと思っただろう。

// <1801> しかし、今の俺は違う。…そんな彼女の表情を、率直に可愛いと思えた。
<1801> しかし、今の俺は違う。…そんな彼女の表情を、率直に可愛いと思えた。

// <1802> だから、素直に言ってやる。
<1802> だから、素直に言ってやる。

// <1803> 瑚太朗
<1803> 瑚太朗

// <1804> 「此花ルチアを」
<1804> 「此花ルチアを」

// <1805> ルチア
<1805> ルチア

// <1806> 「う、……うん…」
<1806> 「う、……うん…」

// <1807> 瑚太朗
<1807> 瑚太朗

// <1808> 「此花ルチアを、永遠にひとりぼっちにしない。そう、静流に誓ったぜ」
<1808> 「此花ルチアを、永遠にひとりぼっちにしない。そう、静流に誓ったぜ」

// <1809> ルチア
<1809> ルチア

// <1810> 「……ん、……ぁ……」
<1810> 「……ん、……ぁ……」

// <1811> 素直に言えば、彼女だって素直に聞いてくれるはずだ。
<1811> 素直に言えば、彼女だって素直に聞いてくれるはずだ。

// <1812> 彼女だって、鉄拳で自分の感情を誤魔化したりはしないんだ…。
<1812> 彼女だって、鉄拳で自分の感情を誤魔化したりはしないんだ…。

// <1813> ルチア
<1813> ルチア

// <1814> 「そッ、そそ、そんなことをバスの中で言うやつがあるかぁああああああぁっ…ぁぁぁ…っ、ぁぁ、ぁぁ……っ」
<1814> 「そッ、そそ、そんなことをバスの中で言うやつがあるかぁああああああぁっ…ぁぁぁ…っ、ぁぁ、ぁぁ……っ」

// <1815> 瑚太朗
<1815> 瑚太朗

// <1816> 「だぁかぁらぁあああ、照れ隠しに人を殴るのはやめろってのー！！　たまにゃ俺も殴り返すぞ…、……っと……」
<1816> 「だぁかぁらぁあああ、照れ隠しに人を殴るのはやめろってのー！！　たまにゃ俺も殴り返すぞ…、……っと……」

// <1817> ルチア
<1817> ルチア

// <1818> 「………ぁぁ……ぅぅぅ……」
<1818> 「………ぁぁ……ぅぅぅ……」

// <1819> ルチアは、真っ赤な顔のまま歯を食い縛り、両目をぎゅっと閉じて、……まるで何かの激情に耐えるかのような表情をしていた。
<1819> ルチアは、真っ赤な顔のまま歯を食い縛り、両目をぎゅっと閉じて、……まるで何かの激情に耐えるかのような表情をしていた。

// <1820> その固く閉じた瞼に、一粒の涙が浮かぶ。
<1820> その固く閉じた瞼に、一粒の涙が浮かぶ。

// <1821> 瑚太朗
<1821> 瑚太朗

// <1822> 「……ルチア」
<1822> 「……ルチア」

// <1823> ルチア
<1823> ルチア

// <1824> 「ご……、…………」
<1824> 「ご……、…………」

// <1825> 瑚太朗
<1825> 瑚太朗

// <1826> 「…………」
<1826> 「…………」

// <1827> ルチア
<1827> ルチア

// <1828> 「…ごめん……なさい…。……もう、…照れ隠しで、……殴ったりしないから……」
<1828> 「…ごめん……なさい…。……もう、…照れ隠しで、……殴ったりしないから……」

// <1829> 信念を絶対に曲げないが、逆に、自らの過ちも決して認めなさそうな彼女が、……しおらしく謝るので、面食らう。
<1829> 信念を絶対に曲げないが、逆に、自らの過ちも決して認めなさそうな彼女が、……しおらしく謝るので、面食らう。

// <1830> そして、彼女は憑き物が落ちたような表情で、もう一度、……求めた。
<1830> そして、彼女は憑き物が落ちたような表情で、もう一度、……求めた。

// <1831> ルチア
<1831> ルチア

// <1832> 「もう、……殴らないから……。だから、……お、……お願……い…」
<1832> 「もう、……殴らないから……。だから、……お、……お願……い…」

// <1833> ルチアは、生涯において、二度とこれ以上のことは願わないとでも言うような、悲壮な決意の表情で…。
<1833> ルチアは、生涯において、二度とこれ以上のことは願わないとでも言うような、悲壮な決意の表情で…。

// <1834> ……絞り出すように言う。
<1834> ……絞り出すように言う。

// <1835> ルチア
<1835> ルチア

// <1836> 「……っかい、……って……」
<1836> 「……っかい、……って……」

// <1837> 瑚太朗
<1837> 瑚太朗

// <1838> 「え？　悪い、もう一度」
<1838> 「え？　悪い、もう一度」

// <1839> ルチア
<1839> ルチア

// <1840> 「………っかい、…って……。……んんん……」
<1840> 「………っかい、…って……。……んんん……」

// <1841> たどたどしくて、聞き取り難い。
<1841> たどたどしくて、聞き取り難い。

// <1842> しかし、彼女が何を求めたのか、理解できた。
<1842> しかし、彼女が何を求めたのか、理解できた。

// <1843> そしてそれが理解できた時。俺は彼女のことが、……どうしようもないくらい、愛おしくなるのを感じる…。
<1843> そしてそれが理解できた時。俺は彼女のことが、……どうしようもないくらい、愛おしくなるのを感じる…。

// <1844> 瑚太朗
<1844> 瑚太朗

// <1845> 「いつもの俺なら。……ここは茶化すところなんだよなー」
<1845> 「いつもの俺なら。……ここは茶化すところなんだよなー」

// <1846> ルチアは、照れ隠しにもう二度と殴らないと約束した。
<1846> ルチアは、照れ隠しにもう二度と殴らないと約束した。

// <1847> じゃあ俺もだな。
<1847> じゃあ俺もだな。

// <1848> 俺も、もう二度と。照れ隠しにふざけたり茶化したりしない。
<1848> 俺も、もう二度と。照れ隠しにふざけたり茶化したりしない。

// <1849> 瑚太朗
<1849> 瑚太朗

// <1850> 「じゃあ。もう一回言うぞ。俺は静流の前で、……静流とルチアに誓ったぜ」
<1850> 「じゃあ。もう一回言うぞ。俺は静流の前で、……静流とルチアに誓ったぜ」

// <1851> ルチア
<1851> ルチア

// <1852> 「……うん……」
<1852> 「……うん……」

// <1853> 瑚太朗
<1853> 瑚太朗

// <1854> 「天王寺瑚太朗は此花ルチアを。永遠にひとりぼっちにしないってな」
<1854> 「天王寺瑚太朗は此花ルチアを。永遠にひとりぼっちにしないってな」

// <1855> ルチア
<1855> ルチア

// <1856> 「も、……もう一回……」
<1856> 「も、……もう一回……」

// <1857> 瑚太朗
<1857> 瑚太朗

// <1858> 「今ちゃんと言ったからもうダメー」
<1858> 「今ちゃんと言ったからもうダメー」

// <1859> ルチア
<1859> ルチア

// <1860> 「…ちゃ、ちゃんと聞こえなかったからもう一回…！」
<1860> 「…ちゃ、ちゃんと聞こえなかったからもう一回…！」

// <1861> 瑚太朗
<1861> 瑚太朗

// <1862> 「うーん、どーしよーかなぁ。今度は家に来て食事を作ってもらおうかなぁ」
<1862> 「うーん、どーしよーかなぁ。今度は家に来て食事を作ってもらおうかなぁ」

// <1863> ルチア
<1863> ルチア

// <1864> 「…う、…うん…。作るから。またあの服でご飯作るから…」
<1864> 「…う、…うん…。作るから。またあの服でご飯作るから…」

// <1865> 瑚太朗
<1865> 瑚太朗

// <1866> 「うおあ、そこまでは頼んでませんが、大いに歓迎です万々歳ですっ」
<1866> 「うおあ、そこまでは頼んでませんが、大いに歓迎です万々歳ですっ」

// <1867> ルチア
<1867> ルチア

// <1868> 「だから、……もう一回だけ、……聞かせ…て…？」
<1868> 「だから、……もう一回だけ、……聞かせ…て…？」

// <1869> よく聞く、潤んだ瞳で見上げて…、という表現。
<1869> よく聞く、潤んだ瞳で見上げて…、という表現。

// <1870> 言葉としては知っているが、本当に目が潤むわけないと思ってた。……目に埃が入ったわけじゃあるまいし。
<1870> 言葉としては知っているが、本当に目が潤むわけないと思ってた。……目に埃が入ったわけじゃあるまいし。

// <1871> ……でも。
<1871> ……でも。

// <1872> 先人の残したその表現は、何の誇張もなく、…本当に素直な表現だったことを、初めて知る。
<1872> 先人の残したその表現は、何の誇張もなく、…本当に素直な表現だったことを、初めて知る。

// <1873> 瑚太朗
<1873> 瑚太朗

// <1874> 「悪ぃ。もう茶化さねぇって決めたのにな」
<1874> 「悪ぃ。もう茶化さねぇって決めたのにな」

// <1875> ルチア
<1875> ルチア

// <1876> 「…………」
<1876> 「…………」

// <1877> 瑚太朗
<1877> 瑚太朗

// <1878> 「あぁ、もう一回言ってやるぜ。天王寺瑚太朗は誓ったぜ。此花ルチアを、永遠にひとりぼっちにしない、ってな」
<1878> 「あぁ、もう一回言ってやるぜ。天王寺瑚太朗は誓ったぜ。此花ルチアを、永遠にひとりぼっちにしない、ってな」

// <1879> ルチア
<1879> ルチア

// <1880> 「もう一回」
<1880> 「もう一回」

// <1881> 瑚太朗
<1881> 瑚太朗

// <1882> 「ダメ」
<1882> 「ダメ」

// <1883> ルチア
<1883> ルチア

// <1884> 「へ、減るもんじゃないだろうにっ」
<1884> 「へ、減るもんじゃないだろうにっ」

// <1885> 瑚太朗
<1885> 瑚太朗

// <1886> 「減るの。言葉の価値ってのは。携帯と同じで充電が必要なのっ」
<1886> 「減るの。言葉の価値ってのは。携帯と同じで充電が必要なのっ」

// <1887> ルチア
<1887> ルチア

// <1888> 「じゃあ充電が終わるまで待ってる」
<1888> 「じゃあ充電が終わるまで待ってる」

// <1889> 瑚太朗
<1889> 瑚太朗

// <1890> 「け、携帯の充電みたいにほんの数時間で終わるもんじゃねぇよ」
<1890> 「け、携帯の充電みたいにほんの数時間で終わるもんじゃねぇよ」

// <1891> 瑚太朗
<1891> 瑚太朗

// <1892> 「……また充電が終わったら。その都度、ちゃんと言ってやるから」
<1892> 「……また充電が終わったら。その都度、ちゃんと言ってやるから」

// <1893> ルチア
<1893> ルチア

// <1894> 「待ってる。ずっと待ってるから。近くにいなかったら電話でもいいから」
<1894> 「待ってる。ずっと待ってるから。近くにいなかったら電話でもいいから」

// <1895> 瑚太朗
<1895> 瑚太朗

// <1896> 「へいへい。深夜だったらメールで言ってやる」
<1896> 「へいへい。深夜だったらメールで言ってやる」

// <1897> ルチア
<1897> ルチア

// <1898> 「だ、駄目っ…。……電話でもいいから、……声が、…いい…」
<1898> 「だ、駄目っ…。……電話でもいいから、……声が、…いい…」

// <1899> 瑚太朗
<1899> 瑚太朗

// <1900> 「…お、……お前ってさ」
<1900> 「…お、……お前ってさ」

// <1901> ルチア
<1901> ルチア

// <1902> 「う、うん。……何……？」
<1902> 「う、うん。……何……？」

// <1903> お前ってさ。こんな、……可愛いヤツだったっけ。
<1903> お前ってさ。こんな、……可愛いヤツだったっけ。

// <1904> それまでの学校では、ことあるごとに痴漢だの女の敵だのと、ドッカンバッカンぶん殴られた。
<1904> それまでの学校では、ことあるごとに痴漢だの女の敵だのと、ドッカンバッカンぶん殴られた。

// <1905> 性格も、女の子らしい性格というよりは、正義の委員長そのもので。喋り方も含めてサムライみたいな子だと思ってた。
<1905> 性格も、女の子らしい性格というよりは、正義の委員長そのもので。喋り方も含めてサムライみたいな子だと思ってた。

// <1906> しかも、ついさっきまでは、緊張でガッチガチで。わけのわからん尾行確認ごっこに延々と付き合わされたんだ。
<1906> しかも、ついさっきまでは、緊張でガッチガチで。わけのわからん尾行確認ごっこに延々と付き合わされたんだ。

// <1907> それから、まだほんの１０分しか経ってないってのに、……これだけしおらしく、可愛らしくなりやがる。
<1907> それから、まだほんの１０分しか経ってないってのに、……これだけしおらしく、可愛らしくなりやがる。

// <1908> バスに乗る時もまだ、静流がきっと尾行してる云々っ、と騒いでいた少女は…。
<1908> バスに乗る時もまだ、静流がきっと尾行してる云々っ、と騒いでいた少女は…。

// <1909> 降りる頃には、しおらしく俯いて、瞳を潤ませる可憐な少女になっているのだ。
<1909> 降りる頃には、しおらしく俯いて、瞳を潤ませる可憐な少女になっているのだ。

// <1910> ルチア
<1910> ルチア

// <1911> 「約束だぞ…？　充電が終わったら、きっとまた言うんだぞ……？」
<1911> 「約束だぞ…？　充電が終わったら、きっとまた言うんだぞ……？」

// <1912> 瑚太朗
<1912> 瑚太朗

// <1913> 「あぁ、男と男の、…じゃねぇっ、男と女の約束だ。約束は絶対守るぜ」
<1913> 「あぁ、男と男の、…じゃねぇっ、男と女の約束だ。約束は絶対守るぜ」

// <1914> ルチア
<1914> ルチア

// <1915> 「うん。……わ、私も、……や、約束守ってちゃんと、……あの格好で食事を作りに行く……から……」
<1915> 「うん。……わ、私も、……や、約束守ってちゃんと、……あの格好で食事を作りに行く……から……」

// <1916> 瑚太朗
<1916> 瑚太朗

// <1917> 「行くからって、………ルチアさん。あの格好でウチまで来なくていいんですからね？」
<1917> 「行くからって、………ルチアさん。あの格好でウチまで来なくていいんですからね？」

// <1918> ルチア
<1918> ルチア

// <1919> 「そ、そうなのかっ…！？　て、てっきり…、」
<1919> 「そ、そうなのかっ…！？　て、てっきり…、」

// <1920> ルチアは茹でられたみたいに、さらに顔を真っ赤にして、ぷるぷる震えながら俯く。
<1920> ルチアは茹でられたみたいに、さらに顔を真っ赤にして、ぷるぷる震えながら俯く。

// <1921> ……危ない危ない…。もうすぐでルチアは、あのコスプレ姿のままでウチまでやって来るところだったぜ…。
<1921> ……危ない危ない…。もうすぐでルチアは、あのコスプレ姿のままでウチまでやって来るところだったぜ…。

// <1922> みんな、コスプレは許可されたスペースだけでだぜ。マナーは守ろうなっ。
<1922> みんな、コスプレは許可されたスペースだけでだぜ。マナーは守ろうなっ。

// <1923> ルチア
<1923> ルチア

// <1924> 「で、でも、……て、…天王寺の家で、……き、………着替えるの、…恥ずかしい…ぃ…」
<1924> 「で、でも、……て、…天王寺の家で、……き、………着替えるの、…恥ずかしい…ぃ…」

// <1925> 瑚太朗
<1925> 瑚太朗

// <1926> 「あの格好で表を歩く方がよっぽど恥ずかしいっ」
<1926> 「あの格好で表を歩く方がよっぽど恥ずかしいっ」

// <1927> ルチア
<1927> ルチア

// <1928> 「お、……男の家で…き、着替え……、…服を脱ぐ方が、……よ、よっぽど恥ずかしいっ……」
<1928> 「お、……男の家で…き、着替え……、…服を脱ぐ方が、……よ、よっぽど恥ずかしいっ……」

// <1929> ルチア
<1929> ルチア

// <1930> 「……きゅぅぅぅぅぅぅ……」
<1930> 「……きゅぅぅぅぅぅぅ……」

// <1931> 瑚太朗
<1931> 瑚太朗

// <1932> 「…恥辱に悶えるルチアさん、マジでパネェっす。鼻血出るっす。ズズズズ」
<1932> 「…恥辱に悶えるルチアさん、マジでパネェっす。鼻血出るっす。ズズズズ」

// <1933> ルチア
<1933> ルチア

// <1934> 「そ、……そうだ。…あのメイドの服。どきどき♪メイドパーティーというゲームに出てくるそうだな」
<1934> 「そ、……そうだ。…あのメイドの服。どきどき♪メイドパーティーというゲームに出てくるそうだな」

// <1935> 瑚太朗
<1935> 瑚太朗

// <1936> 「うえッ？　あ？　そ、そうでしたっけ？　あ、あまりお奨め出来るゲームではありませんので……」
<1936> 「うえッ？　あ？　そ、そうでしたっけ？　あ、あまりお奨め出来るゲームではありませんので……」

// <1937> な、何しろ、１８歳未満のお友達には推奨されてないゲームだからな……。
<1937> な、何しろ、１８歳未満のお友達には推奨されてないゲームだからな……。

// <1938> ルチア
<1938> ルチア

// <1939> 「ヤプオクで落札してみた。昨日振り込んだので、もうすぐ届くと思う」
<1939> 「ヤプオクで落札してみた。昨日振り込んだので、もうすぐ届くと思う」

// <1940> 瑚太朗
<1940> 瑚太朗

// <1941> 「げえええええぇぇぇ！！　だ、だめぇえええええ、買っちゃらめぇえええええ！！」
<1941> 「げえええええぇぇぇ！！　だ、だめぇえええええ、買っちゃらめぇえええええ！！」

// <1942> ルチア
<1942> ルチア

// <1943> 「どうやら、パソコンのゲームらしい。楽しみだっ」
<1943> 「どうやら、パソコンのゲームらしい。楽しみだっ」

// <1944> いいや、ダメですダメですっ、楽しみにしないで下さいっ！
<1944> いいや、ダメですダメですっ、楽しみにしないで下さいっ！

// <1945> 一見、純愛ゲームっぽいビジュアルですが、中身はとんでもない鬼畜ゲーですっ。
<1945> 一見、純愛ゲームっぽいビジュアルですが、中身はとんでもない鬼畜ゲーですっ。

// <1946> 瑚太朗
<1946> 瑚太朗

// <1947> 「ぜッ、全然ダメなゲームです、よい子にはお奨めできませんッ、っていうか殴られる、殺されるうう！！」
<1947> 「ぜッ、全然ダメなゲームです、よい子にはお奨めできませんッ、っていうか殴られる、殺されるうう！！」

// <1948> ルチア
<1948> ルチア

// <1949> 「……ね、年齢制限のあるゲームだというのは、……し、知ってる」
<1949> 「……ね、年齢制限のあるゲームだというのは、……し、知ってる」

// <1950> 瑚太朗
<1950> 瑚太朗

// <1951> 「ど、どうして年齢制限があるか、ご、ご存知で……？」
<1951> 「ど、どうして年齢制限があるか、ご、ご存知で……？」

// <1952> ルチア
<1952> ルチア

// <1953> 「…が、……画像検索したらその、……そういう…、が、画像がいっぱい出てきた…」
<1953> 「…が、……画像検索したらその、……そういう…、が、画像がいっぱい出てきた…」

// <1954> 瑚太朗
<1954> 瑚太朗

// <1955> 「ひ、ひぃいいいいいいいいいい…！！」
<1955> 「ひ、ひぃいいいいいいいいいい…！！」

// <1956> ルチア
<1956> ルチア

// <1957> 「で、でも、……やってみたい」
<1957> 「で、でも、……やってみたい」

// <1958> 瑚太朗
<1958> 瑚太朗

// <1959> 「どッ、どうしてっ！？」
<1959> 「どッ、どうしてっ！？」

// <1960> ルチア
<1960> ルチア

// <1961> 「天王寺が知ってるゲームなら、私も知りたいと思う」
<1961> 「天王寺が知ってるゲームなら、私も知りたいと思う」

// <1962> ルチアは、どういうゲームなのかを一応は察してるのに、……無邪気そうに、はにかみながら、そう言う。
<1962> ルチアは、どういうゲームなのかを一応は察してるのに、……無邪気そうに、はにかみながら、そう言う。

// <1963> ルチア
<1963> ルチア

// <1964> 「天王寺は、……私のことを知ろうとしてくれた」
<1964> 「天王寺は、……私のことを知ろうとしてくれた」

// <1965> ルチア
<1965> ルチア

// <1966> 「…誰かに理解してほしいと願いながら、私自らが遠ざけてきたのに、……それでもなお、私のことを知ろうとしてくれた」
<1966> 「…誰かに理解してほしいと願いながら、私自らが遠ざけてきたのに、……それでもなお、私のことを知ろうとしてくれた」

// <1967> ルチア
<1967> ルチア

// <1968> 「……だから今度は、…私が知りたいんだ。天王寺の知ってることを」
<1968> 「……だから今度は、…私が知りたいんだ。天王寺の知ってることを」

// <1969> 瑚太朗
<1969> 瑚太朗

// <1970> 「ルチア……」
<1970> 「ルチア……」

// <1971> ルチア
<1971> ルチア

// <1972> 「……天王寺の知っていることは何でも知りたいし…」
<1972> 「……天王寺の知っていることは何でも知りたいし…」

// <1973> ルチア
<1973> ルチア

// <1974> 「……天王寺のことは、何でも知りたい。……何でも…」
<1974> 「……天王寺のことは、何でも知りたい。……何でも…」

// <1975> 瑚太朗
<1975> 瑚太朗

// <1976> 「…………」
<1976> 「…………」

// <1977> 恍惚で胸がいっぱいになる。
<1977> 恍惚で胸がいっぱいになる。

// <1978> それは時間の経ち方も日差しも穏やかになったかのように感じる、不思議な気持ちだった。
<1978> それは時間の経ち方も日差しも穏やかになったかのように感じる、不思議な気持ちだった。

// <1979> いやいや！　そんなまったりした感情で誤魔化しちゃダメだろ、あのゲームはまずいぃいいい！　殺されるぅううう！！
<1979> いやいや！　そんなまったりした感情で誤魔化しちゃダメだろ、あのゲームはまずいぃいいい！　殺されるぅううう！！

// <1980> ルチア
<1980> ルチア

// <1981> 「…………」
<1981> 「…………」

// <1982> しかし、そんな訳のわからん焦りも、……彼女のこんな表情を見ていると、すーっと消えていってしまうのだ。
<1982> しかし、そんな訳のわからん焦りも、……彼女のこんな表情を見ていると、すーっと消えていってしまうのだ。

// <1983> 女の子と付き合って、最初の共通の話題が、年齢制限のギャルゲーとは……。
<1983> 女の子と付き合って、最初の共通の話題が、年齢制限のギャルゲーとは……。

// <1984> 俺は今日までの行いを、少し悔いた方がいいな…。
<1984> 俺は今日までの行いを、少し悔いた方がいいな…。

// <1985> ルチア
<1985> ルチア

// <1986> 「天王寺、あれじゃないか？　ショッピングモール。ビルみたいだ」
<1986> 「天王寺、あれじゃないか？　ショッピングモール。ビルみたいだ」

// <1987> 瑚太朗
<1987> 瑚太朗

// <1988> 「ん？　おお、なかなかじゃないか」
<1988> 「ん？　おお、なかなかじゃないか」

// <1989> 窓から、今日の目的地が見えてくる。
<1989> 窓から、今日の目的地が見えてくる。

// <1990> ショッピングモール、ＫＡＺＡＭＯ。
<1990> ショッピングモール、ＫＡＺＡＭＯ。

// <1991> いや、正式名称はショッピングタワー、ＫＡＺＡＭＯだ。
<1991> いや、正式名称はショッピングタワー、ＫＡＺＡＭＯだ。

// <1992> 公式サイトによると、地上２０階建て、１０の大型店と１００以上の専門店が入っているらしい。
<1992> 公式サイトによると、地上２０階建て、１０の大型店と１００以上の専門店が入っているらしい。

// <1993> 賑やかな色彩と煌びやかな装飾はとても楽しげで、幼い頃に両親に遊園地に連れていってもらったことを想起させてくれた。
<1993> 賑やかな色彩と煌びやかな装飾はとても楽しげで、幼い頃に両親に遊園地に連れていってもらったことを想起させてくれた。

// <1994> バスを降りて改めて見上げると、本当になかなか立派だった。
<1994> バスを降りて改めて見上げると、本当になかなか立派だった。

// <1995> ショッピングモールを名乗るには、少々狭い敷地面積をフロア数でカバーした為、なるほど、モールというよりタワーって感じだった。
<1995> ショッピングモールを名乗るには、少々狭い敷地面積をフロア数でカバーした為、なるほど、モールというよりタワーって感じだった。

// <1996> サイトによると、内部は２０階までの壮大な、鏡張りの吹き抜けになっている。
<1996> サイトによると、内部は２０階までの壮大な、鏡張りの吹き抜けになっている。

// <1997> 口コミによると、その美しい吹き抜けをエスカレーターで昇るのが、とても楽しいそうだ。
<1997> 口コミによると、その美しい吹き抜けをエスカレーターで昇るのが、とても楽しいそうだ。

// <1998> 瑚太朗
<1998> 瑚太朗

// <1999> 「ルチアはよくこういうところへは来るのか？」
<1999> 「ルチアはよくこういうところへは来るのか？」

// <2000> ルチア
<2000> ルチア

// <2001> 「いいや。買い物はいつも近所だ」
<2001> 「いいや。買い物はいつも近所だ」

// <2002> 瑚太朗
<2002> 瑚太朗

// <2003> 「ずいぶん、色んな店があるみたいだな。とにかく入って、適当にぶらついてみようぜ」
<2003> 「ずいぶん、色んな店があるみたいだな。とにかく入って、適当にぶらついてみようぜ」

// <2004> ルチア
<2004> ルチア

// <2005> 「……あ、天王寺…」
<2005> 「……あ、天王寺…」

// <2006> 瑚太朗
<2006> 瑚太朗

// <2007> 「ん？　何だよ」
<2007> 「ん？　何だよ」

// <2008> ルチア
<2008> ルチア

// <2009> 「て、…天王寺は私のことを名前で呼んでるのに、その……」
<2009> 「て、…天王寺は私のことを名前で呼んでるのに、その……」

// <2010> ルチア
<2010> ルチア

// <2011> 「…わ、私だけ苗字で呼んでるのは、その、……おかしい」
<2011> 「…わ、私だけ苗字で呼んでるのは、その、……おかしい」

// <2012> 瑚太朗
<2012> 瑚太朗

// <2013> 「別におかしくなんかねぇだろ。好きな呼び方をしたらいいじゃねぇか」
<2013> 「別におかしくなんかねぇだろ。好きな呼び方をしたらいいじゃねぇか」

// <2014> ルチア
<2014> ルチア

// <2015> 「え、……ぁぅ…」
<2015> 「え、……ぁぅ…」

// <2016> さっきからずっと真っ赤なままだが、それでもなお赤くなる。
<2016> さっきからずっと真っ赤なままだが、それでもなお赤くなる。

// <2017> ……何でこいつは、この可愛い一面が素直に学校で出ねぇんだろうなぁ。
<2017> ……何でこいつは、この可愛い一面が素直に学校で出ねぇんだろうなぁ。

// <2018> えぇい、手間の掛かるヤツめっ。
<2018> えぇい、手間の掛かるヤツめっ。

// <2019> 瑚太朗
<2019> 瑚太朗

// <2020> 「そうだな。俺は苗字で呼ばれてるのに、ルチアのことは一方的に名前で呼んでるのはおかしいよな」
<2020> 「そうだな。俺は苗字で呼ばれてるのに、ルチアのことは一方的に名前で呼んでるのはおかしいよな」

// <2021> 瑚太朗
<2021> 瑚太朗

// <2022> 「よし、俺も合わせて、これからは此花と呼ぶことにしよう」
<2022> 「よし、俺も合わせて、これからは此花と呼ぶことにしよう」

// <2023> ルチア
<2023> ルチア

// <2024> 「え、……あ、…じゃなく……」
<2024> 「え、……あ、…じゃなく……」

// <2025> 瑚太朗
<2025> 瑚太朗

// <2026> 「苗字じゃ不満か？　じゃあ、名前の方で揃えることにするか」
<2026> 「苗字じゃ不満か？　じゃあ、名前の方で揃えることにするか」

// <2027> ルチア
<2027> ルチア

// <2028> 「ん、……う…ん」
<2028> 「ん、……う…ん」

// <2029> 瑚太朗
<2029> 瑚太朗

// <2030> 「俺はルチアのことをルチアって呼ぶ。ルチアは俺を？」
<2030> 「俺はルチアのことをルチアって呼ぶ。ルチアは俺を？」

// <2031> ルチア
<2031> ルチア

// <2032> 「こ、……こたろー…」
<2032> 「こ、……こたろー…」

// <2033> 瑚太朗
<2033> 瑚太朗

// <2034> 「おお、ルチアに瑚太朗と呼ばれると新鮮だな」
<2034> 「おお、ルチアに瑚太朗と呼ばれると新鮮だな」

// <2035> 瑚太朗
<2035> 瑚太朗

// <2036> 「そういえば、静流は俺のこと、気さくにコタローコタローって呼んでたよな」
<2036> 「そういえば、静流は俺のこと、気さくにコタローコタローって呼んでたよな」

// <2037> ルチア
<2037> ルチア

// <2038> 「し、静流の話は今日は無しだっ。今日は静流のことは忘れるっ」
<2038> 「し、静流の話は今日は無しだっ。今日は静流のことは忘れるっ」

// <2039> 瑚太朗
<2039> 瑚太朗

// <2040> 「何だよ、さっきまでは静流が尾行尾行って騒いでたくせに」
<2040> 「何だよ、さっきまでは静流が尾行尾行って騒いでたくせに」

// <2041> ルチア
<2041> ルチア

// <2042> 「ううううううぅ」
<2042> 「ううううううぅ」

// <2043> 瑚太朗
<2043> 瑚太朗

// <2044> 「何をむくれてんだよ。不機嫌な犬みたいな顔で」
<2044> 「何をむくれてんだよ。不機嫌な犬みたいな顔で」

// <2045> 瑚太朗
<2045> 瑚太朗

// <2046> 「せっかく遊びに来たんだから、もう少し機嫌よくしろよ」
<2046> 「せっかく遊びに来たんだから、もう少し機嫌よくしろよ」

// <2047> ルチア
<2047> ルチア

// <2048> 「こ、瑚太朗が悪い…」
<2048> 「こ、瑚太朗が悪い…」

// <2049> 瑚太朗
<2049> 瑚太朗

// <2050> 「悪かったよ、謝るから機嫌直せ。な？」
<2050> 「悪かったよ、謝るから機嫌直せ。な？」

// <2051> ルチア
<2051> ルチア

// <2052> 「……ん、……んん。……じゃ、じゃあ、て、……て」
<2052> 「……ん、……んん。……じゃ、じゃあ、て、……て」

// <2053> 瑚太朗
<2053> 瑚太朗

// <2054> 「て？」
<2054> 「て？」

// <2055> ルチア
<2055> ルチア

// <2056> 「……今日一日、……て、…手を繋いでくれたら、……ゆ、ゆゆ、許す」
<2056> 「……今日一日、……て、…手を繋いでくれたら、……ゆ、ゆゆ、許す」

