// <0000> 決まりだ。後はみんなが集まるのを待とう。
<0000> 決まりだ。後はみんなが集まるのを待とう。
// <0723> 「止めろぉーっ！　狼の過去を暴くんじゃねぇーーっ！！」
<0723> 「止めろぉーっ！　狼の過去を暴くんじゃねぇーーっ！！」

// <0724> ばあちゃん
<0724> ばあちゃん

// <0725> 「シンゴ君、今は一緒じゃないのかい」
<0725> 「シンゴ君、今は一緒じゃないのかい」

// <0726> 吉野
<0726> 吉野

// <0727> 「あいつは中学別になっちまってから、たまにしか会わねえ」
<0727> 「あいつは中学別になっちまってから、たまにしか会わねえ」

// <0728> ばあちゃん
<0728> ばあちゃん

// <0729> 「そうかい、いつもケンカばかりしてたから、どうなってるか心配だったんだけどねえ」
<0729> 「そうかい、いつもケンカばかりしてたから、どうなってるか心配だったんだけどねえ」

// <0730> 瑚太朗
<0730> 瑚太朗

// <0731> 「お前本当に成長してねぇな…」
<0731> 「お前本当に成長してねぇな…」

// <0732> 吉野
<0732> 吉野

// <0733> 「いつまでも牙を失わねえと言え…」
<0733> 「いつまでも牙を失わねえと言え…」

// <0734> ちはや
<0734> ちはや

// <0735> 「過去は捨てたんじゃなかったんです？」
<0735> 「過去は捨てたんじゃなかったんです？」

// <0736> 吉野
<0736> 吉野

// <0737> 「ぐっ…」
<0737> 「ぐっ…」

// <0738> 吉野
<0738> 吉野

// <0739> 「ぐおおおおぉぉぉ…」
<0739> 「ぐおおおおぉぉぉ…」

// <0740> 朱音
<0740> 朱音

// <0741> 「知恵熱が出るからそのあたりにしてあげなさい」
<0741> 「知恵熱が出るからそのあたりにしてあげなさい」

// <0742> 小鳥
<0742> 小鳥

// <0743> 「それで、吉野君は最後の挨拶？」
<0743> 「それで、吉野君は最後の挨拶？」

// <0744> 吉野
<0744> 吉野

// <0745> 「…ぐ…」
<0745> 「…ぐ…」

// <0746> 吉野
<0746> 吉野

// <0747> 「…そんな殊勝なもんじゃねえ…心残りがあったからよ」
<0747> 「…そんな殊勝なもんじゃねえ…心残りがあったからよ」

// <0748> 瑚太朗
<0748> 瑚太朗

// <0749> 「ほう」
<0749> 「ほう」

// <0750> 吉野
<0750> 吉野

// <0751> 「かつてここに…伝説と呼ばれた武器があった」
<0751> 「かつてここに…伝説と呼ばれた武器があった」

// <0752> 吉野
<0752> 吉野

// <0753> 「だがそいつは、誰にも抜くことが出来ねえ…選ばれし者にしか抜けない剣だというレジェンドさ」
<0753> 「だがそいつは、誰にも抜くことが出来ねえ…選ばれし者にしか抜けない剣だというレジェンドさ」

// <0754> 吉野
<0754> 吉野

// <0755> 「無論、かつてのオレにはどうにもならなかったものだ」
<0755> 「無論、かつてのオレにはどうにもならなかったものだ」

// <0756> 静流
<0756> 静流

// <0757> 「聖剣エクスカリバーか…」
<0757> 「聖剣エクスカリバーか…」

// <0758> 吉野
<0758> 吉野

// <0759> 「あるいはそう呼ぶのかも知れねえ」
<0759> 「あるいはそう呼ぶのかも知れねえ」

// <0760> 小鳥
<0760> 小鳥

// <0761> 「プラスチック…」
<0761> 「プラスチック…」

// <0762> 吉野
<0762> 吉野

// <0763> 「くだらねえ伝説だが、レジェンドをレジェンドのままにはしておきたかぁねえ」
<0763> 「くだらねえ伝説だが、レジェンドをレジェンドのままにはしておきたかぁねえ」

// <0764> 吉野
<0764> 吉野

// <0765> 「このオレが…レジェンドにピリオドを打ってやろうと思ってな」
<0765> 「このオレが…レジェンドにピリオドを打ってやろうと思ってな」

// <0766> 吉野
<0766> 吉野

// <0767> 「さあ、どきな…これはオレの永劫ともいえる意地と…レジェンドとの戦いだ」
<0767> 「さあ、どきな…これはオレの永劫ともいえる意地と…レジェンドとの戦いだ」

// <0768> 吉野
<0768> 吉野

// <0769> 「誰にも邪魔はさせねえ…これが本当にオレの過去との決別なのさ」
<0769> 「誰にも邪魔はさせねえ…これが本当にオレの過去との決別なのさ」

// <0770> 吉野
<0770> 吉野

// <0771> 「フィナーレを奏でてやる…この手でな…！」
<0771> 「フィナーレを奏でてやる…この手でな…！」

// <0772> 瑚太朗
<0772> 瑚太朗

// <0773> 「その伝説なら、さっきちはやが何の苦もなくピリオドを打ったばかりだぞ」
<0773> 「その伝説なら、さっきちはやが何の苦もなくピリオドを打ったばかりだぞ」

// <0774> 吉野
<0774> 吉野

// <0775> 「………」
<0775> 「………」

// <0776> ちはや
<0776> ちはや

// <0777> 「ああ、はい、これですね」
<0777> 「ああ、はい、これですね」

// <0778> ちはや
<0778> ちはや

// <0779> 「あ」
<0779> 「あ」

// <0780> ぽっきり折れた。
<0780> ぽっきり折れた。

// <0781> 吉野
<0781> 吉野

// <0782> 「レジェンドを折るんじゃねえええぇーーっ！　ち、ちっくしょおおぉぉおぉぉーーッ！！」
<0782> 「レジェンドを折るんじゃねえええぇーーっ！　ち、ちっくしょおおぉぉおぉぉーーッ！！」

// <0783> 瑚太朗
<0783> 瑚太朗

// <0784> 「まあ待て、こいつでようやくってことは人類には不可能だったということだ」
<0784> 「まあ待て、こいつでようやくってことは人類には不可能だったということだ」

// <0785> ちはや
<0785> ちはや

// <0786> 「人類ですってばっ！」
<0786> 「人類ですってばっ！」

// <0787> ちはや
<0787> ちはや

// <0788> 「あ、これ、商品だったのに…すみません、買いますから…」
<0788> 「あ、これ、商品だったのに…すみません、買いますから…」

// <0789> ばあちゃん
<0789> ばあちゃん

// <0790> 「いいって、どうせあのままじゃ売り物にもならなかったしねえ」
<0790> 「いいって、どうせあのままじゃ売り物にもならなかったしねえ」

// <0791> ばあちゃん
<0791> ばあちゃん

// <0792> 「邪魔かもしれないけど、記念に持ってっておくれよ」
<0792> 「邪魔かもしれないけど、記念に持ってっておくれよ」

// <0793> 瑚太朗
<0793> 瑚太朗

// <0794> 「だとよ、吉野」
<0794> 「だとよ、吉野」

// <0795> 吉野
<0795> 吉野

// <0796> 「要るかよ…レジェンドはテメエの手で掴み取るもんだ…」
<0796> 「要るかよ…レジェンドはテメエの手で掴み取るもんだ…」

// <0797> 吉野
<0797> 吉野

// <0798> 「くそ、邪魔したな」
<0798> 「くそ、邪魔したな」

// <0799> ばあちゃん
<0799> ばあちゃん

// <0800> 「あら、もう帰るのかい」
<0800> 「あら、もう帰るのかい」

// <0801> 吉野
<0801> 吉野

// <0802> 「………」
<0802> 「………」

// <0803> 吉野
<0803> 吉野

// <0804> 「ち、折角だ…なにか頂いておくぜ」
<0804> 「ち、折角だ…なにか頂いておくぜ」

// <0805> 吉野は辺りの商品を手に取り始めた。
<0805> 吉野は辺りの商品を手に取り始めた。

// <0806> 吉野
<0806> 吉野

// <0807> 「いくらだ」
<0807> 「いくらだ」

// <0808> どさ、と手にした商品をカウンターに載せる。
<0808> どさ、と手にした商品をカウンターに載せる。

// <0809> ばあちゃん
<0809> ばあちゃん

// <0810> 「あらら…いいよ、持っていきな」
<0810> 「あらら…いいよ、持っていきな」

// <0811> 吉野
<0811> 吉野

// <0812> 「よしてくれ。狼は施しを受けねえ」
<0812> 「よしてくれ。狼は施しを受けねえ」

// <0813> 吉野
<0813> 吉野

// <0814> 「それにこれから高齢者には厳しい社会が待ってるぜ…少しでも足しにしてくんな。釣りはいらねえ」
<0814> 「それにこれから高齢者には厳しい社会が待ってるぜ…少しでも足しにしてくんな。釣りはいらねえ」

// <0815> ばあちゃん
<0815> ばあちゃん

// <0816> 「そうかい…」
<0816> 「そうかい…」

// <0817> 瑚太朗
<0817> 瑚太朗

// <0818> 「ばあちゃんすげえ…吉野節に真っ向から受け答えしてるぞ…」
<0818> 「ばあちゃんすげえ…吉野節に真っ向から受け答えしてるぞ…」

// <0819> 年の功と言うヤツだろうか…。
<0819> 年の功と言うヤツだろうか…。

// <0820> 瑚太朗
<0820> 瑚太朗

// <0821> 「じゃあ、俺もこれ」
<0821> 「じゃあ、俺もこれ」

// <0822> 小鳥
<0822> 小鳥

// <0823> 「すいーつすいーつ～安くていいもの大好き～♪」
<0823> 「すいーつすいーつ～安くていいもの大好き～♪」

// <0824> ちはや
<0824> ちはや

// <0825> 「じゃあ、私も」
<0825> 「じゃあ、私も」

// <0826> 二人は辺りの駄菓子を両手いっぱいにして手渡す。
<0826> 二人は辺りの駄菓子を両手いっぱいにして手渡す。

// <0827> 静流
<0827> 静流

// <0828> 「装備品を」
<0828> 「装備品を」

// <0829> 静流が差し出したのは手裏剣やブーメランだ。使用用途は謎だが…。
<0829> 静流が差し出したのは手裏剣やブーメランだ。使用用途は謎だが…。

// <0830> ルチア
<0830> ルチア

// <0831> 「………」
<0831> 「………」

// <0832> 委員長はまだねりねりしていた。
<0832> 委員長はまだねりねりしていた。

// <0833> 瑚太朗
<0833> 瑚太朗

// <0834> 「…それ、よっぽど気に入ったんだなー」
<0834> 「…それ、よっぽど気に入ったんだなー」

// <0835> ルチア
<0835> ルチア

// <0836> 「う、うるさいっ」
<0836> 「う、うるさいっ」

// <0837> ルチア
<0837> ルチア

// <0838> 「………」
<0838> 「………」

// <0839> ルチア
<0839> ルチア

// <0840> 「すみません、これください」
<0840> 「すみません、これください」

// <0841> ばあちゃん
<0841> ばあちゃん

// <0842> 「はいよ」
<0842> 「はいよ」

// <0843> やっぱり気に入っていた。
<0843> やっぱり気に入っていた。

// <0844> ■友達■　ID:
<0844> ■友達■　ID:

// <0845> 　NO:
<0845> 　NO:

// <0846> 店を出る頃には、すでに日も傾き始めていた。
<0846> 店を出る頃には、すでに日も傾き始めていた。

// <0847> 瑚太朗
<0847> 瑚太朗

// <0848> 「そうかー、駄菓子屋、潰れちゃうんだな」
<0848> 「そうかー、駄菓子屋、潰れちゃうんだな」

// <0849> 朱音
<0849> 朱音

// <0850> 「ふぉうひっはっほほうもひょのふへほ」
<0850> 「ふぉうひっはっほほうもひょのふへほ」

// <0851> 瑚太朗
<0851> 瑚太朗

// <0852> 「会長…２０円カツをもりもり食べながら喋らんでください…」
<0852> 「会長…２０円カツをもりもり食べながら喋らんでください…」

// <0853> 朱音
<0853> 朱音

// <0854> 「ほむ」
<0854> 「ほむ」

// <0855> ちなみに会長は丸ごと一箱大人買いだった。
<0855> ちなみに会長は丸ごと一箱大人買いだった。

// <0856> 朱音
<0856> 朱音

// <0857> 「そういったものが世の常よ。古い形態の小売店が生きていくことの厳しさは、この町の現状を見てもわかるわ」
<0857> 「そういったものが世の常よ。古い形態の小売店が生きていくことの厳しさは、この町の現状を見てもわかるわ」

// <0858> 朱音
<0858> 朱音

// <0859> 「…巨大企業資本の大型店舗、チェーン店のスーパー、それに、コンビニエンスストア」
<0859> 「…巨大企業資本の大型店舗、チェーン店のスーパー、それに、コンビニエンスストア」

// <0860> 朱音
<0860> 朱音

// <0861> 「そうしたものに押されていくのも、時代の流れなのかしらね」
<0861> 「そうしたものに押されていくのも、時代の流れなのかしらね」

// <0862> 瑚太朗
<0862> 瑚太朗

// <0863> 「…そうだよな。この辺のガキもみんなコンビニとかに行くわけだから、幽霊屋敷なんて噂が立っちまうんだろうな…」
<0863> 「…そうだよな。この辺のガキもみんなコンビニとかに行くわけだから、幽霊屋敷なんて噂が立っちまうんだろうな…」

// <0864> ちはや
<0864> ちはや

// <0865> 「うーん…何とかならないんでしょうかー」
<0865> 「うーん…何とかならないんでしょうかー」

// <0866> 朱音
<0866> 朱音

// <0867> 「残念だけど、なんともならないでしょうね」
<0867> 「残念だけど、なんともならないでしょうね」

// <0868> 朱音
<0868> 朱音

// <0869> 「そもそも、あのお店は継ぐ人もおらず、店主は高齢化…逆に言えば、よく今まで持っていた、と言える」
<0869> 「そもそも、あのお店は継ぐ人もおらず、店主は高齢化…逆に言えば、よく今まで持っていた、と言える」

// <0870> 朱音
<0870> 朱音

// <0871> 「売り上げだけの問題でもなし、とてもじゃないけれど、私たちではなす術もないわ」
<0871> 「売り上げだけの問題でもなし、とてもじゃないけれど、私たちではなす術もないわ」

// <0872> 朱音
<0872> 朱音

// <0873> 「…それに、店をたたむのはあのご老人の意思ではないかしら」
<0873> 「…それに、店をたたむのはあのご老人の意思ではないかしら」

// <0874> 小鳥
<0874> 小鳥

// <0875> 「………」
<0875> 「………」

// <0876> 瑚太朗
<0876> 瑚太朗

// <0877> 「だってよ、なんかないか吉野」
<0877> 「だってよ、なんかないか吉野」

// <0878> 吉野
<0878> 吉野

// <0879> 「…さも当然のようにオレに話を振るんじゃねえ…」
<0879> 「…さも当然のようにオレに話を振るんじゃねえ…」

// <0880> 吉野
<0880> 吉野

// <0881> 「大体なんでテメエらついてきてんだ！　ウゼえ！　散れ！！」
<0881> 「大体なんでテメエらついてきてんだ！　ウゼえ！　散れ！！」

// <0882> 瑚太朗
<0882> 瑚太朗

// <0883> 「みんな帰り道こっちのほうなんだもん」
<0883> 「みんな帰り道こっちのほうなんだもん」

// <0884> 吉野
<0884> 吉野

// <0885> 「………」
<0885> 「………」

// <0886> 静流
<0886> 静流

// <0887> 「この伝説も今日でおしまいか…」
<0887> 「この伝説も今日でおしまいか…」

// <0888> 静流がちはやから借りた聖剣エクスカリバーを振りかざす。
<0888> 静流がちはやから借りた聖剣エクスカリバーを振りかざす。

// <0889> ちなみに先は折れてしまってびょんびょんになっていた。
<0889> ちなみに先は折れてしまってびょんびょんになっていた。

// <0890> ちはや
<0890> ちはや

// <0891> 「気に入ったんです？」
<0891> 「気に入ったんです？」

// <0892> 静流
<0892> 静流

// <0893> 「………」
<0893> 「………」

// <0894> 無表情でぶんぶん振り回す。気に入ったようだ。
<0894> 無表情でぶんぶん振り回す。気に入ったようだ。

// <0895> 瑚太朗
<0895> 瑚太朗

// <0896> 「なあ、コイツには何人の男たちが挑み散っていったんだ」
<0896> 「なあ、コイツには何人の男たちが挑み散っていったんだ」

// <0897> 吉野
<0897> 吉野

// <0898> 「数え切れないほどさ…オレが通う頃にはすでに存在していた」
<0898> 「数え切れないほどさ…オレが通う頃にはすでに存在していた」

// <0899> 瑚太朗
<0899> 瑚太朗

// <0900> 「ふむ」
<0900> 「ふむ」

// <0901> 吉野
<0901> 吉野

// <0902> 「伝説の終わりか…」
<0902> 「伝説の終わりか…」

// <0903> 吉野
<0903> 吉野

// <0904> 「兵どもが夢の跡…ロング・ロング・アゴー・ストーリーよ」
<0904> 「兵どもが夢の跡…ロング・ロング・アゴー・ストーリーよ」

// <0905> 瑚太朗
<0905> 瑚太朗

// <0906> 「むかしむかしのお話でした、か…」
<0906> 「むかしむかしのお話でした、か…」

// <0907> 吉野
<0907> 吉野

// <0908> 「ほのぼの訳を付けるんじゃねえ」
<0908> 「ほのぼの訳を付けるんじゃねえ」

// <0909> 吉野
<0909> 吉野

// <0910> 「くだらねえ連中が築き上げた、くだらねえ伝説さ…」
<0910> 「くだらねえ連中が築き上げた、くだらねえ伝説さ…」

// <0911> 瑚太朗
<0911> 瑚太朗

// <0912> 「なるほどなるほど」
<0912> 「なるほどなるほど」

// <0913> 吉野
<0913> 吉野

// <0914> 「…何か良からぬことを企んでんじゃねえだろうな…」
<0914> 「…何か良からぬことを企んでんじゃねえだろうな…」

// <0915> 瑚太朗
<0915> 瑚太朗

// <0916> 「いや、企めるなら企みたいところだが」
<0916> 「いや、企めるなら企みたいところだが」

// <0917> 会長の言うとおり、俺たちの手ではどうしようもない問題だ。
<0917> 会長の言うとおり、俺たちの手ではどうしようもない問題だ。

// <0918> 吉野
<0918> 吉野

// <0919> 「ちっ、テメエらとの戯言はここまでだ」
<0919> 「ちっ、テメエらとの戯言はここまでだ」

// <0920> 吉野
<0920> 吉野

// <0921> 「オレはオレの…ロンリー・ワインディングロードを行く」
<0921> 「オレはオレの…ロンリー・ワインディングロードを行く」

// <0922> 吉野
<0922> 吉野

// <0923> 「あばよ」
<0923> 「あばよ」

// <0924> 瑚太朗
<0924> 瑚太朗

// <0925> 「そうか…頑張ってロンリー・ワインディングロードを行けよ…」
<0925> 「そうか…頑張ってロンリー・ワインディングロードを行けよ…」

// <0926> 静流
<0926> 静流

// <0927> 「………」
<0927> 「………」

// <0928> ルチア
<0928> ルチア

// <0929> 「………」
<0929> 「………」

// <0930> 吉野
<0930> 吉野

// <0931> 「付いてくんなってことだよ！　何食わぬ顔で後ろをつけてくるんじゃねえっ！」
<0931> 「付いてくんなってことだよ！　何食わぬ顔で後ろをつけてくるんじゃねえっ！」

// <0932> 静流
<0932> 静流

// <0933> 「ワインディングしていないから…」
<0933> 「ワインディングしていないから…」

// <0934> 確かに道はきちんと舗装された真っ直ぐのアスファルトだった。
<0934> 確かに道はきちんと舗装された真っ直ぐのアスファルトだった。

// <0935> ルチア
<0935> ルチア

// <0936> 「なんだかよくわからないが、私たちもこっちだ」
<0936> 「なんだかよくわからないが、私たちもこっちだ」

// <0937> 吉野
<0937> 吉野

// <0938> 「………」
<0938> 「………」

// <0939> 吉野は早足でよくわからん路地に入っていった。
<0939> 吉野は早足でよくわからん路地に入っていった。

// <0940> 瑚太朗
<0940> 瑚太朗

// <0941> 「迷子になるなよっ」
<0941> 「迷子になるなよっ」

// <0942> 朱音
<0942> 朱音

// <0943> 「そういうわけで、解散ね」
<0943> 「そういうわけで、解散ね」

// <0944> 静流
<0944> 静流

// <0945> 「………」
<0945> 「………」

// <0946> ばいばい、と手を振る。
<0946> ばいばい、と手を振る。

// <0947> ルチア
<0947> ルチア

// <0948> 「では、また学校で」
<0948> 「では、また学校で」

// <0949> 小鳥
<0949> 小鳥

// <0950> 「うん、ばいばい」
<0950> 「うん、ばいばい」

// <0951> ちはや
<0951> ちはや

// <0952> 「お疲れ様でしたー」
<0952> 「お疲れ様でしたー」

// <0953> 瑚太朗
<0953> 瑚太朗

// <0954> 「さって、帰るか」
<0954> 「さって、帰るか」

// <0955> 挨拶を交わし、俺たちもそれぞれの帰途についた。
<0955> 挨拶を交わし、俺たちもそれぞれの帰途についた。

// <0956> 瑚太朗
<0956> 瑚太朗

// <0957> 「………」
<0957> 「………」

// <0958> 一人、今回の記事をまとめながら思う。
<0958> 一人、今回の記事をまとめながら思う。

// <0959> 瑚太朗
<0959> 瑚太朗

// <0960> 「変わっていく町か…」
<0960> 「変わっていく町か…」

// <0961> 題材としてはいい感じだと思う。一昔前のＣＭが無い放送局のドキュメンタリーでありそうだ。
<0961> 題材としてはいい感じだと思う。一昔前のＣＭが無い放送局のドキュメンタリーでありそうだ。

// <0962> しかし、今時の若いもんが、そんなことを記事にして喜ぶもんだろうか。
<0962> しかし、今時の若いもんが、そんなことを記事にして喜ぶもんだろうか。

// <0963> 瑚太朗
<0963> 瑚太朗

// <0964> （…どうだろう）
<0964> （…どうだろう）

// <0965> なんかこう、エンターテイメントはもうちょっと…明るいものであって欲しい。
<0965> なんかこう、エンターテイメントはもうちょっと…明るいものであって欲しい。

// <0966> こんなちょっとした記事ならなおさらだ。
<0966> こんなちょっとした記事ならなおさらだ。

// <0967> 瑚太朗
<0967> 瑚太朗

// <0968> 「うーん」
<0968> 「うーん」

// <0969> 一つ思いついたことはある。
<0969> 一つ思いついたことはある。

// <0970> ガキの頃、あの駄菓子屋に通った…それこそ吉野のような人間は結構いるはずなんだ。
<0970> ガキの頃、あの駄菓子屋に通った…それこそ吉野のような人間は結構いるはずなんだ。

// <0971> そういう人たちを呼び集めてみたらどうだろう。
<0971> そういう人たちを呼び集めてみたらどうだろう。

// <0972> 瑚太朗
<0972> 瑚太朗

// <0973> （でもなあ…）
<0973> （でもなあ…）

// <0974> 俺、部外者なんだよな。
<0974> 俺、部外者なんだよな。

// <0975> そんな人間が声を掛けたところで、人はわざわざ来るものだろうか。
<0975> そんな人間が声を掛けたところで、人はわざわざ来るものだろうか。

// <0976> ついでに、掛ける宛てもなし…。
<0976> ついでに、掛ける宛てもなし…。

// <0977> なんか、余計なこと考えてるな、俺。
<0977> なんか、余計なこと考えてるな、俺。

// <0978> 俺なんかの出る幕じゃない
<0978> 俺なんかの出る幕じゃない

// <0979> 余計なことをする
<0979> 余計なことをする

// <0980> そりゃそうだ。
<0980> そりゃそうだ。

// <0981> 逆に変な事したら、あのばあちゃんに無理をさせる結果になりかねないし。
<0981> 逆に変な事したら、あのばあちゃんに無理をさせる結果になりかねないし。

// <0982> 閉める日聞いて、挨拶にでも行こうかな。
<0982> 閉める日聞いて、挨拶にでも行こうかな。

// <0983> 吉野も誘えば来てくれるかもしれない。
<0983> 吉野も誘えば来てくれるかもしれない。

// <0984> 瑚太朗
<0984> 瑚太朗

// <0985> 「…そうじゃん」
<0985> 「…そうじゃん」

// <0986> むしろ、それだけで十分じゃないだろうか。
<0986> むしろ、それだけで十分じゃないだろうか。

// <0987> 瑚太朗
<0987> 瑚太朗

// <0988> （俺、そんなハートウォーミングマンだったっけかねぇ…）
<0988> （俺、そんなハートウォーミングマンだったっけかねぇ…）

// <0989> そうだ、世代的にドンピシャな知り合いが一人いた。
<0989> そうだ、世代的にドンピシャな知り合いが一人いた。

// <0990> 早速連絡をとってみることにする。
<0990> 早速連絡をとってみることにする。

// <0991> 電話＿元会長
<0991> 電話＿元会長

// <0992> 『もしもし』
<0992> 『もしもし』

// <0993> 瑚太朗
<0993> 瑚太朗

// <0994> 「こんばんは、ソロール・ソーラン。今宵はエーテルに満ちた瞬く星が魔学的に美しい夜ですね」
<0994> 「こんばんは、ソロール・ソーラン。今宵はエーテルに満ちた瞬く星が魔学的に美しい夜ですね」

// <0995> 元会長
<0995> 元会長

// <0996> 『…お前か…』
<0996> 『…お前か…』

// <0997> 呪詛に満ちた黒い声を向けられる。
<0997> 呪詛に満ちた黒い声を向けられる。

// <0998> 元会長
<0998> 元会長

// <0999> 『…本気で止めて。今なんか胃のあたりがきゅってなった』
<0999> 『…本気で止めて。今なんか胃のあたりがきゅってなった』

// <1000> 瑚太朗
<1000> 瑚太朗

// <1001> 「あ、これは失敬」
<1001> 「あ、これは失敬」

// <1002> 元会長
<1002> 元会長

// <1003> 『あれからちょっと食欲が失せてね…少々体重が落ちたの』
<1003> 『あれからちょっと食欲が失せてね…少々体重が落ちたの』

// <1004> 元会長
<1004> 元会長

// <1005> 『あんたのおかげよ愛してる』
<1005> 『あんたのおかげよ愛してる』

// <1006> 瑚太朗
<1006> 瑚太朗

// <1007> 「は…怨嗟に満ちた愛の言葉をありがとうございます」
<1007> 「は…怨嗟に満ちた愛の言葉をありがとうございます」

// <1008> 元会長
<1008> 元会長

// <1009> 『まあ、それはいい…魔女って見つかった？』
<1009> 『まあ、それはいい…魔女って見つかった？』

// <1010> 瑚太朗
<1010> 瑚太朗

// <1011> 「ええ、無事に」
<1011> 「ええ、無事に」

// <1012> 元会長
<1012> 元会長

// <1013> 『そ、よかったね。それと、例のものは焼き払ってくれた？』
<1013> 『そ、よかったね。それと、例のものは焼き払ってくれた？』

// <1014> 瑚太朗
<1014> 瑚太朗

// <1015> 「最近の学校は焼却炉も使われてなくて、なかなかそういう機会が」
<1015> 「最近の学校は焼却炉も使われてなくて、なかなかそういう機会が」

// <1016> 元会長
<1016> 元会長

// <1017> 『…処分してくれればどっちだっていいんだけど』
<1017> 『…処分してくれればどっちだっていいんだけど』

// <1018> 瑚太朗
<1018> 瑚太朗

// <1019> 「はい、そう思って地中深く埋める事に」
<1019> 「はい、そう思って地中深く埋める事に」

// <1020> 元会長
<1020> 元会長

// <1021> 『ふうん？』
<1021> 『ふうん？』

// <1022> 瑚太朗
<1022> 瑚太朗

// <1023> 「ペットボトルに詰めて、桜の木の下へ…」
<1023> 「ペットボトルに詰めて、桜の木の下へ…」

// <1024> 元会長
<1024> 元会長

// <1025> 『掘り返して、今すぐ焼けぇええぇぇーーっ！！』
<1025> 『掘り返して、今すぐ焼けぇええぇぇーーっ！！』

// <1026> 瑚太朗
<1026> 瑚太朗

// <1027> 「え、なぜ？　絶対人目につかないですよ」
<1027> 「え、なぜ？　絶対人目につかないですよ」

// <1028> 元会長
<1028> 元会長

// <1029> 『ペットボトルは分解されない！　タイムカプセルにするなぁーっ！』
<1029> 『ペットボトルは分解されない！　タイムカプセルにするなぁーっ！』

// <1030> 元会長
<1030> 元会長

// <1031> 『数千年後に発掘されて読まれたら、あたしの恥さらしが未来の歴史に刻まれるでしょうがっ！』
<1031> 『数千年後に発掘されて読まれたら、あたしの恥さらしが未来の歴史に刻まれるでしょうがっ！』

// <1032> 瑚太朗
<1032> 瑚太朗

// <1033> 「いいじゃないですか。当時の女子高生はみなこうやって成人への通過儀礼を…」
<1033> 「いいじゃないですか。当時の女子高生はみなこうやって成人への通過儀礼を…」

// <1034> 元会長
<1034> 元会長

// <1035> 『天王寺君』
<1035> 『天王寺君』

// <1036> 瑚太朗
<1036> 瑚太朗

// <1037> 「は、はい」
<1037> 「は、はい」

// <1038> 元会長
<1038> 元会長

// <1039> 『あんまり調子ぶっこいてるとＫＯ・ＲＯ・ＳＵ☆』
<1039> 『あんまり調子ぶっこいてるとＫＯ・ＲＯ・ＳＵ☆』

// <1040> まだ見ぬ元会長の笑顔と底知れぬ殺意と９０年代初頭のセンスを感じた。
<1040> まだ見ぬ元会長の笑顔と底知れぬ殺意と９０年代初頭のセンスを感じた。

// <1041> 瑚太朗
<1041> 瑚太朗

// <1042> 「…冗談です。普通にゴミ捨て場にポイしてきました」
<1042> 「…冗談です。普通にゴミ捨て場にポイしてきました」

// <1043> 元会長
<1043> 元会長

// <1044> 『よかろう』
<1044> 『よかろう』

// <1045> 瑚太朗
<1045> 瑚太朗

// <1046> 「まあ、それは置いておきまして」
<1046> 「まあ、それは置いておきまして」

// <1047> 元会長
<1047> 元会長

// <1048> 『なに？　また昔の事？』
<1048> 『なに？　また昔の事？』

// <1049> 瑚太朗
<1049> 瑚太朗

// <1050> 「実は…」
<1050> 「実は…」

// <1051> 事情を話した。
<1051> 事情を話した。

// <1052> 元会長
<1052> 元会長

// <1053> 『昔の男子の連絡先ね…』
<1053> 『昔の男子の連絡先ね…』

// <1054> 瑚太朗
<1054> 瑚太朗

// <1055> 「はい、世代的にちょうどいいと思うんです」
<1055> 「はい、世代的にちょうどいいと思うんです」

// <1056> 元会長
<1056> 元会長

// <1057> 『またハードル高い依頼だね。今更小学校の頃の、特に親しくもない男に突然連絡なんてしてもね…』
<1057> 『またハードル高い依頼だね。今更小学校の頃の、特に親しくもない男に突然連絡なんてしてもね…』

// <1058> 瑚太朗
<1058> 瑚太朗

// <1059> 「そこはほら、同窓会と思って」
<1059> 「そこはほら、同窓会と思って」

// <1060> 元会長
<1060> 元会長

// <1061> 『…先日そういった会が開かれたの』
<1061> 『…先日そういった会が開かれたの』

// <1062> 瑚太朗
<1062> 瑚太朗

// <1063> 「ありゃ、じゃあちょうどいいじゃないですか」
<1063> 「ありゃ、じゃあちょうどいいじゃないですか」

// <1064> 元会長
<1064> 元会長

// <1065> 『当時のあたしを殺してやりたくなったわ、色々とね。ふふ…』
<1065> 『当時のあたしを殺してやりたくなったわ、色々とね。ふふ…』

// <1066> 瑚太朗
<1066> 瑚太朗

// <1067> 「………」
<1067> 「………」

// <1068> 元会長
<1068> 元会長

// <1069> 『というわけで、ちょっとその辺はパスかな…』
<1069> 『というわけで、ちょっとその辺はパスかな…』

// <1070> 瑚太朗
<1070> 瑚太朗

// <1071> 「えー、たのんますよ」
<1071> 「えー、たのんますよ」

// <1072> 元会長
