// <0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<1861> 「…あ、……あなたを掴んだ時、…柵で、……お腹、打っちゃったみたいです…。……う……ぐぐ……」

// <1862> ちはやも、自分が何に蝕まれているか理解しているはず。……なのに、それを、認めない。
<1862> ちはやも、自分が何に蝕まれているか理解しているはず。……なのに、それを、認めない。

// <1863> どうして？
<1863> どうして？

// <1864> ……それを認めたら、友達である彼女を、傷つけるから。
<1864> ……それを認めたら、友達である彼女を、傷つけるから。

// <1865> だから、それを絶対に認めない。たとえ、倒れるとしても。
<1865> だから、それを絶対に認めない。たとえ、倒れるとしても。

// <1866> どさり、……どさり。
<1866> どさり、……どさり。

// <1867> …それはちはやが、片膝ずつを床に落とす音だ。
<1867> …それはちはやが、片膝ずつを床に落とす音だ。

// <1868> ルチア
<1868> ルチア

// <1869> 「ぁ、……ぁ、……ぁあああああああああああああああ！！」
<1869> 「ぁ、……ぁ、……ぁあああああああああああああああ！！」

// <1870> 転落から、救ってくれたのに……。友達と、呼んでくれたのに……。
<1870> 転落から、救ってくれたのに……。友達と、呼んでくれたのに……。

// <1871> その友達の手を、…また、……紫色の痣で染めてしまって……。
<1871> その友達の手を、…また、……紫色の痣で染めてしまって……。

// <1872> ちはやは床に爪を立て、それでも最後の一秒まで、……立ち上がろうと足掻いた。
<1872> ちはやは床に爪を立て、それでも最後の一秒まで、……立ち上がろうと足掻いた。

// <1873> でも、……駄目で……。
<1873> でも、……駄目で……。

// <1874> ……口から、…泡のような涎を零して、……動かなくなる。
<1874> ……口から、…泡のような涎を零して、……動かなくなる。

// <1875> 本当ならば、瞬時に悶死だった。
<1875> 本当ならば、瞬時に悶死だった。

// <1876> しかし、ちはやの体を守る力は、彼女を守りたい一心で、最後のぎりぎりで毒の侵入を防いでいた。
<1876> しかし、ちはやの体を守る力は、彼女を守りたい一心で、最後のぎりぎりで毒の侵入を防いでいた。

// <1877> やがてはゆっくりと彼女の意識を取り戻させるだろうが、……今のルチアにはそれは、……明確な、友達の死に見えた。
<1877> やがてはゆっくりと彼女の意識を取り戻させるだろうが、……今のルチアにはそれは、……明確な、友達の死に見えた。

// <1878> 
<1878> 

// <1879> 瑚太朗
<1879> 瑚太朗

// <1880> 「……ルチア！！　ちはやッ！！」
<1880> 「……ルチア！！　ちはやッ！！」

// <1881> ルチア
<1881> ルチア

// <1882> 「こ、……瑚太朗……」
<1882> 「こ、……瑚太朗……」

// <1883> ルチア
<1883> ルチア

// <1884> 「……鳳さん、……死んじゃった……」
<1884> 「……鳳さん、……死んじゃった……」

// <1885> 瑚太朗
<1885> 瑚太朗

// <1886> 「ちはやッ、大丈夫か…！！」
<1886> 「ちはやッ、大丈夫か…！！」

// <1887> ちはや
<1887> ちはや

// <1888> 「…………ぅぅ…」
<1888> 「…………ぅぅ…」

// <1889> ルチア
<1889> ルチア

// <1890> 「私のこと……、助けてくれたのに……、私が、……殺しちゃった……」
<1890> 「私のこと……、助けてくれたのに……、私が、……殺しちゃった……」

// <1891> ルチア
<1891> ルチア

// <1892> 「また、……友達を、……殺しちゃった…、……ぁ、……ぁああああああああああああああ！！」
<1892> 「また、……友達を、……殺しちゃった…、……ぁ、……ぁああああああああああああああ！！」

// <1893> ルチアは、掴んでくれた左手を、……友達に紫の痣を与えてしまった左手を見て、……わなわなと震えている…。
<1893> ルチアは、掴んでくれた左手を、……友達に紫の痣を与えてしまった左手を見て、……わなわなと震えている…。

// <1894> ルチア
<1894> ルチア

// <1895> 「これでも……“生きろ”…？」
<1895> 「これでも……“生きろ”…？」

// <1896> ルチア
<1896> ルチア

// <1897> 「これでも、…“生まれてきた意味は、必ずある”？」
<1897> 「これでも、…“生まれてきた意味は、必ずある”？」

// <1898> 瑚太朗
<1898> 瑚太朗

// <1899> 「ルチア………」
<1899> 「ルチア………」

// <1900> ルチア
<1900> ルチア

// <1901> 「……ない……。……私に、…生きてる意味なんて、……何もないッ！！」
<1901> 「……ない……。……私に、…生きてる意味なんて、……何もないッ！！」

// <1902> ルチア
<1902> ルチア

// <1903> 「ただ生きてるだけで、…誰かを殺してしまう。…私は毒だから…。……汚れてるからッ！！」
<1903> 「ただ生きてるだけで、…誰かを殺してしまう。…私は毒だから…。……汚れてるからッ！！」

// <1904> 瑚太朗
<1904> 瑚太朗

// <1905> 「落ち着けッ…！！　きっと新しい抑制剤を何とかしてやるから…！　絶対にお前を見捨てないから！！」
<1905> 「落ち着けッ…！！　きっと新しい抑制剤を何とかしてやるから…！　絶対にお前を見捨てないから！！」

// <1906> ……その言葉がもはや何の慰めにもならないことを知っているのに、俺はまた口にしてしまう。だから、…届かない。
<1906> ……その言葉がもはや何の慰めにもならないことを知っているのに、俺はまた口にしてしまう。だから、…届かない。

// <1907> ルチアは駆け出す。自分を友達と呼んでくれた彼女らから、一歩でも遠退きたかったのかもしれない。
<1907> ルチアは駆け出す。自分を友達と呼んでくれた彼女らから、一歩でも遠退きたかったのかもしれない。

// <1908> エスカレーターを駆け上がり、天へと、どこまでも駆け上がっていく…。
<1908> エスカレーターを駆け上がり、天へと、どこまでも駆け上がっていく…。

// <1909> ……何て、…言葉を掛けりゃいいんだよ。
<1909> ……何て、…言葉を掛けりゃいいんだよ。

// <1910> ただ居るだけで毒となるアサヒハルカに、どんな言葉を掛けりゃ、救ってやれるんだよ…。
<1910> ただ居るだけで毒となるアサヒハルカに、どんな言葉を掛けりゃ、救ってやれるんだよ…。

// <1911> 
<1911> 

// <1912> ちはや
<1912> ちはや

// <1913> 「この……、馬鹿…」
<1913> 「この……、馬鹿…」

// <1914> ちはや
<1914> ちはや

// <1915> 「あなたは、…何度言葉を間違えれば……」
<1915> 「あなたは、…何度言葉を間違えれば……」

// <1916> 瑚太朗
<1916> 瑚太朗

// <1917> 「教えてくれッ！　ルチアは何を望んでる！？」
<1917> 「教えてくれッ！　ルチアは何を望んでる！？」

// <1918> 瑚太朗
<1918> 瑚太朗

// <1919> 「俺に望んでるのはわかってるんだ。……なのに、望みがわからない！！」
<1919> 「俺に望んでるのはわかってるんだ。……なのに、望みがわからない！！」

// <1920> ちはや
<1920> ちはや

// <1921> 「あんだけ、……彼女はヒント出してるでしょ…」
<1921> 「あんだけ、……彼女はヒント出してるでしょ…」

// <1922> ちはや
<1922> ちはや

// <1923> 「それでわかんなきゃ、……あなたは傷つけるだけッ、彼女を追う資格なんかないッ！！」
<1923> 「それでわかんなきゃ、……あなたは傷つけるだけッ、彼女を追う資格なんかないッ！！」

// <1924> 瑚太朗
<1924> 瑚太朗

// <1925> 「追う…、資格が、……ない…」
<1925> 「追う…、資格が、……ない…」

// <1926> ちはや
<1926> ちはや

// <1927> 「……それでも今は追って。私もこの程度で死ぬ気ないから…」
<1927> 「……それでも今は追って。私もこの程度で死ぬ気ないから…」

// <1928> 瑚太朗
<1928> 瑚太朗

// <1929> 「で、でも……、」
<1929> 「で、でも……、」

// <1930> ちはや
<1930> ちはや

// <1931> 「早く行けぇえええええええええええええええ、瑚太朗ぉおおおおおおおおおおおおおおおおお！！」
<1931> 「早く行けぇえええええええええええええええ、瑚太朗ぉおおおおおおおおおおおおおおおおお！！」

// <1932> 最後の力を振り絞っての叫びに気圧され、……俺はルチアの後を追って駆け出す。
<1932> 最後の力を振り絞っての叫びに気圧され、……俺はルチアの後を追って駆け出す。

// <1933> ルチアはどこまでも登り続けてる。行き先は、……想像がついていた。
<1933> ルチアはどこまでも登り続けてる。行き先は、……想像がついていた。

// <1934> ……ルチアは荒々しい息とともに、展望台に駆け上がってくる。
<1934> ……ルチアは荒々しい息とともに、展望台に駆け上がってくる。

// <1935> 空の色はいつの間にか、夜明け間近を感じさせる、青と紫と橙を混ぜたような、とてもとても不思議な色に変わっていた。
<1935> 空の色はいつの間にか、夜明け間近を感じさせる、青と紫と橙を混ぜたような、とてもとても不思議な色に変わっていた。

// <1936> ルチア
<1936> ルチア

// <1937> 「“鍵”になって世界を滅ぼす非情にもなれない」
<1937> 「“鍵”になって世界を滅ぼす非情にもなれない」

// <1938> ルチア
<1938> ルチア

// <1939> 「そして、アサヒハルカとしてこの世に留まる傲慢にもなれない」
<1939> 「そして、アサヒハルカとしてこの世に留まる傲慢にもなれない」

// <1940> ルチア
<1940> ルチア

// <1941> 「なのに、此花ルチアに戻りたいという未練も希望もない…」
<1941> 「なのに、此花ルチアに戻りたいという未練も希望もない…」

// <1942> ルチア
<1942> ルチア

// <1943> 「……誰か、……教えて……」
<1943> 「……誰か、……教えて……」

// <1944> ルチア
<1944> ルチア

// <1945> 「…私は、……どこへ行けば、意味がある…？」
<1945> 「…私は、……どこへ行けば、意味がある…？」

// <1946> 薄暗闇の地上と、美しい朝焼けに染まりつつある空の狭間で、ルチアは己が意味を、問い続けている。
<1946> 薄暗闇の地上と、美しい朝焼けに染まりつつある空の狭間で、ルチアは己が意味を、問い続けている。

// <1947> 瑚太朗
<1947> 瑚太朗

// <1948> 「……ルチア…」
<1948> 「……ルチア…」

// <1949> 
<1949> 

// <1950> ルチア
<1950> ルチア

// <1951> 「瑚太朗、……教えて…」
<1951> 「瑚太朗、……教えて…」

// <1952> ルチア
<1952> ルチア

// <1953> 「…私に、意味を、……こんな私が、どうして生きてていいの……？」
<1953> 「…私に、意味を、……こんな私が、どうして生きてていいの……？」

// <1954> 瑚太朗
<1954> 瑚太朗

// <1955> 「い、…生きてていいに決まってるだろ…！！」
<1955> 「い、…生きてていいに決まってるだろ…！！」

// <1956> 瑚太朗
<1956> 瑚太朗

// <1957> 「意味なんてなくていいんだよ！　それを探すのが生きるってことだろ…！」
<1957> 「意味なんてなくていいんだよ！　それを探すのが生きるってことだろ…！」

// <1958> 
<1958> 

// <1959> ルチア
<1959> ルチア

// <1960> 「…ほう、……そうなのか……」
<1960> 「…ほう、……そうなのか……」

// <1961> ルチア
<1961> ルチア

// <1962> 「ならば、生きよう、生きてその意味を探そう…」
<1962> 「ならば、生きよう、生きてその意味を探そう…」

// <1963> ルチア
<1963> ルチア

// <1964> 「でもそれって、世界を“鍵”として滅ぼすという意味になるんだぞ…！！　は、はははは！　それも一興か！」
<1964> 「でもそれって、世界を“鍵”として滅ぼすという意味になるんだぞ…！！　は、はははは！　それも一興か！」

// <1965> ルチア
<1965> ルチア

// <1966> 「そのように生み出された私だ！　とことん、誰からも嫌われ、そんな世界を終わらせる役割に意味を見出すも一興！！　あは、あははははははは！！」
<1966> 「そのように生み出された私だ！　とことん、誰からも嫌われ、そんな世界を終わらせる役割に意味を見出すも一興！！　あは、あははははははは！！」

// <1967> 瑚太朗
<1967> 瑚太朗

// <1968> 「そ、そんな、痛々しい笑いをするんじゃねぇえ！！」
<1968> 「そ、そんな、痛々しい笑いをするんじゃねぇえ！！」

// <1969> 言ってて虚しいって、自分でもわかってるだろ！？
<1969> 言ってて虚しいって、自分でもわかってるだろ！？

// <1970> そんな役割、絶対嫌だって、自分の顔に書いてあるじゃねぇか！！
<1970> そんな役割、絶対嫌だって、自分の顔に書いてあるじゃねぇか！！

// <1971> ルチアは、見るも無残な、…あまりに痛々しい笑顔で、………笑顔！？　どこが！　あんなに、ぼろぼろと泣き腫らした酷い顔で、……心にもないことを…！
<1971> ルチアは、見るも無残な、…あまりに痛々しい笑顔で、………笑顔！？　どこが！　あんなに、ぼろぼろと泣き腫らした酷い顔で、……心にもないことを…！

// <1972> その表情が俺に語ってるっ。“私を止めろ”と語ってる！！
<1972> その表情が俺に語ってるっ。“私を止めろ”と語ってる！！

// <1973> 俺は素直な気持ちを何度もルチアにぶつけている。
<1973> 俺は素直な気持ちを何度もルチアにぶつけている。

// <1974> 毒は必ず何とかなるから、死ぬなと伝えてる。しかしそれは届かないばかりか、ちはやにまで、言葉を間違えるなと怒鳴られている…！
<1974> 毒は必ず何とかなるから、死ぬなと伝えてる。しかしそれは届かないばかりか、ちはやにまで、言葉を間違えるなと怒鳴られている…！

// <1975> それを間違う度に、ルチアを傷つけてるんだ。
<1975> それを間違う度に、ルチアを傷つけてるんだ。

// <1976> そこまでわかってるから、……何かの言葉を彼女は望んでるのに、……俺は俯いて唇を噛むことしか出来ないッ。
<1976> そこまでわかってるから、……何かの言葉を彼女は望んでるのに、……俺は俯いて唇を噛むことしか出来ないッ。

// <1977> ……何やってんだよ、……俺ッ…。
<1977> ……何やってんだよ、……俺ッ…。

// <1978> …ちはやの言う通り、……本当に俺、……追う資格、…ねえじゃないかよ……！
<1978> …ちはやの言う通り、……本当に俺、……追う資格、…ねえじゃないかよ……！

// <1979> 
<1979> 

// <1980> ルチア
<1980> ルチア

// <1981> 「瑚太朗。……神話の時代からの“鍵”の慣わしに従い、……お前にだけ、教える」
<1981> 「瑚太朗。……神話の時代からの“鍵”の慣わしに従い、……お前にだけ、教える」

// <1982> 先に沈黙を破ったのは、ルチアの方だった。
<1982> 先に沈黙を破ったのは、ルチアの方だった。

// <1983> 相変わらず、泣き腫らした痛々しい表情だったけれど。
<1983> 相変わらず、泣き腫らした痛々しい表情だったけれど。

// <1984> ……無理やり作った笑顔がない分、まだ耐えられた。
<1984> ……無理やり作った笑顔がない分、まだ耐えられた。

// <1985> ルチア
<1985> ルチア

// <1986> 「御使いが、ノアやロトに知らせたように、……世界でただ一人、天王寺瑚太朗にだけ、…教える」
<1986> 「御使いが、ノアやロトに知らせたように、……世界でただ一人、天王寺瑚太朗にだけ、…教える」

// <1987> 瑚太朗
<1987> 瑚太朗

// <1988> 「……あぁ、聞くぜ。……何だ」
<1988> 「……あぁ、聞くぜ。……何だ」

// <1989> ルチア
<1989> ルチア

// <1990> 「私はここで、死ぬ気がなくなった」
<1990> 「私はここで、死ぬ気がなくなった」

// <1991> 瑚太朗
<1991> 瑚太朗

// <1992> 「いいことだ」
<1992> 「いいことだ」

// <1993> ルチア
<1993> ルチア

// <1994> 「だが、お前たちとシェルターへは行かない」
<1994> 「だが、お前たちとシェルターへは行かない」

// <1995> 瑚太朗
<1995> 瑚太朗

// <1996> 「死ぬぞ、核で…！」
<1996> 「死ぬぞ、核で…！」

// <1997> ルチア
<1997> ルチア

// <1998> 「もちろん市内に留まるつもりはない」
<1998> 「もちろん市内に留まるつもりはない」

// <1999> ルチア
<1999> ルチア

// <2000> 「乗り捨てられたバイクでも車でも奪い、爆心から遠ざかる」
<2000> 「乗り捨てられたバイクでも車でも奪い、爆心から遠ざかる」

// <2001> ルチア
<2001> ルチア

// <2002> 「……県境を越えて北上し、人口密集地を目指す」
<2002> 「……県境を越えて北上し、人口密集地を目指す」

// <2003> 瑚太朗
<2003> 瑚太朗

// <2004> 「何…？」
<2004> 「何…？」

// <2005> ルチア
<2005> ルチア

// <2006> 「被害は拡大するだろう。何度も核攻撃では誤魔化せない」
<2006> 「被害は拡大するだろう。何度も核攻撃では誤魔化せない」

// <2007> ルチア
<2007> ルチア

// <2008> 「私は瘴気を生み続け、世界を七日かけて滅ぼす」
<2008> 「私は瘴気を生み続け、世界を七日かけて滅ぼす」

// <2009> ルチア
<2009> ルチア

// <2010> 「気流に乗って拡散すればもう、誰も逃れられない。……人類の時代は終わり、旧世界は、滅ぶ」
<2010> 「気流に乗って拡散すればもう、誰も逃れられない。……人類の時代は終わり、旧世界は、滅ぶ」

// <2011> 瑚太朗
<2011> 瑚太朗

// <2012> 「それが“鍵”の役割だってのかよ…！」
<2012> 「それが“鍵”の役割だってのかよ…！」

// <2013> ルチア
<2013> ルチア

// <2014> 「私が風祭市ごと“鍵”を滅ぼさなかったら。“鍵”はきっとそうしていた」
<2014> 「私が風祭市ごと“鍵”を滅ぼさなかったら。“鍵”はきっとそうしていた」

// <2015> 瑚太朗
<2015> 瑚太朗

// <2016> 「お前は“鍵”じゃないだろ！」
<2016> 「お前は“鍵”じゃないだろ！」

// <2017> ルチア
<2017> ルチア

// <2018> 「いいや“鍵”だ。……旧世界を滅ぼし、新世界の扉を開く“鍵”だ」
<2018> 「いいや“鍵”だ。……旧世界を滅ぼし、新世界の扉を開く“鍵”だ」

// <2019> 瑚太朗
<2019> 瑚太朗

// <2020> 「わけわかんねえこと言ってんじゃねぇ！！」
<2020> 「わけわかんねえこと言ってんじゃねぇ！！」

// <2021> 瑚太朗
<2021> 瑚太朗

// <2022> 「そんなおかしな理由でしか、自分の意味が説明できねえのかよッ！！」
<2022> 「そんなおかしな理由でしか、自分の意味が説明できねえのかよッ！！」

// <2023> ルチア
<2023> ルチア

// <2024> 「……だって、……他に私の意味がないッ！！！　だから“鍵”をやることにしたッ！！」
<2024> 「……だって、……他に私の意味がないッ！！！　だから“鍵”をやることにしたッ！！」

// <2025> 瑚太朗
<2025> 瑚太朗

// <2026> 「めちゃくちゃだぜッ！！　ヘソを曲げたガキかよ、らしくもない！！」
<2026> 「めちゃくちゃだぜッ！！　ヘソを曲げたガキかよ、らしくもない！！」

// <2027> ルチア
<2027> ルチア

// <2028> 「じゃあ、瑚太朗は私に、“鍵”以外のどんな役割を、意味を教えてくれる！？」
<2028> 「じゃあ、瑚太朗は私に、“鍵”以外のどんな役割を、意味を教えてくれる！？」

// <2029> ルチア
<2029> ルチア

// <2030> 「もうこの体は戻らない！　此花ルチアには戻れない、アサヒハルカに、何の意味を教えてくれる！？」
<2030> 「もうこの体は戻らない！　此花ルチアには戻れない、アサヒハルカに、何の意味を教えてくれる！？」

// <2031> 瑚太朗
<2031> 瑚太朗

// <2032> 「……く…、また、話が堂々巡りに…」
<2032> 「……く…、また、話が堂々巡りに…」

// <2033> ルチア
<2033> ルチア

// <2034> 「意味なんかない！！」
<2034> 「意味なんかない！！」

// <2035> ルチア
<2035> ルチア

// <2036> 「私には、世界を滅ぼすか、あるいは世界が私を滅ぼすか、それを試すことしか、意味なんかない！」
<2036> 「私には、世界を滅ぼすか、あるいは世界が私を滅ぼすか、それを試すことしか、意味なんかない！」

// <2037> ルチア
<2037> ルチア

// <2038> 「だから私は“鍵”なんだ！　人類は滅ぶに値するか否か、それを問うことだけが、私の存在できる意味なんだ…！！」
<2038> 「だから私は“鍵”なんだ！　人類は滅ぶに値するか否か、それを問うことだけが、私の存在できる意味なんだ…！！」

// <2039> 瑚太朗
<2039> 瑚太朗

// <2040> 「……それで、その“鍵”のルチアは、俺に何を教えるってんだ！？」
<2040> 「……それで、その“鍵”のルチアは、俺に何を教えるってんだ！？」

// <2041> ルチア
<2041> ルチア

// <2042> 「この滅ぶ世界より、……生き延びる唯一の術を、瑚太朗に教える」
<2042> 「この滅ぶ世界より、……生き延びる唯一の術を、瑚太朗に教える」

// <2043> 瑚太朗
<2043> 瑚太朗

// <2044> 「あぁ、教えろ！　それは俺が実行する！！」
<2044> 「あぁ、教えろ！　それは俺が実行する！！」

// <2045> 瑚太朗
<2045> 瑚太朗

// <2046> 「……だがな、ルチア。先に釘を刺すぞ」
<2046> 「……だがな、ルチア。先に釘を刺すぞ」

// <2047> ルチア
<2047> ルチア

// <2048> 「釘とは…？」
<2048> 「釘とは…？」

// <2049> 瑚太朗
<2049> 瑚太朗

// <2050> 「世界を滅ぼされたくなかったら、私を殺せ、……みたいのはＮＧだからな」
<2050> 「世界を滅ぼされたくなかったら、私を殺せ、……みたいのはＮＧだからな」

// <2051> ルチア
<2051> ルチア

// <2052> 「ふ、…………、」
<2052> 「ふ、…………、」

// <2053> わかってた。
<2053> わかってた。

// <2054> ……こんな表情を浮かべる彼女が何を望んでるかくらい、わかってた。
<2054> ……こんな表情を浮かべる彼女が何を望んでるかくらい、わかってた。

// <2055> 瑚太朗
<2055> 瑚太朗

// <2056> 「悪いが、俺はそういう陳腐な展開には飽き飽きしてる」
<2056> 「悪いが、俺はそういう陳腐な展開には飽き飽きしてる」

// <2057> 瑚太朗
<2057> 瑚太朗

// <2058> 「……ちはやの言う通りだぜ。女は引っ叩かなきゃわからねえ時があるらしい」
<2058> 「……ちはやの言う通りだぜ。女は引っ叩かなきゃわからねえ時があるらしい」

// <2059> ルチア
<2059> ルチア

// <2060> 「愚かな。……命のやり取りをしたこともないくせに、私と戦えるつもりか」
<2060> 「愚かな。……命のやり取りをしたこともないくせに、私と戦えるつもりか」

// <2061> ルチアはゆっくりと、……静流と激闘を繰り広げたあの刀を、俺に向ける。
<2061> ルチアはゆっくりと、……静流と激闘を繰り広げたあの刀を、俺に向ける。

// <2062> 超振動をまとった刃は、甲高い金属音の唸りを聞かせた。
<2062> 超振動をまとった刃は、甲高い金属音の唸りを聞かせた。

// <2063> ……静流でさえ、ばっくりと斜めに切り裂かれたんだ。俺じゃ下手すりゃ三枚におろされちまうだろう。
<2063> ……静流でさえ、ばっくりと斜めに切り裂かれたんだ。俺じゃ下手すりゃ三枚におろされちまうだろう。

// <2064> ルチアに掛ける言葉も未だわからない。それがわからなきゃ追う資格はないと言われた。
<2064> ルチアに掛ける言葉も未だわからない。それがわからなきゃ追う資格はないと言われた。

// <2065> ……でも、それでも追えと言われた…！！
<2065> ……でも、それでも追えと言われた…！！

// <2066> 違う！
<2066> 違う！

// <2067> 俺は、ルチアを追わなければならない！
<2067> 俺は、ルチアを追わなければならない！

// <2068> ルチア
<2068> ルチア

// <2069> 「武器も戦闘の心得もない瑚太朗など、二の太刀さえいらんっ」
<2069> 「武器も戦闘の心得もない瑚太朗など、二の太刀さえいらんっ」

// <2070> ルチア
<2070> ルチア

// <2071> 「一刀両断ッ、無駄な強がりなど見苦しいだけだ…！！」
<2071> 「一刀両断ッ、無駄な強がりなど見苦しいだけだ…！！」

// <2072> 瑚太朗
<2072> 瑚太朗

// <2073> 「お前こそ！！　果し合いのフリして俺にうまいこと殺されようって腹だろ？」
<2073> 「お前こそ！！　果し合いのフリして俺にうまいこと殺されようって腹だろ？」

// <2074> 瑚太朗
<2074> 瑚太朗

// <2075> 「見え透いてんだよ！！　酔うなッ、自分の不幸にッ！！」
<2075> 「見え透いてんだよ！！　酔うなッ、自分の不幸にッ！！」

// <2076> ルチア
<2076> ルチア

// <2077> 「な、……何ぃいい！？」
<2077> 「な、……何ぃいい！？」

// <2078> 瑚太朗
<2078> 瑚太朗

// <2079> 「ちはやが言ってたのが聞こえたぜ。自分が世界で一番不幸だと思ってやがる！！」
<2079> 「ちはやが言ってたのが聞こえたぜ。自分が世界で一番不幸だと思ってやがる！！」

// <2080> 瑚太朗
<2080> 瑚太朗

// <2081> 「あぁ、そうかもな、確かに悲惨な身の上だとは思うぜ！」
<2081> 「あぁ、そうかもな、確かに悲惨な身の上だとは思うぜ！」

// <2082> 瑚太朗
<2082> 瑚太朗

// <2083> 「でもな、俺はきっと、お前より不幸な人間が大勢いるだろうと思ってる！！」
<2083> 「でもな、俺はきっと、お前より不幸な人間が大勢いるだろうと思ってる！！」

// <2084> 瑚太朗
<2084> 瑚太朗

// <2085> 「もの凄え辛いのに、誰もそれを理解してくれない人たちが、きっと大勢大勢いるんだ！！　でも、お前はどうだ！？」
<2085> 「もの凄え辛いのに、誰もそれを理解してくれない人たちが、きっと大勢大勢いるんだ！！　でも、お前はどうだ！？」

// <2086> 瑚太朗
<2086> 瑚太朗

// <2087> 「静流が来てくれた、ちはやが来てくれた！　そして俺がここにいるッ！！　その分だけでも、お前に世界で一番不幸だなんて、絶対に言わせねぇ！！」
<2087> 「静流が来てくれた、ちはやが来てくれた！　そして俺がここにいるッ！！　その分だけでも、お前に世界で一番不幸だなんて、絶対に言わせねぇ！！」

// <2088> ルチア
<2088> ルチア

// <2089> 「お、お前たちになんか、私の気持ちがわかるもんかぁああああああ！！」
<2089> 「お、お前たちになんか、私の気持ちがわかるもんかぁああああああ！！」

// <2090> 瑚太朗
<2090> 瑚太朗

// <2091> 「お前にだって、俺の気持ちがわかるもんかぁあああああああああああ！！」
<2091> 「お前にだって、俺の気持ちがわかるもんかぁあああああああああああ！！」

// <2092> 俺がお前と一緒でどんな気持ちだったか。
<2092> 俺がお前と一緒でどんな気持ちだったか。

// <2093> そしてお前がいなくなってどんな気持ちだったか。それがお前にわかるってのか！？
<2093> そしてお前がいなくなってどんな気持ちだったか。それがお前にわかるってのか！？

// <2094> わかってたら、お前にそんなことが言えるわけがない！　あぁ、傲慢と言われようが構わない、言ってやるよ！！
<2094> わかってたら、お前にそんなことが言えるわけがない！　あぁ、傲慢と言われようが構わない、言ってやるよ！！

// <2095> 瑚太朗
<2095> 瑚太朗

// <2096> 「何が毒だ薬だ！！　何が此花ルチアだアサヒハルカだ！！　そんなの知ったことじゃねぇ！！」
<2096> 「何が毒だ薬だ！！　何が此花ルチアだアサヒハルカだ！！　そんなの知ったことじゃねぇ！！」

// <2097> 瑚太朗
<2097> 瑚太朗

// <2098> 「“鍵”だの世界の滅亡だの、千年後だの何とかプロジェクトだのもうたくさんだッ！！」
<2098> 「“鍵”だの世界の滅亡だの、千年後だの何とかプロジェクトだのもうたくさんだッ！！」

// <2099> 瑚太朗
<2099> 瑚太朗

// <2100> 「そんなのは全部全部、俺の知ったことじゃねぇええええええ！！」
<2100> 「そんなのは全部全部、俺の知ったことじゃねぇええええええ！！」

// <2101> ルチア
<2101> ルチア

// <2102> 「ならば貴様など、私にとって何の存在も意味もない！！」
<2102> 「ならば貴様など、私にとって何の存在も意味もない！！」

// <2103> ルチア
<2103> ルチア

// <2104> 「無意味なら無意味らしく、私の前から消え去れぇえええええええええええ！！」
<2104> 「無意味なら無意味らしく、私の前から消え去れぇえええええええええええ！！」

// <2105> 来いよ。
<2105> 来いよ。

// <2106> 瑚太朗
<2106> 瑚太朗

// <2107> 「ぶん殴って、目ぇ覚まさせてやらぁあああああああああああああ！！」
<2107> 「ぶん殴って、目ぇ覚まさせてやらぁあああああああああああああ！！」

// <2108> 
<2108> 

// <2109> 時間の密度が凝縮される。
<2109> 時間の密度が凝縮される。

// <2110> １秒という単位が膨大に希釈された世界で、……二人はゆっくりと動き出す。
<2110> １秒という単位が膨大に希釈された世界で、……二人はゆっくりと動き出す。

// <2111> ルチアの動きには、もはや澱みはない。
<2111> ルチアの動きには、もはや澱みはない。

// <2112> 確かに彼女には死闘のふりをして瑚太朗の手で殺されたいという願望が存在した。
<2112> 確かに彼女には死闘のふりをして瑚太朗の手で殺されたいという願望が存在した。

// <2113> しかし瑚太朗に看破され、激情に身を任せた彼女にもはやその気持ちはない。
<2113> しかし瑚太朗に看破され、激情に身を任せた彼女にもはやその気持ちはない。

// <2114> いや、半分は残っている。
<2114> いや、半分は残っている。

// <2115> この死闘の結果、もし自分が死ねるようなことがあったなら、それを受け入れようという、半分だけの死の願望。
<2115> この死闘の結果、もし自分が死ねるようなことがあったなら、それを受け入れようという、半分だけの死の願望。

// <2116> そしてもう半分は、……瑚太朗という此花ルチアの最後の未練を斬り伏せて決別し。
<2116> そしてもう半分は、……瑚太朗という此花ルチアの最後の未練を斬り伏せて決別し。

// <2117> ……世界を滅ぼす“鍵”として、今度こそ生まれ変わるという願望。
<2117> ……世界を滅ぼす“鍵”として、今度こそ生まれ変わるという願望。

// <2118> そのどちらであっても、瑚太朗にそれを委ねたいという感情が、……もっとも純粋な形で太刀筋に現れる。
<2118> そのどちらであっても、瑚太朗にそれを委ねたいという感情が、……もっとも純粋な形で太刀筋に現れる。

// <2119> だから、その切っ先は、何の澱みもなく、美しい軌跡を描く…。
<2119> だから、その切っ先は、何の澱みもなく、美しい軌跡を描く…。

