// <0000> 
<0000> 

// <0001> 瑚太朗＿必要
<3312> 『極端かつ病的に特化した技能…それは魔法のような固有技能と見なせる』

// <3313> 清水
<3313> 清水

// <3314> 『弓のうまい者なら百発百中は当たり前。射る矢に意図的に空気抵抗をかけるなどして、意のままに曲射を行う者もいる』
<3314> 『弓のうまい者なら百発百中は当たり前。射る矢に意図的に空気抵抗をかけるなどして、意のままに曲射を行う者もいる』

// <3315> 清水
<3315> 清水

// <3316> 『ほとんどの場合、ひとりひとつの固有技能に目覚める』
<3316> 『ほとんどの場合、ひとりひとつの固有技能に目覚める』

// <3317> 清水
<3317> 清水

// <3318> 『まれに二つ以上の能力を発現させるマルチホルダーもいるが…まあ例外だな』
<3318> 『まれに二つ以上の能力を発現させるマルチホルダーもいるが…まあ例外だな』

// <3319> 清水
<3319> 清水

// <3320> 『もしこの中で自らの固有能力をすでに見出した者がいるなら、可能な限り報告するように』
<3320> 『もしこの中で自らの固有能力をすでに見出した者がいるなら、可能な限り報告するように』

// <3321> 瑚太朗＿必要
<3321> 瑚太朗＿必要

// <3322> （体液を操るのが固有能力として…じゃあ、この超能力の方はなんなんだ？）
<3322> （体液を操るのが固有能力として…じゃあ、この超能力の方はなんなんだ？）

// <3323> レアなダブルホルダーだったりするのか。
<3323> レアなダブルホルダーだったりするのか。

// <3324> わからない…
<3324> わからない…

// <3325> 基礎体力を訓練なしで向上させられる。
<3325> 基礎体力を訓練なしで向上させられる。

// <3326> こんな能力があるものなのか？
<3326> こんな能力があるものなのか？

// <3327> 今宮
<3327> 今宮

// <3328> 「…能力を教えろ？　バカじゃねーのおめー？」
<3328> 「…能力を教えろ？　バカじゃねーのおめー？」

// <3329> 今宮
<3329> 今宮

// <3330> 「清水教官も言ってたろ、可能な限り報告しろって」
<3330> 「清水教官も言ってたろ、可能な限り報告しろって」

// <3331> 今宮
<3331> 今宮

// <3332> 「あれは報告したくなかったらしないでいいって意味なんだよタコ」
<3332> 「あれは報告したくなかったらしないでいいって意味なんだよタコ」

// <3333> 今宮
<3333> 今宮

// <3334> 「おめー、ちょっと甘いんじゃねーの？」
<3334> 「おめー、ちょっと甘いんじゃねーの？」

// <3335> 今宮
<3335> 今宮

// <3336> 「てめーがレアな汚染系だからって、狩猟系の俺を舐めてんじゃねーよ！」
<3336> 「てめーがレアな汚染系だからって、狩猟系の俺を舐めてんじゃねーよ！」

// <3337> …辛辣なわりに口が軽い今宮のことは、別にそれほど嫌ってはいない。
<3337> …辛辣なわりに口が軽い今宮のことは、別にそれほど嫌ってはいない。

// <3338> 基礎能力を念じることで向上させる能力。
<3338> 基礎能力を念じることで向上させる能力。

// <3339> 上書き能力…とでも言うのか。
<3339> 上書き能力…とでも言うのか。

// <3340> 上書き能力には、おかしなところがある。
<3340> 上書き能力には、おかしなところがある。

// <3341> 念じた分だけ強くなる。
<3341> 念じた分だけ強くなる。

// <3342> 便利すぎる。
<3342> 便利すぎる。

// <3343> 事実、俺は今まで、体育や運動で苦労したことがない。
<3343> 事実、俺は今まで、体育や運動で苦労したことがない。

// <3344> その代償を、何も支払っていない。
<3344> その代償を、何も支払っていない。

// <3345> こんなズルがあるものだろうか？
<3345> こんなズルがあるものだろうか？

// <3346> 上書きを重ねれば、今宮や西九条に追いつくこともできるかも知れない。
<3346> 上書きを重ねれば、今宮や西九条に追いつくこともできるかも知れない。

// <3347> けど…そのコストはどこから来ている？
<3347> けど…そのコストはどこから来ている？

// <3348> 念じて強くなる。
<3348> 念じて強くなる。

// <3349> その分のエネルギーは、どこから持ってきている？
<3349> その分のエネルギーは、どこから持ってきている？

// <3350> 思い出してみれば、上書きした前後、いつも貧血に似た感じになる。
<3350> 思い出してみれば、上書きした前後、いつも貧血に似た感じになる。

// <3351> 体力がごっそり吸い取られる感覚だ。
<3351> 体力がごっそり吸い取られる感覚だ。

// <3352> 俺は何かを喪失している。
<3352> 俺は何かを喪失している。

// <3353> その失ったものによって、力を高めているんだ。
<3353> その失ったものによって、力を高めているんだ。

// <3354> 瑚太朗＿必要
<3354> 瑚太朗＿必要

// <3355> （…危険だ）
<3355> （…危険だ）

// <3356> おいそれと使えるものじゃない。
<3356> おいそれと使えるものじゃない。

// <3357> 行軍の時も、俺は血液の酸素運搬能力を増幅し、持久力を実力以上に高めた。
<3357> 行軍の時も、俺は血液の酸素運搬能力を増幅し、持久力を実力以上に高めた。

// <3358> これは以前上書きした時に、できるようになったことのひとつだ。
<3358> これは以前上書きした時に、できるようになったことのひとつだ。

// <3359> 今あるものでも工夫次第でやれるなら、安易に強化すべきではない。
<3359> 今あるものでも工夫次第でやれるなら、安易に強化すべきではない。

// <3360> いずれ、使うこともあるだろうが。
<3360> いずれ、使うこともあるだろうが。

// <3361> 今はまだその時じゃないような気がした。
<3361> 今はまだその時じゃないような気がした。

// <3362> 瑚太朗＿必要
<3362> 瑚太朗＿必要

// <3363> （そうさ…自分の力でやるんだ）
<3363> （そうさ…自分の力でやるんだ）

// <3364> 西九条
<3364> 西九条

// <3365> 「やあ！」
<3365> 「やあ！」

// <3366> 瑚太朗＿必要
<3366> 瑚太朗＿必要

// <3367> 「いてっ！」
<3367> 「いてっ！」

// <3368> 西九条の投げた訓練用ゴムボールが、壁に跳ね返って俺の後頭部に直撃した。
<3368> 西九条の投げた訓練用ゴムボールが、壁に跳ね返って俺の後頭部に直撃した。

// <3369> …決意だけじゃ勝てない。
<3369> …決意だけじゃ勝てない。

// <3370> 早朝訓練。
<3370> 早朝訓練。

// <3371> 誰よりも早く表に出ると、清水教官と一緒に江坂さんがいた。
<3371> 誰よりも早く表に出ると、清水教官と一緒に江坂さんがいた。

// <3372> 瑚太朗＿必要
<3372> 瑚太朗＿必要

// <3373> 「江坂さん、どうも」
<3373> 「江坂さん、どうも」

// <3374> 江坂
<3374> 江坂

// <3375> 「天王寺か。調子はどうだ」
<3375> 「天王寺か。調子はどうだ」

// <3376> 瑚太朗＿必要
<3376> 瑚太朗＿必要

// <3377> 「調子は悪いですけど」
<3377> 「調子は悪いですけど」

// <3378> 清水
<3378> 清水

// <3379> 「バカ、何言ってる」
<3379> 「バカ、何言ってる」

// <3380> 瑚太朗＿必要
<3380> 瑚太朗＿必要

// <3381> 「お久しぶりです」
<3381> 「お久しぶりです」

// <3382> 江坂
<3382> 江坂

// <3383> 「訓練生たちの様子を見に来た」
<3383> 「訓練生たちの様子を見に来た」

// <3384> 瑚太朗＿必要
<3384> 瑚太朗＿必要

// <3385> 「…俺、期待裏切ってるかも」
<3385> 「…俺、期待裏切ってるかも」

// <3386> 江坂
<3386> 江坂

// <3387> 「そうなのか？」
<3387> 「そうなのか？」

// <3388> 瑚太朗＿必要
<3388> 瑚太朗＿必要

// <3389> 「俺の成績、もう見ました？」
<3389> 「俺の成績、もう見ました？」

// <3390> 江坂
<3390> 江坂

// <3391> 「ああ」
<3391> 「ああ」

// <3392> 瑚太朗＿必要
<3392> 瑚太朗＿必要

// <3393> 「だったら…見ての通りです」
<3393> 「だったら…見ての通りです」

// <3394> 江坂
<3394> 江坂

// <3395> 「現時点での順位など何にもならん。必要なのは成績優秀者ではなく戦力だ」
<3395> 「現時点での順位など何にもならん。必要なのは成績優秀者ではなく戦力だ」

// <3396> 瑚太朗＿必要
<3396> 瑚太朗＿必要

// <3397> 「…それって？」
<3397> 「…それって？」

// <3398> 江坂
<3398> 江坂

// <3399> 「清水、私が連れてきた駒だ。少し指導するぞ」
<3399> 「清水、私が連れてきた駒だ。少し指導するぞ」

// <3400> 清水
<3400> 清水

// <3401> 「どうぞどうぞ」
<3401> 「どうぞどうぞ」

// <3402> 瑚太朗＿必要
<3402> 瑚太朗＿必要

// <3403> 「え、そんな不公平はマズいんじゃ…」
<3403> 「え、そんな不公平はマズいんじゃ…」

// <3404> 江坂
<3404> 江坂

// <3405> 「どうしてだ」
<3405> 「どうしてだ」

// <3406> 瑚太朗＿必要
<3406> 瑚太朗＿必要

// <3407> 「江坂さん、人気あるみたいだから…俺みたいのが独占したら皆が気にします」
<3407> 「江坂さん、人気あるみたいだから…俺みたいのが独占したら皆が気にします」

// <3408> 顔をぶん殴られた。
<3408> 顔をぶん殴られた。

// <3409> かなり強い打撃。地面に叩きつけられた。
<3409> かなり強い打撃。地面に叩きつけられた。

// <3410> 熱い鼻血が流れてきた。
<3410> 熱い鼻血が流れてきた。

// <3411> 江坂
<3411> 江坂

// <3412> 「卑屈は捨てろ。卑しさが貴様をクズにする」
<3412> 「卑屈は捨てろ。卑しさが貴様をクズにする」

// <3413> 瑚太朗＿必要
<3413> 瑚太朗＿必要

// <3414> 「………す、すいません」
<3414> 「………す、すいません」

// <3415> 何が起きたのか理解できなかった。
<3415> 何が起きたのか理解できなかった。

// <3416> 今どきは教師でさえ、生徒を殴ることはない。
<3416> 今どきは教師でさえ、生徒を殴ることはない。

// <3417> ここは学校じゃない。
<3417> ここは学校じゃない。

// <3418> もう誰の庇護下でもないんだと実感した。
<3418> もう誰の庇護下でもないんだと実感した。

// <3419> 江坂
<3419> 江坂

// <3420> 「根本から叩き直す必要があるな。来い」
<3420> 「根本から叩き直す必要があるな。来い」

// <3421> モノのように引っ張っていかれる。
<3421> モノのように引っ張っていかれる。

// <3422> 江坂
<3422> 江坂

// <3423> 「…出血が治癒しているな」
<3423> 「…出血が治癒しているな」

// <3424> 瑚太朗＿必要
<3424> 瑚太朗＿必要

// <3425> 「は」
<3425> 「は」

// <3426> 江坂
<3426> 江坂

// <3427> 「その止まり方は不自然だな」
<3427> 「その止まり方は不自然だな」

// <3428> 出血は無意識に止めてしまう癖がある。
<3428> 出血は無意識に止めてしまう癖がある。

// <3429> 能力を隠す方が有利というなら、直すべきなんだろうが…
<3429> 能力を隠す方が有利というなら、直すべきなんだろうが…

// <3430> 瑚太朗＿必要
<3430> 瑚太朗＿必要

// <3431> 「えっと…俺の能力です」
<3431> 「えっと…俺の能力です」

// <3432> 江坂
<3432> 江坂

// <3433> 「正直だな」
<3433> 「正直だな」

// <3434> 瑚太朗＿必要
<3434> 瑚太朗＿必要

// <3435> 「別に江坂さんにバレてもいいんで」
<3435> 「別に江坂さんにバレてもいいんで」

// <3436> 江坂
<3436> 江坂

// <3437> 「バカ正直だな」
<3437> 「バカ正直だな」

// <3438> 江坂さんは警戒の様子もなく、刃を潰した刀を下げている。
<3438> 江坂さんは警戒の様子もなく、刃を潰した刀を下げている。

// <3439> 江坂
<3439> 江坂

// <3440> 「こちらからは仕掛けん。貴様から攻めてこい」
<3440> 「こちらからは仕掛けん。貴様から攻めてこい」

// <3441> 瑚太朗＿必要
<3441> 瑚太朗＿必要

// <3442> 「その前にちょっといいですか？」
<3442> 「その前にちょっといいですか？」

// <3443> 江坂
<3443> 江坂

// <3444> 「どうした」
<3444> 「どうした」

// <3445> 瑚太朗＿必要
<3445> 瑚太朗＿必要

// <3446> 「これ、長すぎて振り回しにくいんですけど…」
<3446> 「これ、長すぎて振り回しにくいんですけど…」

// <3447> 与えられた訓練刀は長く、俺には少し扱いにくい。
<3447> 与えられた訓練刀は長く、俺には少し扱いにくい。

// <3448> 江坂
<3448> 江坂

// <3449> 「そうした感じは大事にすることだ」
<3449> 「そうした感じは大事にすることだ」

// <3450> 江坂
<3450> 江坂

// <3451> 「好きなものを選べ」
<3451> 「好きなものを選べ」

// <3452> 瑚太朗＿必要
<3452> 瑚太朗＿必要

// <3453> 「はい」
<3453> 「はい」

// <3454> まともにやっても勝てない。
<3454> まともにやっても勝てない。

// <3455> 策がいる。
<3455> 策がいる。

// <3456> 
<3456> 

// <3457> 飛び道具
<3457> 飛び道具

// <3458> 近接武器
<3458> 近接武器

// <3459> 離れた位置から攻撃できる方がいい。
<3459> 離れた位置から攻撃できる方がいい。

// <3460> 壁際に並べられた、訓練用の武器ロッカーをあさる。
<3460> 壁際に並べられた、訓練用の武器ロッカーをあさる。

// <3461> 訓練用の当たっても痛くない機関銃を期待したが、残念ながらない。
<3461> 訓練用の当たっても痛くない機関銃を期待したが、残念ながらない。

// <3462> かわりに訓練用の当たっても安全なロケット砲をさがしたが、やはりなかった。
<3462> かわりに訓練用の当たっても安全なロケット砲をさがしたが、やはりなかった。

// <3463> 訓練用の安全に踏める対人地雷を…
<3463> 訓練用の安全に踏める対人地雷を…

// <3464> 江坂
<3464> 江坂

// <3465> 「銃火器はないぞ」
<3465> 「銃火器はないぞ」

// <3466> 瑚太朗＿必要
<3466> 瑚太朗＿必要

// <3467> 「ですよね」
<3467> 「ですよね」

// <3468> …結局。
<3468> …結局。

// <3469> 瑚太朗＿必要
<3469> 瑚太朗＿必要

// <3470> 「…これでいいです」
<3470> 「…これでいいです」

// <3471> 江坂
<3471> 江坂

// <3472> 「ナイフか」
<3472> 「ナイフか」

// <3473> 江坂
<3473> 江坂

// <3474> 「仮に技能が互角でも、リーチの分不利になる」
<3474> 「仮に技能が互角でも、リーチの分不利になる」

// <3475> 江坂
<3475> 江坂

// <3476> 「適切な武器の選択とは言い難いな」
<3476> 「適切な武器の選択とは言い難いな」

// <3477> 瑚太朗＿必要
<3477> 瑚太朗＿必要

// <3478> 「そうですね、なら」
<3478> 「そうですね、なら」

// <3479> 瑚太朗＿必要
<3479> 瑚太朗＿必要

// <3480> 「必殺技も使います」
<3480> 「必殺技も使います」

// <3481> 江坂
<3481> 江坂

// <3482> 「ふむ」
<3482> 「ふむ」

// <3483> 江坂
<3483> 江坂

// <3484> 「こちらには手品は使うなということだな？」
<3484> 「こちらには手品は使うなということだな？」

// <3485> 瑚太朗＿必要
<3485> 瑚太朗＿必要

// <3486> 「そこまでは言いませんけど…興味ありますし、人の能力」
<3486> 「そこまでは言いませんけど…興味ありますし、人の能力」

// <3487> 江坂
<3487> 江坂

// <3488> 「死ぬが、いいか？」
<3488> 「死ぬが、いいか？」

// <3489> ついでに買ってくるのはフルーツパンでいいか？
<3489> ついでに買ってくるのはフルーツパンでいいか？

// <3490> みたいな口調で訊かれた。
<3490> みたいな口調で訊かれた。

// <3491> 瑚太朗＿必要
<3491> 瑚太朗＿必要

// <3492> 「…すげぇいやです」
<3492> 「…すげぇいやです」

// <3493> 江坂
<3493> 江坂

// <3494> 「私は伐採系だ。能力は切るか外すかで、手加減というものがない」
<3494> 「私は伐採系だ。能力は切るか外すかで、手加減というものがない」

// <3495> 物騒なことを呟きながら、江坂さんは構えを…とらない。
<3495> 物騒なことを呟きながら、江坂さんは構えを…とらない。

// <3496> 瑚太朗＿必要
<3496> 瑚太朗＿必要

// <3497> （それくらいの実力差があるということね…）
<3497> （それくらいの実力差があるということね…）

// <3498> 瑚太朗＿必要
<3498> 瑚太朗＿必要

// <3499> （さて、どう攻めよう）
<3499> （さて、どう攻めよう）

// <3500> 江坂さんの前に立つ。
<3500> 江坂さんの前に立つ。

// <3501> そしてどう攻めるか思案してみた。
<3501> そしてどう攻めるか思案してみた。

// <3502> 構えてはいない。とはいえ予想した通り、隙などない。
<3502> 構えてはいない。とはいえ予想した通り、隙などない。

// <3503> 攻撃、という行為自体、まだ俺の身に付いていないのだ。
<3503> 攻撃、という行為自体、まだ俺の身に付いていないのだ。

// <3504> 瑚太朗＿必要
<3504> 瑚太朗＿必要

// <3505> （どこか…とっかかりはないのか）
<3505> （どこか…とっかかりはないのか）

// <3506> 目を凝らす。
<3506> 目を凝らす。

// <3507> 様々な攻めのイメージが脳裏を掠めていく。
<3507> 様々な攻めのイメージが脳裏を掠めていく。

// <3508> 左から、右から、正面から。
<3508> 左から、右から、正面から。

// <3509> さらには姿勢や攻撃方法、手順、フェイント。
<3509> さらには姿勢や攻撃方法、手順、フェイント。

// <3510> かけあわせが無限の分岐となり、可能性の域とでも呼べる選択肢の群れとなる。
<3510> かけあわせが無限の分岐となり、可能性の域とでも呼べる選択肢の群れとなる。

// <3511> どのルートが正解なのか。
<3511> どのルートが正解なのか。

// <3512> 見極めねばならない。
<3512> 見極めねばならない。

// <3513> 
<3513> 

// <3514> 真正面から
<3514> 真正面から

// <3515> 距離を取って
<3515> 距離を取って

// <3516> 飛び込んで
<3516> 飛び込んで

// <3517> ナイフで
<3517> ナイフで

// <3518> ナイフを投げ格闘戦に持ち込み
<3518> ナイフを投げ格闘戦に持ち込み

// <3519> 土で目つぶしし
<3519> 土で目つぶしし

// <3520> 能力を用いて
<3520> 能力を用いて

// <3521> 急所を狙い
<3521> 急所を狙い

// <3522> 当たればどこでも狙い
<3522> 当たればどこでも狙い

// <3523> フェイントをおりまぜ
<3523> フェイントをおりまぜ

// <3524> 連続で攻める
<3524> 連続で攻める

// <3525> 一撃に賭ける
<3525> 一撃に賭ける

// <3526> これで…どの程度食い下がれるか。
<3526> これで…どの程度食い下がれるか。

// <3527> とにかく選択は行われ、俺は動いた。
<3527> とにかく選択は行われ、俺は動いた。

// <3528> 瑚太朗＿必要
<3528> 瑚太朗＿必要

// <3529> 「…まいりました」
<3529> 「…まいりました」

// <3530> 全然ダメだった。完敗した。
<3530> 全然ダメだった。完敗した。

// <3531> 手も足も出なかった。
<3531> 手も足も出なかった。

// <3532> 瑚太朗＿必要
<3532> 瑚太朗＿必要

// <3533> 「もう一回、お願いしますっ」
<3533> 「もう一回、お願いしますっ」

// <3534> 江坂
<3534> 江坂

// <3535> 「よかろう」
<3535> 「よかろう」

// <3536> 続く十戦、全敗。
<3536> 続く十戦、全敗。

// <3537> 結局、江坂さんは刀を使わなかった。
<3537> 結局、江坂さんは刀を使わなかった。

// <3538> 刀を重荷とした状態で、俺の攻撃を片腕で完封した。
<3538> 刀を重荷とした状態で、俺の攻撃を片腕で完封した。

// <3539> 圧倒的な技の差。
<3539> 圧倒的な技の差。

// <3540> 岩石を藁束で叩いて壊そうとするみたいな虚しさを感じた。
<3540> 岩石を藁束で叩いて壊そうとするみたいな虚しさを感じた。

// <3541> 江坂
<3541> 江坂

// <3542> 「ここまでか？」
<3542> 「ここまでか？」

// <3543> 瑚太朗＿必要
<3543> 瑚太朗＿必要

// <3544> 「はい…」
<3544> 「はい…」

// <3545> 江坂
<3545> 江坂

// <3546> 「限界まで力を出し切って、はじめて技が向上する瞬間が訪れる」
<3546> 「限界まで力を出し切って、はじめて技が向上する瞬間が訪れる」

// <3547> 江坂
<3547> 江坂

// <3548> 「最後の一回、やるか？」
<3548> 「最後の一回、やるか？」

// <3549> 瑚太朗＿必要
<3549> 瑚太朗＿必要

// <3550> 「…」
<3550> 「…」

// <3551> 瑚太朗＿必要
<3551> 瑚太朗＿必要

// <3552> 「やり…ます…」
<3552> 「やり…ます…」

// <3553> 体にムチ打って立ち上がる。
<3553> 体にムチ打って立ち上がる。

// <3554> 江坂
<3554> 江坂

// <3555> 「いい目だ。普段の貴様は、思考がネガティブ寄りだな」
<3555> 「いい目だ。普段の貴様は、思考がネガティブ寄りだな」

// <3556> 江坂
<3556> 江坂

// <3557> 「そういうマイナス感情は我々のような者には危険だぞ」
<3557> 「そういうマイナス感情は我々のような者には危険だぞ」

// <3558> 瑚太朗＿必要
<3558> 瑚太朗＿必要

// <3559> 「…今は、マイナス気分じゃないです」
<3559> 「…今は、マイナス気分じゃないです」

// <3560> このオッサンからスキルを盗んでやろう、くらいの気持ちはある。
<3560> このオッサンからスキルを盗んでやろう、くらいの気持ちはある。

// <3561> 江坂
<3561> 江坂

// <3562> 「…結構」
<3562> 「…結構」

// <3563> 勝つことではなく、学ぶことを意識すべきだと思った。
<3563> 勝つことではなく、学ぶことを意識すべきだと思った。

// <3564> 貴重な機会だ。
<3564> 貴重な機会だ。

// <3565> ある意味、実戦経験より重要な体験。
<3565> ある意味、実戦経験より重要な体験。

// <3566> 心してやろう。
<3566> 心してやろう。

// <3567> 真正面から
<3567> 真正面から

// <3568> 左から
<3568> 左から

// <3569> 右から
<3569> 右から

// <3570> 飛び込んで
<3570> 飛び込んで

// <3571> ナイフで
<3571> ナイフで

// <3572> 拳で
<3572> 拳で

// <3573> 蹴りで
<3573> 蹴りで

// <3574> 頭突きで
<3574> 頭突きで

// <3575> 急所を狙い
<3575> 急所を狙い

// <3576> 隙を探して
<3576> 隙を探して

// <3577> 気配を消して
<3577> 気配を消して

// <3578> フェイントをおりまぜ
<3578> フェイントをおりまぜ

// <3579> 連続で攻める
<3579> 連続で攻める

// <3580> 一撃に賭ける
<3580> 一撃に賭ける

// <3581> …タイミング、踏み込み、速度、角度、呼吸。
<3581> …タイミング、踏み込み、速度、角度、呼吸。

// <3582> 動作を構成する諸要素が、一連の動作へと統合されていく。
<3582> 動作を構成する諸要素が、一連の動作へと統合されていく。

// <3583> 江坂さんから見て左手に、俺は身を投じた。
<3583> 江坂さんから見て左手に、俺は身を投じた。

// <3584> 相手は動かない。守りに徹している。
<3584> 相手は動かない。守りに徹している。

// <3585> ある一点に、なんだか攻めやすそうな雰囲気を感じ取る。
<3585> ある一点に、なんだか攻めやすそうな雰囲気を感じ取る。

// <3586> 瑚太朗＿必要
<3586> 瑚太朗＿必要

// <3587> （…罠か？）
<3587> （…罠か？）

// <3588> いや、違う。違うぞこれは…
<3588> いや、違う。違うぞこれは…

// <3589> 罠じゃない。それだけは確かだ。
<3589> 罠じゃない。それだけは確かだ。

// <3590> 江坂
<3590> 江坂

// <3591> 「…」
<3591> 「…」

// <3592> なら、攻める――！
<3592> なら、攻める――！

// <3593> 一気に距離を詰めた。
<3593> 一気に距離を詰めた。

// <3594> 江坂
<3594> 江坂

// <3595> 「ふむ」
<3595> 「ふむ」

// <3596> 江坂さんの上体が傾いで、攻撃を回避した。
<3596> 江坂さんの上体が傾いで、攻撃を回避した。

// <3597> 同時に、刀の柄頭が俺の腹部にめりこむ。
<3597> 同時に、刀の柄頭が俺の腹部にめりこむ。

// <3598> たまらず体をくの字に折り、地面に転がる。
<3598> たまらず体をくの字に折り、地面に転がる。

// <3599> …またもや一撃決着。どうしようもない。
<3599> …またもや一撃決着。どうしようもない。

// <3600> よほど手加減されたのか、腹痛はさほど尾を引かなかった。
<3600> よほど手加減されたのか、腹痛はさほど尾を引かなかった。

// <3601> 江坂
<3601> 江坂

// <3602> 「天王寺」
<3602> 「天王寺」

// <3603> 瑚太朗＿必要
<3603> 瑚太朗＿必要

// <3604> 「はい」
<3604> 「はい」

// <3605> 江坂
<3605> 江坂

// <3606> 「横に回られた時、貴様の脅威度が変わったように感じた。偶然か？」
<3606> 「横に回られた時、貴様の脅威度が変わったように感じた。偶然か？」

// <3607> 瑚太朗＿必要
<3607> 瑚太朗＿必要

// <3608> 「…自分なりに考えた作戦でしたけど」
<3608> 「…自分なりに考えた作戦でしたけど」

// <3609> 江坂
<3609> 江坂

// <3610> 「能力を使っていたか？」
<3610> 「能力を使っていたか？」

// <3611> 瑚太朗＿必要
<3611> 瑚太朗＿必要

// <3612> 「いえ、まったく」
<3612> 「いえ、まったく」

// <3613> 江坂
<3613> 江坂

// <3614> 「ふむ」
<3614> 「ふむ」

// <3615> 江坂
<3615> 江坂

// <3616> 「なぜ左側に回った？」
<3616> 「なぜ左側に回った？」

// <3617> 聞かれて悩む。
<3617> 聞かれて悩む。

// <3618> 閃きです、なんてのが答えになるだろうか？
<3618> 閃きです、なんてのが答えになるだろうか？

// <3619> 予言めいた閃きではあったけど、そんなの人からしたらただの山勘と変わりない。
<3619> 予言めいた閃きではあったけど、そんなの人からしたらただの山勘と変わりない。

// <3620> 瑚太朗＿必要
<3620> 瑚太朗＿必要

// <3621> 「…なんとなくです」
<3621> 「…なんとなくです」

// <3622> 結局、そんな風に言う他なかった。
<3622> 結局、そんな風に言う他なかった。

// <3623> 江坂
<3623> 江坂

// <3624> 「…」
<3624> 「…」

// <3625> なんだ、こわい目をして…
<3625> なんだ、こわい目をして…

// <3626> 瑚太朗＿必要
<3626> 瑚太朗＿必要

// <3627> 「まずい判断でしたか？」
<3627> 「まずい判断でしたか？」

// <3628> 江坂
<3628> 江坂

// <3629> 「いや…むしろ、できすぎなくらいだがね」
<3629> 「いや…むしろ、できすぎなくらいだがね」

// <3630> 江坂
<3630> 江坂

// <3631> 「理由がないとなれば、偶然か。ずいぶんといやな感じだったが」
<3631> 「理由がないとなれば、偶然か。ずいぶんといやな感じだったが」

// <3632> 瑚太朗＿必要
<3632> 瑚太朗＿必要

// <3633> 「そ、そんなに良かったんですか？　俺の攻撃」
<3633> 「そ、そんなに良かったんですか？　俺の攻撃」

// <3634> 江坂
<3634> 江坂

// <3635> 「いや、クズだった」
<3635> 「いや、クズだった」

// <3636> 瑚太朗＿必要
<3636> 瑚太朗＿必要

// <3637> 「………」
<3637> 「………」

// <3638> 江坂
<3638> 江坂

// <3639> 「小手先の技に頼りすぎだ。意表を突きたいのはわかるが、危ういな」
<3639> 「小手先の技に頼りすぎだ。意表を突きたいのはわかるが、危ういな」

// <3640> 江坂
<3640> 江坂

// <3641> 「攻撃はシンプルに力強く行え。駆け引きや心理戦を前提にするな」
<3641> 「攻撃はシンプルに力強く行え。駆け引きや心理戦を前提にするな」

// <3642> 瑚太朗＿必要
<3642> 瑚太朗＿必要

// <3643> 「それは、真正面から突撃するのが一番いいってことですか？」
<3643> 「それは、真正面から突撃するのが一番いいってことですか？」

// <3644> 江坂
<3644> 江坂

// <3645> 「猪突猛進をしろというのではない」
<3645> 「猪突猛進をしろというのではない」

// <3646> 江坂
<3646> 江坂

// <3647> 「効果的な打撃を、短時間に集中して加えること」
<3647> 「効果的な打撃を、短時間に集中して加えること」

// <3648> 江坂
<3648> 江坂

// <3649> 「シンプルで効果的な火力運用こそが、実戦の基本であり奥義だ」
<3649> 「シンプルで効果的な火力運用こそが、実戦の基本であり奥義だ」

// <3650> 瑚太朗＿必要
<3650> 瑚太朗＿必要

// <3651> 「なるほど…」
<3651> 「なるほど…」

// <3652> 江坂
<3652> 江坂

// <3653> 「道場試合とは違う。効果的な力押しがものをいうのが実戦だ」
<3653> 「道場試合とは違う。効果的な力押しがものをいうのが実戦だ」

// <3654> 江坂
<3654> 江坂

// <3655> 「このこと、忘れるな」
<3655> 「このこと、忘れるな」

// <3656> 江坂さんの教え
<3656> 江坂さんの教え

// <3657> Part1
<3657> Part1

// <3658> 。
<3658> 。

// <3659> 俺の脅威度が変わった…
<3659> 俺の脅威度が変わった…

// <3660> 江坂さんとの力量差が、わずかでも埋まった瞬間があったということだ。
<3660> 江坂さんとの力量差が、わずかでも埋まった瞬間があったということだ。

// <3661> なぜそんなことが起きたのか、憶測もできない。
<3661> なぜそんなことが起きたのか、憶測もできない。

// <3662> ただ立ち会いの最中、どう行動すれば良いのかわかった瞬間があった。
<3662> ただ立ち会いの最中、どう行動すれば良いのかわかった瞬間があった。

// <3663> 火花のような閃き。発想。
<3663> 火花のような閃き。発想。

// <3664> 偶然と言ってしまえばそれまでだ。
<3664> 偶然と言ってしまえばそれまでだ。

// <3665> …だけどあの閃きになら、命だって賭けられる。
<3665> …だけどあの閃きになら、命だって賭けられる。

// <3666> 迷った時にともしびを目にしたら、誰だってそう思うはず。
<3666> 迷った時にともしびを目にしたら、誰だってそう思うはず。

// <3667> 瑚太朗＿必要
<3667> 瑚太朗＿必要

// <3668> （自分でコントロールできたらな…）
<3668> （自分でコントロールできたらな…）

