// <0000> 【ミラクル大冒険】
<0000> 【ミラクル大冒険】
<0859> ……違うはずだ。

// <0860> 鍵の振るまいは、そうした強い感情を一切伴っていない。
<0860> 鍵の振るまいは、そうした強い感情を一切伴っていない。

// <0861> むしろ無感情、無機質的でさえある。
<0861> むしろ無感情、無機質的でさえある。

// <0862> 鍵は憎しみによって滅びをもたらしているわけじゃないのは明らかだ。
<0862> 鍵は憎しみによって滅びをもたらしているわけじゃないのは明らかだ。

// <0863> では何かと言えば、それは本能だろう。
<0863> では何かと言えば、それは本能だろう。

// <0864> 鍵は星の本能そのものだ。
<0864> 鍵は星の本能そのものだ。

// <0865> 生物の本能とは言い換えれば、繁栄する可能性を高めるための仕組みだ。
<0865> 生物の本能とは言い換えれば、繁栄する可能性を高めるための仕組みだ。

// <0866> たとえば人は教わらずとも恋をする。
<0866> たとえば人は教わらずとも恋をする。

// <0867> その根底には、子孫を残すという悲願がある。
<0867> その根底には、子孫を残すという悲願がある。

// <0868> それでは星の本能、悲願とは何か？
<0868> それでは星の本能、悲願とは何か？

// <0869> こればかりは人だろうが虫だろうが星だろうが変わらないだろう。
<0869> こればかりは人だろうが虫だろうが星だろうが変わらないだろう。

// <0870> ……繁殖だ。
<0870> ……繁殖だ。

// <0871> たいていの生物はできるだけ若いうちに子孫を残したいものだ。
<0871> たいていの生物はできるだけ若いうちに子孫を残したいものだ。

// <0872> それと同じように、星もエネルギーが残されているうちに子孫を残したい。
<0872> それと同じように、星もエネルギーが残されているうちに子孫を残したい。

// <0873> だから、文明によって資源の浪費がはじまると、再進化を引き起こす。
<0873> だから、文明によって資源の浪費がはじまると、再進化を引き起こす。

// <0874> エネルギーが枯渇する前にリセットをかけるために。
<0874> エネルギーが枯渇する前にリセットをかけるために。

// <0875> 現行人類にとっては確かに災難に違いない。
<0875> 現行人類にとっては確かに災難に違いない。

// <0876> けど星にとっては、無我夢中の生存欲求の発露だ。
<0876> けど星にとっては、無我夢中の生存欲求の発露だ。

// <0877> そこに悪意などというものはない。
<0877> そこに悪意などというものはない。

// <0878> ……というところまで考えて、俺は戦慄する。
<0878> ……というところまで考えて、俺は戦慄する。

// <0879> つまり、今俺が目にしている篝とは単なる…
<0879> つまり、今俺が目にしている篝とは単なる…

// <0880> 全身が震えた。
<0880> 全身が震えた。

// <0881> 瑚太朗
<0881> 瑚太朗

// <0882> 「篝」
<0882> 「篝」

// <0883> 呼ぶと、こちらを向いた。
<0883> 呼ぶと、こちらを向いた。

// <0884> 顔を近づける。
<0884> 顔を近づける。

// <0885> そして…重なって、離れた。
<0885> そして…重なって、離れた。

// <0886> 篝
<0886> 篝

// <0887> 「…？」
<0887> 「…？」

// <0888> 事前も事後も、篝はきょとんとしていた。
<0888> 事前も事後も、篝はきょとんとしていた。

// <0889> 人間の姿に擬態してはいても、人間じゃない。
<0889> 人間の姿に擬態してはいても、人間じゃない。

// <0890> だからいきなりキスをしても、こんなである。
<0890> だからいきなりキスをしても、こんなである。

// <0891> まったく、つまらない。
<0891> まったく、つまらない。

// <0892> 笑ってしまった。
<0892> 笑ってしまった。

// <0893> とどのつまり、篝はひとつの現象なのだ。
<0893> とどのつまり、篝はひとつの現象なのだ。

// <0894> 星の生存本能を体現した存在。
<0894> 星の生存本能を体現した存在。

// <0895> だけど俺は、そんな篝にほんの少しだけ、自律した意思の発露を感じている。
<0895> だけど俺は、そんな篝にほんの少しだけ、自律した意思の発露を感じている。

// <0896> 個体としての篝の意思。
<0896> 個体としての篝の意思。

// <0897> 瑚太朗
<0897> 瑚太朗

// <0898> 「たぶんこの場所まで来ることができる人間は、俺しかいない」
<0898> 「たぶんこの場所まで来ることができる人間は、俺しかいない」

// <0899> 瑚太朗
<0899> 瑚太朗

// <0900> 「だから、俺だけが篝の味方になれるし、そうしたいと思う」
<0900> 「だから、俺だけが篝の味方になれるし、そうしたいと思う」

// <0901> 瑚太朗
<0901> 瑚太朗

// <0902> 「俺、篝を守るよ」
<0902> 「俺、篝を守るよ」

// <0903> 篝はきょとんとしていた。
<0903> 篝はきょとんとしていた。

// <0904> 伝わらないことはわかっていた。
<0904> 伝わらないことはわかっていた。

// <0905> だけど森羅万象が冷たい物理に過ぎないのだとしても、俺だけはそこに意義を見出してやりたいと思った。
<0905> だけど森羅万象が冷たい物理に過ぎないのだとしても、俺だけはそこに意義を見出してやりたいと思った。

// <0906> このか細い現象を、守ってやりたいんだ。
<0906> このか細い現象を、守ってやりたいんだ。

// <0907> 【静かな海の蜜の月】
<0907> 【静かな海の蜜の月】

// <0908> ある時、篝が倒れた。
<0908> ある時、篝が倒れた。

// <0909> 瑚太朗
<0909> 瑚太朗

// <0910> 「篝…！」
<0910> 「篝…！」

// <0911> 研究しながら、突っ伏すように意識を失った。
<0911> 研究しながら、突っ伏すように意識を失った。

// <0912> あまりのことに俺は動転。
<0912> あまりのことに俺は動転。

// <0913> ここには篝のために呼んでやれる救急車もない。
<0913> ここには篝のために呼んでやれる救急車もない。

// <0914> 間近で見る篝は、薄汚れ、ほころんでいた。
<0914> 間近で見る篝は、薄汚れ、ほころんでいた。

// <0915> 消耗と対応する形で、研究は進んでいた。
<0915> 消耗と対応する形で、研究は進んでいた。

// <0916> 枝世界の数は膨大なものになっている。
<0916> 枝世界の数は膨大なものになっている。

// <0917> 可能性を探し、生存への意志を爆発させて。
<0917> 可能性を探し、生存への意志を爆発させて。

// <0918> だがまだ、出口は見つかっていない。
<0918> だがまだ、出口は見つかっていない。

// <0919> 瑚太朗
<0919> 瑚太朗

// <0920> 「おい？」
<0920> 「おい？」

// <0921> 篝
<0921> 篝

// <0922> 「………」
<0922> 「………」

// <0923> 篝はスイッチを切ったみたいに停止している。
<0923> 篝はスイッチを切ったみたいに停止している。

// <0924> 唇を噛む。
<0924> 唇を噛む。

// <0925> 瑚太朗
<0925> 瑚太朗

// <0926> （一か八か…）
<0926> （一か八か…）

// <0927> 手首から切り出した一滴のオーロラを、篝の唇に落とす。
<0927> 手首から切り出した一滴のオーロラを、篝の唇に落とす。

// <0928> 直感的な対処だが、間違ってはいないはず。
<0928> 直感的な対処だが、間違ってはいないはず。

// <0929> ほどなく…
<0929> ほどなく…

// <0930> 篝
<0930> 篝

// <0931> 「…っ」
<0931> 「…っ」

// <0932> 目を覚ます。
<0932> 目を覚ます。

// <0933> 瑚太朗
<0933> 瑚太朗

// <0934> 「もうやめにするか？」
<0934> 「もうやめにするか？」

// <0935> 篝
<0935> 篝

// <0936> 「…」
<0936> 「…」

// <0937> 瑚太朗
<0937> 瑚太朗

// <0938> 「それとも、まだ続けるか？」
<0938> 「それとも、まだ続けるか？」

// <0939> 瑚太朗
<0939> 瑚太朗

// <0940> 「篝の納得できる方を選ぶんだ」
<0940> 「篝の納得できる方を選ぶんだ」

// <0941> 篝
<0941> 篝

// <0942> 「………」
<0942> 「………」

// <0943> 意味を理解したのかどうか。
<0943> 意味を理解したのかどうか。

// <0944> 少女はぼんやりと身を起こし、再び命の木に指先を這わせた。
<0944> 少女はぼんやりと身を起こし、再び命の木に指先を這わせた。

// <0945> 俺も隣で、一本の枝に触れてみる。
<0945> 俺も隣で、一本の枝に触れてみる。

// <0946> 枝の中にはまれに密度の低い、精査可能なものがあった。
<0946> 枝の中にはまれに密度の低い、精査可能なものがあった。

// <0947> そうした世界には、ある共通する特徴が見受けられた。
<0947> そうした世界には、ある共通する特徴が見受けられた。

// <0948> 鍵の殺害に成功した可能性ばかりなのだ。
<0948> 鍵の殺害に成功した可能性ばかりなのだ。

// <0949> 鍵を殺害すれば滅びは起こらない。
<0949> 鍵を殺害すれば滅びは起こらない。

// <0950> この予測に基づき、狩猟者の一団が実行した予備策のひとつだ。
<0950> この予測に基づき、狩猟者の一団が実行した予備策のひとつだ。

// <0951> …この時もそうだ。
<0951> …この時もそうだ。

// <0952> 世界の秘密に触れた俺は、小鳥の導きで追手から逃れたその先で、篝と行動をともにすることになった。
<0952> 世界の秘密に触れた俺は、小鳥の導きで追手から逃れたその先で、篝と行動をともにすることになった。

// <0953> 世界の命運を自分たちが握っているなんて言われても、まるで実感がなかった。
<0953> 世界の命運を自分たちが握っているなんて言われても、まるで実感がなかった。

// <0954> 組織からの追撃は厳しいものとなった。
<0954> 組織からの追撃は厳しいものとなった。

// <0955> この時の俺は、死すら覚悟していた。
<0955> この時の俺は、死すら覚悟していた。

// <0956> が、今考えてみれば、組織の狙いは俺たちの命ではなかったことがわかる。
<0956> が、今考えてみれば、組織の狙いは俺たちの命ではなかったことがわかる。

// <0957> 連中はずっと機会をうかがっていたんだ。
<0957> 連中はずっと機会をうかがっていたんだ。

// <0958> 俺たちの守りに隙ができる瞬間を。
<0958> 俺たちの守りに隙ができる瞬間を。

// <0959> そして、それは起きた。
<0959> そして、それは起きた。

// <0960> 鍵の死亡。
<0960> 鍵の死亡。

// <0961> これによって世界は滅びを免れた。
<0961> これによって世界は滅びを免れた。

// <0962> 少なくとも、そのタイミングでは。
<0962> 少なくとも、そのタイミングでは。

// <0963> 実際、このあと俺と小鳥は日常に戻ることになったんだ。
<0963> 実際、このあと俺と小鳥は日常に戻ることになったんだ。

// <0964> そうして、いくらか苦労をしながらも、自分たち本来の人生を生きたんだ。
<0964> そうして、いくらか苦労をしながらも、自分たち本来の人生を生きたんだ。

// <0965> 確かに鍵を抹消すれば滅びは起こらない。
<0965> 確かに鍵を抹消すれば滅びは起こらない。

// <0966> そのかわり、資源の浪費を止めるブレーキがなくなる。
<0966> そのかわり、資源の浪費を止めるブレーキがなくなる。

// <0967> 鍵は殺してもいずれ再構成されるが、最短でも数百年はかかる。
<0967> 鍵は殺してもいずれ再構成されるが、最短でも数百年はかかる。

// <0968> 数百年は一瞬だが、人類が資源を使い果たす方が早い。
<0968> 数百年は一瞬だが、人類が資源を使い果たす方が早い。

// <0969> 間に合わないのだ。
<0969> 間に合わないのだ。

// <0970> 滅びが、資源が枯渇する前にやりなおしをするシステムだったことを考えれば、このあたりの理屈はわかるはずだ。
<0970> 滅びが、資源が枯渇する前にやりなおしをするシステムだったことを考えれば、このあたりの理屈はわかるはずだ。

// <0971> 結果、ごく短時間でその後の世界は荒廃する。
<0971> 結果、ごく短時間でその後の世界は荒廃する。

// <0972> 文化的生活の崩壊。
<0972> 文化的生活の崩壊。

// <0973> つまり、人が人らしく生きることができなくなるということだ。
<0973> つまり、人が人らしく生きることができなくなるということだ。

// <0974> よくあるマンガのような、弱肉強食の世の中。
<0974> よくあるマンガのような、弱肉強食の世の中。

// <0975> そして百年程度で死滅に至った。
<0975> そして百年程度で死滅に至った。

// <0976> 鍵を殺すのは目先の判断だ。
<0976> 鍵を殺すのは目先の判断だ。

// <0977> ではどうすれば、救われたと見なせるのか？
<0977> ではどうすれば、救われたと見なせるのか？

// <0978> 鍵が望みのままに世界を滅ぼして、進化をやり直せば、それで全て丸く収まるのか。
<0978> 鍵が望みのままに世界を滅ぼして、進化をやり直せば、それで全て丸く収まるのか。

// <0979> ところがそうした場合でも、世界は例外なく滅びている。
<0979> ところがそうした場合でも、世界は例外なく滅びている。

// <0980> 会長…朱音さんの時に、俺はそれを目の当たりした。
<0980> 会長…朱音さんの時に、俺はそれを目の当たりした。

// <0981> あの時、救済は星を呑み込んだ。
<0981> あの時、救済は星を呑み込んだ。

// <0982> まさしくあれは文明の終焉だった。
<0982> まさしくあれは文明の終焉だった。

// <0983> 一部の人々を人工来世に逃すことはできたが…閉じた世界で文明が永続するはずもない。
<0983> 一部の人々を人工来世に逃すことはできたが…閉じた世界で文明が永続するはずもない。

// <0984> 最後には滅びることになったはずだ。
<0984> 最後には滅びることになったはずだ。

// <0985> わずかな人々が、おだやかに滅びることができた。
<0985> わずかな人々が、おだやかに滅びることができた。

// <0986> そこにある種の価値を見いだすことはできる。
<0986> そこにある種の価値を見いだすことはできる。

// <0987> だけど未来への希望が失われている、という部分は覆らなかった。
<0987> だけど未来への希望が失われている、という部分は覆らなかった。

// <0988> だから枝世界はどれも細くなって途絶えるのだ。
<0988> だから枝世界はどれも細くなって途絶えるのだ。

// <0989> 再進化をもってしても失敗するさだめということだ。
<0989> 再進化をもってしても失敗するさだめということだ。

// <0990> なら、どうする？
<0990> なら、どうする？

// <0991> 他の星にでも移住するのか？
<0991> 他の星にでも移住するのか？

// <0992> それなら全て解決する。
<0992> それなら全て解決する。

// <0993> だが他の星に移り住むというのは、至難の業だ。
<0993> だが他の星に移り住むというのは、至難の業だ。

// <0994> 月や火星を人の住める環境に変えるのだって、千年単位の時間がいる。
<0994> 月や火星を人の住める環境に変えるのだって、千年単位の時間がいる。

// <0995> かかる膨大な費用を、そこまで発展した世界の国際情勢で、どこが賄うのか。
<0995> かかる膨大な費用を、そこまで発展した世界の国際情勢で、どこが賄うのか。

// <0996> 行き詰まり。
<0996> 行き詰まり。

// <0997> 篝の知力でも、抜け道が見つからないのもわかる。
<0997> 篝の知力でも、抜け道が見つからないのもわかる。

// <0998> かつて軽快に躍っていた指も、止まったまま動かないことが増えた。
<0998> かつて軽快に躍っていた指も、止まったまま動かないことが増えた。

// <0999> そんな時、篝は静かに涙するのだ。
<0999> そんな時、篝は静かに涙するのだ。

// <1000> 瑚太朗
<1000> 瑚太朗

// <1001> 「現象も、泣くんだな」
<1001> 「現象も、泣くんだな」

// <1002> 涙をぬぐってやる。
<1002> 涙をぬぐってやる。

// <1003> 泣いている自覚がないのか、本人は気にも留めない。
<1003> 泣いている自覚がないのか、本人は気にも留めない。

// <1004> 身じろぎひとつせずに涙する篝は、月明かりに洗われる彫像めいていた。
<1004> 身じろぎひとつせずに涙する篝は、月明かりに洗われる彫像めいていた。

// <1005> 彼女には、休息と慰めが必要だった。
<1005> 彼女には、休息と慰めが必要だった。

// <1006> 篝を連れだすことにした。
<1006> 篝を連れだすことにした。

// <1007> 手を引いて、街に誘う。
<1007> 手を引いて、街に誘う。

// <1008> 理論から離れることを拒むかとも思ったが、抵抗らしい抵抗はなかった。
<1008> 理論から離れることを拒むかとも思ったが、抵抗らしい抵抗はなかった。

// <1009> 歩いて丘をおりた。
<1009> 歩いて丘をおりた。

// <1010> 人気ない夜のビル街、車も通らない車道を歩く。
<1010> 人気ない夜のビル街、車も通らない車道を歩く。

// <1011> 市街は緑に覆われ、人類滅亡後、何百年も経過したかのような雰囲気だった。
<1011> 市街は緑に覆われ、人類滅亡後、何百年も経過したかのような雰囲気だった。

// <1012> ショーウインドウを眺め歩き、横断歩道からずっと遠くまで道路を見渡し、蔦草にデコレートされたビル内を探検した。
<1012> ショーウインドウを眺め歩き、横断歩道からずっと遠くまで道路を見渡し、蔦草にデコレートされたビル内を探検した。

// <1013> 篝
<1013> 篝

// <1014> 「………」
<1014> 「………」

// <1015> 篝は俺に引っ張られるままだった。
<1015> 篝は俺に引っ張られるままだった。

// <1016> 無言で…笑顔もない。
<1016> 無言で…笑顔もない。

// <1017> 流行の服を合わせても、髪飾りをつけてやっても、面を伏せたままでいた。
<1017> 流行の服を合わせても、髪飾りをつけてやっても、面を伏せたままでいた。

// <1018> 焦らない。
<1018> 焦らない。

// <1019> 時間はいくらでもある。
<1019> 時間はいくらでもある。

// <1020> 夜はずっと続く。
<1020> 夜はずっと続く。

// <1021> 控えめな強引さで、篝を連れ歩いた。
<1021> 控えめな強引さで、篝を連れ歩いた。

// <1022> 雑居ビルの屋上に行ってみた。
<1022> 雑居ビルの屋上に行ってみた。

// <1023> 思ったよりそこは高いビルではなかった。
<1023> 思ったよりそこは高いビルではなかった。

// <1024> 周囲にはもっと高いビルが建ち並んでいて、視線が通らない。
<1024> 周囲にはもっと高いビルが建ち並んでいて、視線が通らない。

// <1025> 瑚太朗
<1025> 瑚太朗

// <1026> 「…ちと低かったな」
<1026> 「…ちと低かったな」

// <1027> 瑚太朗
<1027> 瑚太朗

// <1028> 「あっちのビルの方が少し高いみたいだ」
<1028> 「あっちのビルの方が少し高いみたいだ」

// <1029> 瑚太朗
<1029> 瑚太朗

// <1030> 「篝、あそこに飛んでみようか？」
<1030> 「篝、あそこに飛んでみようか？」

// <1031> 篝
<1031> 篝

// <1032> 「…」
<1032> 「…」

// <1033> なぜだか、飛べる気がした。
<1033> なぜだか、飛べる気がした。

// <1034> フェンスの上によじのぼって、篝を引き上げる。
<1034> フェンスの上によじのぼって、篝を引き上げる。

// <1035> そして身を投げるみたいに前傾し、タイミングをはかって両脚に力をこめた。
<1035> そして身を投げるみたいに前傾し、タイミングをはかって両脚に力をこめた。

// <1036> ふわりと体が浮く。
<1036> ふわりと体が浮く。

// <1037> 舞った粉末が地に積もるゆるやかさで、俺たちは隣のビルに着地した。
<1037> 舞った粉末が地に積もるゆるやかさで、俺たちは隣のビルに着地した。

// <1038> 瑚太朗
<1038> 瑚太朗

// <1039> 「さて、来てみたものの…」
<1039> 「さて、来てみたものの…」

// <1040> 瑚太朗
<1040> 瑚太朗

// <1041> 「あっちの方がもっと高いな」
<1041> 「あっちの方がもっと高いな」

// <1042> 篝
<1042> 篝

// <1043> 「…」
<1043> 「…」

// <1044> そして俺たちはまた飛ぶ。
<1044> そして俺たちはまた飛ぶ。

// <1045> ビルからビルへ。
<1045> ビルからビルへ。

// <1046> 少しずつ高みへ。
<1046> 少しずつ高みへ。

// <1047> やがて、もっとも高い場所に辿り着いた。
<1047> やがて、もっとも高い場所に辿り着いた。

// <1048> 瑚太朗
<1048> 瑚太朗

// <1049> 「見ろよ」
<1049> 「見ろよ」

// <1050> そこからは、月光の底に沈むみどりの街が見えた。
<1050> そこからは、月光の底に沈むみどりの街が見えた。

// <1051> 瑚太朗
<1051> 瑚太朗

// <1052> 「街全体が海に沈んでいるみたいだ」
<1052> 「街全体が海に沈んでいるみたいだ」

// <1053> 篝
<1053> 篝

// <1054> 「…」
<1054> 「…」

// <1055> 瑚太朗
<1055> 瑚太朗

// <1056> 「静かだからかな…水中にいるみたいだ」
<1056> 「静かだからかな…水中にいるみたいだ」

// <1057> 篝は足下に目を落としたままだ。
<1057> 篝は足下に目を落としたままだ。

// <1058> 瑚太朗
<1058> 瑚太朗

// <1059> 「…受験中の息抜きのコツは、勉強のことは一切考えないことだ」
<1059> 「…受験中の息抜きのコツは、勉強のことは一切考えないことだ」

// <1060> 篝
<1060> 篝

// <1061> 「…」
<1061> 「…」

// <1062> 瑚太朗
<1062> 瑚太朗

// <1063> 「徹底して違うことをする。そうやって脳に別の刺激を与える」
<1063> 「徹底して違うことをする。そうやって脳に別の刺激を与える」

// <1064> 瑚太朗
<1064> 瑚太朗

// <1065> 「一日無駄にしたとか考えない。二日でも三日でも遊ぶ」
<1065> 「一日無駄にしたとか考えない。二日でも三日でも遊ぶ」

// <1066> 瑚太朗
<1066> 瑚太朗

// <1067> 「そのかわり、だらだらと休まない。徹底して遊ぶ」
<1067> 「そのかわり、だらだらと休まない。徹底して遊ぶ」

// <1068> 瑚太朗
<1068> 瑚太朗

// <1069> 「朝出て行って、くたくたになって夜帰ってくるんだ」
<1069> 「朝出て行って、くたくたになって夜帰ってくるんだ」

// <1070> 瑚太朗
<1070> 瑚太朗

// <1071> 「すると不思議なことに、次の日からまた快調に勉強に打ち込めたりする」
<1071> 「すると不思議なことに、次の日からまた快調に勉強に打ち込めたりする」

// <1072> 瑚太朗
<1072> 瑚太朗

// <1073> 「きっと同じことばかりしてるから、心が凝るんだろうな」
<1073> 「きっと同じことばかりしてるから、心が凝るんだろうな」

// <1074> 瑚太朗
<1074> 瑚太朗

// <1075> 「無茶すると、それがほぐされるんだな」
<1075> 「無茶すると、それがほぐされるんだな」

// <1076> 瑚太朗
<1076> 瑚太朗

// <1077> 「カラオケで思いっきり歌ったり、みんなで騒いだりできるといいんだけど…」
<1077> 「カラオケで思いっきり歌ったり、みんなで騒いだりできるといいんだけど…」

// <1078> 瑚太朗
<1078> 瑚太朗

// <1079> 「バイクとかないのかな。思いっきりかっ飛ばせばスカッとしそうだけど」
<1079> 「バイクとかないのかな。思いっきりかっ飛ばせばスカッとしそうだけど」

// <1080> 瑚太朗
<1080> 瑚太朗

// <1081> 「車自体ないもんな…」
<1081> 「車自体ないもんな…」

// <1082> 瑚太朗
<1082> 瑚太朗

// <1083> 「いや、商品はあったから、バイク屋行けばあるかも…」
<1083> 「いや、商品はあったから、バイク屋行けばあるかも…」

// <1084> 話しているうちに視線を感じた。
<1084> 話しているうちに視線を感じた。

// <1085> いつの間にか篝の目は、俺に向いていた。
<1085> いつの間にか篝の目は、俺に向いていた。

// <1086> 瑚太朗
<1086> 瑚太朗

// <1087> 「やっと顔をあげてくれたな」
<1087> 「やっと顔をあげてくれたな」

// <1088> 瑚太朗
<1088> 瑚太朗

// <1089> 「表情はまだ暗いけど…」
<1089> 「表情はまだ暗いけど…」

// <1090> 瑚太朗
<1090> 瑚太朗

// <1091> 「よし。もっとデートらしいことをしてみよう」
<1091> 「よし。もっとデートらしいことをしてみよう」

// <1092> 篝
<1092> 篝

// <1093> 「…」
<1093> 「…」

// <1094> 瑚太朗
<1094> 瑚太朗

// <1095> 「ダンスだ」
<1095> 「ダンスだ」

// <1096> しかし音楽がないのは寂しい。
<1096> しかし音楽がないのは寂しい。

// <1097> 瑚太朗
<1097> 瑚太朗

// <1098> 「試してみるか…」
<1098> 「試してみるか…」

// <1099> 命の理論に触れて、俺はいろいろなことを学んだ。
<1099> 命の理論に触れて、俺はいろいろなことを学んだ。

// <1100> 枝世界ではできなかったことも、今ならできる。
<1100> 枝世界ではできなかったことも、今ならできる。

// <1101> 短絡的に強者になろうとしたり、世界をねじ曲げたりする以外に、こんなことができた。
<1101> 短絡的に強者になろうとしたり、世界をねじ曲げたりする以外に、こんなことができた。

// <1102> 月光にはなぜかほんの少しの命が含まれている。
<1102> 月光にはなぜかほんの少しの命が含まれている。

// <1103> 指を鳴らす。
<1103> 指を鳴らす。

// <1104> すると、森閑と降り積もっていた月光が音楽的に震えはじめた。
<1104> すると、森閑と降り積もっていた月光が音楽的に震えはじめた。

// <1105> 音を調律して、かつて知っていた音楽へと変える。
<1105> 音を調律して、かつて知っていた音楽へと変える。

// <1106> 篝
<1106> 篝

// <1107> 「…」
<1107> 「…」

// <1108> 篝が反応した。
<1108> 篝が反応した。

// <1109> はじめて耳にする命の音色に、知的関心を示している。
<1109> はじめて耳にする命の音色に、知的関心を示している。

// <1110> リボンが波打ち、屋上いっぱいに広がる。
<1110> リボンが波打ち、屋上いっぱいに広がる。

// <1111> 瑚太朗
<1111> 瑚太朗

// <1112> 「はは、すげ…」
<1112> 「はは、すげ…」

// <1113> 俺も負けじと燕尾服に着替える。
<1113> 俺も負けじと燕尾服に着替える。

// <1114> こんなものを着たのははじめてだ。
<1114> こんなものを着たのははじめてだ。

// <1115> 篝は…もともとそれっぽい姿をしているが、少しだけいじる。
<1115> 篝は…もともとそれっぽい姿をしているが、少しだけいじる。

// <1116> 瑚太朗
<1116> 瑚太朗

// <1117> 「よし、いい感じ」
<1117> 「よし、いい感じ」

// <1118> 篝
<1118> 篝

// <1119> 「…」
<1119> 「…」

// <1120> 瑚太朗
<1120> 瑚太朗

// <1121> 「よろしければ一曲、お相手いただけないでしょうか？」
<1121> 「よろしければ一曲、お相手いただけないでしょうか？」

// <1122> 恭しく申し出る。
<1122> 恭しく申し出る。

// <1123> 手を差し出すと、篝のそれが置かれた。
<1123> 手を差し出すと、篝のそれが置かれた。

// <1124> たいした踊りじゃあない。
<1124> たいした踊りじゃあない。

// <1125> 曲に合わせて、規則的に体を動かすだけ。
<1125> 曲に合わせて、規則的に体を動かすだけ。

// <1126> 適当にやっているだけなのに、着ているものが違うと様になるから不思議だ。
<1126> 適当にやっているだけなのに、着ているものが違うと様になるから不思議だ。

// <1127> 指先を絡めて、くるくる回る。
<1127> 指先を絡めて、くるくる回る。

// <1128> 地球と月みたいに、エレガントには行かないが。
<1128> 地球と月みたいに、エレガントには行かないが。

// <1129> 瑚太朗
<1129> 瑚太朗

// <1130> 「誰もいないのは寂しいかな」
<1130> 「誰もいないのは寂しいかな」

// <1131> すると、ギャラリーが生じた。
<1131> すると、ギャラリーが生じた。

// <1132> 影絵のような紳士淑女が、俺たちを取り囲んだ。
<1132> 影絵のような紳士淑女が、俺たちを取り囲んだ。

// <1133> それ以上のディテールは、俺には無理だ。
<1133> それ以上のディテールは、俺には無理だ。

// <1134> 影たちがささやく。
<1134> 影たちがささやく。

// <1135> 社交界の話題をさらった、俺たちについての噂だ。
<1135> 社交界の話題をさらった、俺たちについての噂だ。

// <1136> やがて影たちも踊り始める。
<1136> やがて影たちも踊り始める。

// <1137> りりしい紳士には、うるわしの淑女。
<1137> りりしい紳士には、うるわしの淑女。

// <1138> 屋上はたちまち社交場。
<1138> 屋上はたちまち社交場。

// <1139> 賑やかさと哀愁が同居した、幻想的な夜会となる。
<1139> 賑やかさと哀愁が同居した、幻想的な夜会となる。

// <1140> 篝
<1140> 篝

// <1141> 「…っ」
<1141> 「…っ」

// <1142> ダンスの法則性を篝はたちまちのみこむ。
<1142> ダンスの法則性を篝はたちまちのみこむ。

// <1143> そして延々と規律的に動こうとする。
<1143> そして延々と規律的に動こうとする。

// <1144> でもそれはつまらないから、俺は邪魔をする。
<1144> でもそれはつまらないから、俺は邪魔をする。

// <1145> アレンジを加えることで、不意打ち気味にリズムを崩す。
<1145> アレンジを加えることで、不意打ち気味にリズムを崩す。

// <1146> 篝は焦る。あせあせする。
<1146> 篝は焦る。あせあせする。

// <1147> それが愉快で、自然と笑みが漏れた。
<1147> それが愉快で、自然と笑みが漏れた。

// <1148> だが優位でいられたのも短時間だった。
<1148> だが優位でいられたのも短時間だった。

// <1149> 瑚太朗
<1149> 瑚太朗

// <1150> 「うわっ！？」
<1150> 「うわっ！？」

// <1151> 突然、軸足が切り替わって俺はつんのめった。
<1151> 突然、軸足が切り替わって俺はつんのめった。

// <1152> かろうじて転倒を免れ、チョコチョコと小走りに体勢を整える。
<1152> かろうじて転倒を免れ、チョコチョコと小走りに体勢を整える。

// <1153> …みっともない。
<1153> …みっともない。

// <1154> 紳士淑女たちも笑っていた。
<1154> 紳士淑女たちも笑っていた。

// <1155> 篝
<1155> 篝

// <1156> 「………」
<1156> 「………」

// <1157> 仕掛けてきた篝は、すました顔で踊っている。
<1157> 仕掛けてきた篝は、すました顔で踊っている。

// <1158> …やってくれる。
<1158> …やってくれる。

// <1159> 仕返しをされたのか、アレンジも含めてひとつの法則として学習されたのか。
<1159> 仕返しをされたのか、アレンジも含めてひとつの法則として学習されたのか。

// <1160> そんな疑問はだけど、無粋だろう。
<1160> そんな疑問はだけど、無粋だろう。

// <1161> 俺たちは踊る。
<1161> 俺たちは踊る。

// <1162> 俺たちは回る。
<1162> 俺たちは回る。

// <1163> 生きる者なき街並みで、いくらだって楽しんだフリをする。
<1163> 生きる者なき街並みで、いくらだって楽しんだフリをする。

// <1164> 意味のない時間を過ごしたい。
<1164> 意味のない時間を過ごしたい。

// <1165> これは反逆だ。
<1165> これは反逆だ。

// <1166> 何も知らない人々に対する、俺たちからのささやかな復讐。
<1166> 何も知らない人々に対する、俺たちからのささやかな復讐。

// <1167> 湖面に映る月にも矜持があるのだと。
<1167> 湖面に映る月にも矜持があるのだと。

