// <0000> 地図に従って歩くと、すぐに川に出る。
<0000> 地図に従って歩くと、すぐに川に出る。
// <0786> 『伝統のガセ写真だね。どこで捕まえたか知らないけど、まあ面白いには面白いんじゃない？』
<0786> 『伝統のガセ写真だね。どこで捕まえたか知らないけど、まあ面白いには面白いんじゃない？』

// <0787> 井上
<0787> 井上

// <0788> 『でも大ニュースとはいかないね』
<0788> 『でも大ニュースとはいかないね』

// <0789> 中程度の評価を得た。
<0789> 中程度の評価を得た。

// <0790> ■マッピー／既読■　ID:
<0790> ■マッピー／既読■　ID:

// <0791>  (Z
<0791>  (Z

// <0792> -
<0792> -

// <0793> ■マッピー／コンプリート■
<0793> ■マッピー／コンプリート■

// <0794> 瑚太朗
<0794> 瑚太朗

// <0795> 「ガセネタ送ってもな…それより奥地のちゃんとしたスクープを目指すぞ」
<0795> 「ガセネタ送ってもな…それより奥地のちゃんとしたスクープを目指すぞ」

// <0796> 
<0796> 

// <0797> ■マッピー／既読■　ID:
<0797> ■マッピー／既読■　ID:

// <0798>  (Z
<0798>  (Z

// <0799> -
<0799> -

// <0800> ■マッピー／コンプリート■
<0800> ■マッピー／コンプリート■

// <0801> 瑚太朗
<0801> 瑚太朗

// <0802> 「ピンク色のうんちのようなものが落ちている。漫画的な例のアレだ」
<0802> 「ピンク色のうんちのようなものが落ちている。漫画的な例のアレだ」

// <0803> 瑚太朗
<0803> 瑚太朗

// <0804> 「ちはや、うんちのようなものだぞ」
<0804> 「ちはや、うんちのようなものだぞ」

// <0805> ちはや
<0805> ちはや

// <0806> 「これおもちゃかなんかじゃないです？」
<0806> 「これおもちゃかなんかじゃないです？」

// <0807> 
<0807> 

// <0808> 瑚太朗
<0808> 瑚太朗

// <0809> 「確かに作り物のようだ…」
<0809> 「確かに作り物のようだ…」

// <0810> 瑚太朗
<0810> 瑚太朗

// <0811> 「静流、うんちくんが落ちているぞ。つんつくつんと枝に刺してうっほほーい！　と遊んでくれ」
<0811> 「静流、うんちくんが落ちているぞ。つんつくつんと枝に刺してうっほほーい！　と遊んでくれ」

// <0812> 静流
<0812> 静流

// <0813> 「………」
<0813> 「………」

// <0814> 瑚太朗
<0814> 瑚太朗

// <0815> 「静流は任せろ、と枝を物色し始めた」
<0815> 「静流は任せろ、と枝を物色し始めた」

// <0816> 
<0816> 

// <0817> 静流
<0817> 静流

// <0818> 「つんつくつん」
<0818> 「つんつくつん」

// <0819> 静流
<0819> 静流

// <0820> 「うっほほーい」
<0820> 「うっほほーい」

// <0821> ルチア
<0821> ルチア

// <0822> 「何をしているんだ、静流…」
<0822> 「何をしているんだ、静流…」

// <0823> 静流
<0823> 静流

// <0824> 「………」
<0824> 「………」

// <0825> ルチア
<0825> ルチア

// <0826> 「ひっ、こ、こら、そんなのこっちに向けるな！」
<0826> 「ひっ、こ、こら、そんなのこっちに向けるな！」

// <0827> ルチア
<0827> ルチア

// <0828> 「う、うわーっ！　捨ててっ！　捨ててっ！！」
<0828> 「う、うわーっ！　捨ててっ！　捨ててっ！！」

// <0829> 瑚太朗
<0829> 瑚太朗

// <0830> 「二人は仲がいいな。楽しそうに追いかけっこをはじめた」
<0830> 「二人は仲がいいな。楽しそうに追いかけっこをはじめた」

// <0831> 
<0831> 

// <0832> 瑚太朗
<0832> 瑚太朗

// <0833> 「まだ追いかけっこを続けている」
<0833> 「まだ追いかけっこを続けている」

// <0834> ルチア
<0834> ルチア

// <0835> 「よ、よく見たら作り物じゃないか！」
<0835> 「よ、よく見たら作り物じゃないか！」

// <0836> 瑚太朗
<0836> 瑚太朗

// <0837> 「そりゃこんな形のうんこがあったら世界的発見だろうよ…」
<0837> 「そりゃこんな形のうんこがあったら世界的発見だろうよ…」

// <0838> 静流
<0838> 静流

// <0839> 「うっほほーい」
<0839> 「うっほほーい」

// <0840> ルチア
<0840> ルチア

// <0841> 「もう！　捨てろそんなもの！」
<0841> 「もう！　捨てろそんなもの！」

// <0842> 
<0842> 

// <0843> ぽーい。
<0843> ぽーい。

// <0844> 朱音
<0844> 朱音

// <0845> 「………」
<0845> 「………」

// <0846> 瑚太朗
<0846> 瑚太朗

// <0847> 「会長の頭の上に見事に乗っかった…」
<0847> 「会長の頭の上に見事に乗っかった…」

// <0848> 朱音
<0848> 朱音

// <0849> 「………」
<0849> 「………」

// <0850> 瑚太朗
<0850> 瑚太朗

// <0851> 「………」
<0851> 「………」

// <0852> 瑚太朗
<0852> 瑚太朗

// <0853> 「き、きっと運がつきますよそれ！」
<0853> 「き、きっと運がつきますよそれ！」

// <0854> 朱音
<0854> 朱音

// <0855> 「………」
<0855> 「………」

// <0856> 瑚太朗
<0856> 瑚太朗

// <0857> 「いかん、耐えられん空気だ…」
<0857> 「いかん、耐えられん空気だ…」

// <0858> 瑚太朗
<0858> 瑚太朗

// <0859> 「さ、さあ！　先を急ごうぜ！」
<0859> 「さ、さあ！　先を急ごうぜ！」

// <0860> 
<0860> 

// <0861> 瑚太朗
<0861> 瑚太朗

// <0862> 「会長はまだ頭の上にうんちくんを乗せている…気に入ったのだろうか」
<0862> 「会長はまだ頭の上にうんちくんを乗せている…気に入ったのだろうか」

// <0863> 瑚太朗
<0863> 瑚太朗

// <0864> 「お似合いですよ会長！」
<0864> 「お似合いですよ会長！」

// <0865> 
<0865> 

// <0866> ばきっ
<0866> ばきっ

// <0867> 瑚太朗
<0867> 瑚太朗

// <0868> 「……投げつけられた」
<0868> 「……投げつけられた」

// <0869> 
<0869> 

// <0870> ■マッピー／既読■　ID:
<0870> ■マッピー／既読■　ID:

// <0871>  (Z
<0871>  (Z

// <0872> -
<0872> -

// <0873> ■マッピー／コンプリート■
<0873> ■マッピー／コンプリート■

// <0874> 瑚太朗
<0874> 瑚太朗

// <0875> 「なんだと…こんなところにまでえろほんが」
<0875> 「なんだと…こんなところにまでえろほんが」

// <0876> 瑚太朗
<0876> 瑚太朗

// <0877> 「一体誰が配置しているのか、風祭最大のミステリーと言える…」
<0877> 「一体誰が配置しているのか、風祭最大のミステリーと言える…」

// <0878> 瑚太朗
<0878> 瑚太朗

// <0879> 「………」
<0879> 「………」

// <0880> 瑚太朗
<0880> 瑚太朗

// <0881> 「２９点のギリ赤点クラスだ」
<0881> 「２９点のギリ赤点クラスだ」

// <0882> ルチア
<0882> ルチア

// <0883> 「何を拾ったんだ？」
<0883> 「何を拾ったんだ？」

// <0884> 瑚太朗
<0884> 瑚太朗

// <0885> 「あ、いや！　ゴミだよゴミ！」
<0885> 「あ、いや！　ゴミだよゴミ！」

// <0886> ルチア
<0886> ルチア

// <0887> 「そうか。なら持ち帰ったほうがいいな。ビニール袋があるから、それに入れよう」
<0887> 「そうか。なら持ち帰ったほうがいいな。ビニール袋があるから、それに入れよう」

// <0888> 瑚太朗
<0888> 瑚太朗

// <0889> 「え！？　持ち帰るの！？」
<0889> 「え！？　持ち帰るの！？」

// <0890> ルチア
<0890> ルチア

// <0891> 「ゴミなんだから当然だろう」
<0891> 「ゴミなんだから当然だろう」

// <0892> 瑚太朗
<0892> 瑚太朗

// <0893> 「こ、これなんすけど」
<0893> 「こ、これなんすけど」

// <0894> ルチア
<0894> ルチア

// <0895> 「………」
<0895> 「………」

// <0896> 瑚太朗
<0896> 瑚太朗

// <0897> 「ま、待て！　俺は拾っただけで別に俺のでもないしこんな赤点本とか欲しくもないし！」
<0897> 「ま、待て！　俺は拾っただけで別に俺のでもないしこんな赤点本とか欲しくもないし！」

// <0898> 
<0898> 

// <0899> ぼがあぁーーん！
<0899> ぼがあぁーーん！

// <0900> 瑚太朗
<0900> 瑚太朗

// <0901> 「…理不尽すぎる」
<0901> 「…理不尽すぎる」

// <0902> 
<0902> 

// <0903> ■マッピー／既読■　ID:
<0903> ■マッピー／既読■　ID:

// <0904>  (Z
<0904>  (Z

// <0905> -
<0905> -

// <0906> ■マッピー／コンプリート■
<0906> ■マッピー／コンプリート■

// <0907> 静流
<0907> 静流

// <0908> 「………」
<0908> 「………」

// <0909> 
<0909> 

// <0910> ん、なんだ？　変な気配がするぞ？
<0910> ん、なんだ？　変な気配がするぞ？

// <0911> 置いていかれてしまうが、少し回りを探ってみる。
<0911> 置いていかれてしまうが、少し回りを探ってみる。

// <0912> …しかし、この気配に静流が気付かないだと？
<0912> …しかし、この気配に静流が気付かないだと？

// <0913> 瑚太朗
<0913> 瑚太朗

// <0914> 「あ、スクモンいた！」
<0914> 「あ、スクモンいた！」

// <0915> 
<0915> 

// <0916> 見つけてしまった。
<0916> 見つけてしまった。

// <0917> 角の生えたバッタ。
<0917> 角の生えたバッタ。

// <0918> 体長１５センチってところか。
<0918> 体長１５センチってところか。

// <0919> 明らかに普通の昆虫とは違っていた。
<0919> 明らかに普通の昆虫とは違っていた。

// <0920> 子供
<0920> 子供

// <0921> 「あれはツノバッタン！　スピード自慢のスクモンだな」
<0921> 「あれはツノバッタン！　スピード自慢のスクモンだな」

// <0922> 呼びもしないのに出てきた。
<0922> 呼びもしないのに出てきた。

// <0923> 子供
<0923> 子供

// <0924> 「スクモンをゲットするにはトリモチガンか、バトルして倒さないと駄目だ」
<0924> 「スクモンをゲットするにはトリモチガンか、バトルして倒さないと駄目だ」

// <0925> 瑚太朗
<0925> 瑚太朗

// <0926> 「もう別に無理してゲットしないでもいいんだけど…」
<0926> 「もう別に無理してゲットしないでもいいんだけど…」

// <0927> 
<0927> 

// <0928> 子供
<0928> 子供

// <0929> 「早くしろよ、逃げるだろ！」
<0929> 「早くしろよ、逃げるだろ！」

// <0930> 瑚太朗
<0930> 瑚太朗

// <0931> 「はいはい」
<0931> 「はいはい」

// <0932> 
<0932> 

// <0933> トリモチガンを発射した。
<0933> トリモチガンを発射した。

// <0934> 命中はしたが…
<0934> 命中はしたが…

// <0935> ブチブチィッ！
<0935> ブチブチィッ！

// <0936> 力任せに引きちぎってしまった。
<0936> 力任せに引きちぎってしまった。

// <0937> 子供
<0937> 子供

// <0938> 「駄目か！　トリモチガンじゃ低レベルのスクモンしかゲットできないんだ！」
<0938> 「駄目か！　トリモチガンじゃ低レベルのスクモンしかゲットできないんだ！」

// <0939> 瑚太朗
<0939> 瑚太朗

// <0940> 「…なあ、これ、自分でゲットしちゃ駄目なのか？」
<0940> 「…なあ、これ、自分でゲットしちゃ駄目なのか？」

// <0941> 
<0941> 

// <0942> 子供
<0942> 子供

// <0943> 「スクモンの動きには、生身じゃ追いつけない。いいか、そもそもスクモンってのは人間の反射神経をはるかに越えた存在で――」
<0943> 「スクモンの動きには、生身じゃ追いつけない。いいか、そもそもスクモンってのは人間の反射神経をはるかに越えた存在で――」

// <0944> 瑚太朗
<0944> 瑚太朗

// <0945> 「…いや、捕まえたぞ」
<0945> 「…いや、捕まえたぞ」

// <0946> 
<0946> 

// <0947> 子供
<0947> 子供

// <0948> 「えええええっ！？」
<0948> 「えええええっ！？」

// <0949> 瑚太朗
<0949> 瑚太朗

// <0950> 「動きは速いけど、目が慣れればわりと行けるな」
<0950> 「動きは速いけど、目が慣れればわりと行けるな」

// <0951> 
<0951> 

// <0952> バッタは俺の胸元で、おとなしくなっている。
<0952> バッタは俺の胸元で、おとなしくなっている。

// <0953> さっきまで暴れていたが、捕まえたあとは従順だった。
<0953> さっきまで暴れていたが、捕まえたあとは従順だった。

// <0954> ■友達■　ID:
<0954> ■友達■　ID:

// <0955> 　NO:
<0955> 　NO:

// <0956> 子供
<0956> 子供

// <0957> 「や、やるなオッサン…よし、このモンスターケージに入れるんだ」
<0957> 「や、やるなオッサン…よし、このモンスターケージに入れるんだ」

// <0958> 子供
<0958> 子供

// <0959> 「これでオッサンも、スクモンブリーダーの仲間入りだよ」
<0959> 「これでオッサンも、スクモンブリーダーの仲間入りだよ」

// <0960> 瑚太朗
<0960> 瑚太朗

// <0961> 「バトルできるんだっけ？」
<0961> 「バトルできるんだっけ？」

// <0962> 
<0962> 

// <0963> 子供
<0963> 子供

// <0964> 「ああ、今日は森にはブリーダーがたくさん来てる」
<0964> 「ああ、今日は森にはブリーダーがたくさん来てる」

// <0965> 子供
<0965> 子供

// <0966> 「噂じゃ、カザマツリ地方チャンピオンまでいるって話だ…」
<0966> 「噂じゃ、カザマツリ地方チャンピオンまでいるって話だ…」

// <0967> 瑚太朗
<0967> 瑚太朗

// <0968> 「伝説のスクモンが出るんだったか」
<0968> 「伝説のスクモンが出るんだったか」

// <0969> 
<0969> 

// <0970> 子供
<0970> 子供

// <0971> 「そうさ。まあそのスクモンのレベルじゃ、挑むだけ無駄って話だけど」
<0971> 「そうさ。まあそのスクモンのレベルじゃ、挑むだけ無駄って話だけど」

// <0972> スクモン使い
<0972> スクモン使い

// <0973> 「お、今夜最初の獲物はっけ～ん」
<0973> 「お、今夜最初の獲物はっけ～ん」

// <0974> 中学くらいのクソガキ君が姿を見せた。
<0974> 中学くらいのクソガキ君が姿を見せた。

// <0975> 子供
<0975> 子供

// <0976> 「おまえ知ってるぞ…スクモンに無茶させて勝ちまくってる、ひどいやつだな！」
<0976> 「おまえ知ってるぞ…スクモンに無茶させて勝ちまくってる、ひどいやつだな！」

// <0977> スクモン使い
<0977> スクモン使い

// <0978> 「あ？　俺のスクモンをどう使おうが俺の勝手だろ？」
<0978> 「あ？　俺のスクモンをどう使おうが俺の勝手だろ？」

// <0979> 子供
<0979> 子供

// <0980> 「…おまえみたいにスクモンを大事にしないヤツは許せない」
<0980> 「…おまえみたいにスクモンを大事にしないヤツは許せない」

// <0981> 子供
<0981> 子供

// <0982> 「スクモンバトルだ！」
<0982> 「スクモンバトルだ！」

// <0983> そして戦闘シーンがはじまった…
<0983> そして戦闘シーンがはじまった…

// <0984> スクモン使い
<0984> スクモン使い

// <0985> 「クワガーター、はさみ攻撃だ！」
<0985> 「クワガーター、はさみ攻撃だ！」

// <0986> 子供
<0986> 子供

// <0987> 「うわああっ、やられたぁぁぁ！」
<0987> 「うわああっ、やられたぁぁぁ！」

// <0988> 相手のクワガタスクモンに、少年のカナブーは敗れ去った。
<0988> 相手のクワガタスクモンに、少年のカナブーは敗れ去った。

// <0989> 子供
<0989> 子供

// <0990> 「…く…こんなやつに負けるだなんて」
<0990> 「…く…こんなやつに負けるだなんて」

// <0991> スクモン使い
<0991> スクモン使い

// <0992> 「弱いくせに粋がってんじゃねーよ！」
<0992> 「弱いくせに粋がってんじゃねーよ！」

// <0993> 中学生が少年をどつく。
<0993> 中学生が少年をどつく。

// <0994> 倒れかけた少年を、背後で受け止めた。
<0994> 倒れかけた少年を、背後で受け止めた。

// <0995> 瑚太朗
<0995> 瑚太朗

// <0996> 「…それ以上乱暴するなら、俺が相手になってやる」
<0996> 「…それ以上乱暴するなら、俺が相手になってやる」

// <0997> 
<0997> 

// <0998> 子供
<0998> 子供

// <0999> 「オッサン！　無理するな…」
<0999> 「オッサン！　無理するな…」

// <1000> スクモン使い
<1000> スクモン使い

// <1001> 「へっ、上等だよ。高校生だって、この世界じゃビョードーなんだよ！」
<1001> 「へっ、上等だよ。高校生だって、この世界じゃビョードーなんだよ！」

// <1002> 瑚太朗
<1002> 瑚太朗

// <1003> 「行け！　ツノバッタン！」
<1003> 「行け！　ツノバッタン！」

// <1004> 
<1004> 

// <1005> …そして俺が勝った。
<1005> …そして俺が勝った。

// <1006> 卑怯な戦法に苦しめられたり、スクモンが絆パワーでパワーアップしたり、死中に活を見出したり、いろいろあったが割愛する。
<1006> 卑怯な戦法に苦しめられたり、スクモンが絆パワーでパワーアップしたり、死中に活を見出したり、いろいろあったが割愛する。

// <1007> 俺はスクモンバトルに勝利した！
<1007> 俺はスクモンバトルに勝利した！

// <1008> ツノバッタンがレベルアップ！
<1008> ツノバッタンがレベルアップ！

// <1009> スクモン使い
<1009> スクモン使い

// <1010> 「ま、まいりました…もうひどいことはしません…」
<1010> 「ま、まいりました…もうひどいことはしません…」

// <1011> クソガキはすごすごと去った。
<1011> クソガキはすごすごと去った。

// <1012> ■友達■　ID:
<1012> ■友達■　ID:

// <1013> 　NO:
<1013> 　NO:

// <1014> 子供
<1014> 子供

// <1015> 「やるなオッサン…いや、兄ちゃん」
<1015> 「やるなオッサン…いや、兄ちゃん」

// <1016> 瑚太朗
<1016> 瑚太朗

// <1017> 「やっと俺のフレッシュさ、認めてくれたな」
<1017> 「やっと俺のフレッシュさ、認めてくれたな」

// <1018> 
<1018> 

// <1019> 子供
<1019> 子供

// <1020> 「兄ちゃんなら、いいスクモンブリーダーになれるかもな。じゃあな！」
<1020> 「兄ちゃんなら、いいスクモンブリーダーになれるかもな。じゃあな！」

// <1021> さわやかにスクモン少年は去っていった。
<1021> さわやかにスクモン少年は去っていった。

// <1022> 瑚太朗
<1022> 瑚太朗

// <1023> 「やべ、遅れた…みんなに追いつこう」
<1023> 「やべ、遅れた…みんなに追いつこう」

// <1024> ■マッピー／既読■　ID:
<1024> ■マッピー／既読■　ID:

// <1025>  (Z
<1025>  (Z

// <1026> -
<1026> -

// <1027> ■マッピー／コンプリート■
<1027> ■マッピー／コンプリート■

// <1028> いなずまのシュン
<1028> いなずまのシュン

// <1029> 「僕とスクモン勝負、してくれませんか？」
<1029> 「僕とスクモン勝負、してくれませんか？」

// <1030> スクモンブリーダーが現れた。
<1030> スクモンブリーダーが現れた。

// <1031> ちはや
<1031> ちはや

// <1032> 「誰です？」
<1032> 「誰です？」

// <1033> 瑚太朗
<1033> 瑚太朗

// <1034> 「あ、うん…ちょっと先行ってて」
<1034> 「あ、うん…ちょっと先行ってて」

// <1035> 
<1035> 

// <1036> あんまりみんなを巻き込みたくなかった。
<1036> あんまりみんなを巻き込みたくなかった。

// <1037> いなずまのシュン
<1037> いなずまのシュン

// <1038> 「で、勝負受けてもらえますか？」
<1038> 「で、勝負受けてもらえますか？」

// <1039> 瑚太朗
<1039> 瑚太朗

// <1040> 「…いいけど」
<1040> 「…いいけど」

// <1041> 
<1041> 

// <1042> …
<1042> …

// <1043> （
<1043> （

// <1044> バ
<1044> バ

// <1045> ト
<1045> ト

// <1046> ル
<1046> ル

// <1047> 中
<1047> 中

// <1048> ）
<1048> ）

// <1049> …
<1049> …

// <1050> 瑚太朗
<1050> 瑚太朗

// <1051> 「…勝ったけど」
<1051> 「…勝ったけど」

// <1052> 
<1052> 

// <1053> いなずまのシュン
<1053> いなずまのシュン

// <1054> 「負けたあ…！」
<1054> 「負けたあ…！」

// <1055> いなずまのシュン
<1055> いなずまのシュン

// <1056> 「僕の蝶型スクモン、バタスカイがそんな初期スクモンに負けるだなんて…」
<1056> 「僕の蝶型スクモン、バタスカイがそんな初期スクモンに負けるだなんて…」

// <1057> いなずまのシュン
<1057> いなずまのシュン

// <1058> 「でも負けは負け。勝者の権利を受け取って欲しい」
<1058> 「でも負けは負け。勝者の権利を受け取って欲しい」

// <1059> 少年は現金を差し出した。
<1059> 少年は現金を差し出した。

// <1060> 瑚太朗
<1060> 瑚太朗

// <1061> 「受け取れるかあ！　なに当たり前みたいな顔して金出してんだよ！」
<1061> 「受け取れるかあ！　なに当たり前みたいな顔して金出してんだよ！」

// <1062> 
<1062> 

// <1063> いなずまのシュン
<1063> いなずまのシュン

// <1064> 「…何って。これがスクモンのルールじゃないですか」
<1064> 「…何って。これがスクモンのルールじゃないですか」

// <1065> 瑚太朗
<1065> 瑚太朗

// <1066> 「バトルの勝ち負けで金動かしてんの！？」
<1066> 「バトルの勝ち負けで金動かしてんの！？」

// <1067> 
<1067> 

// <1068> 絶対にそのうち問題になる。
<1068> 絶対にそのうち問題になる。

// <1069> 瑚太朗
<1069> 瑚太朗

// <1070> 「小学生からカツアゲしたなんて停学もんだよ…それは受け取れない」
<1070> 「小学生からカツアゲしたなんて停学もんだよ…それは受け取れない」

// <1071> 
<1071> 

// <1072> いなずまのシュン
<1072> いなずまのシュン

// <1073> 「なんて公明正大な人だ…！」
<1073> 「なんて公明正大な人だ…！」

// <1074> いなずまのシュン
<1074> いなずまのシュン

// <1075> 「また今度、勝負してください！」
<1075> 「また今度、勝負してください！」

// <1076> 俺と握手を交わすと、スキップで森の奥に消えた。
<1076> 俺と握手を交わすと、スキップで森の奥に消えた。

// <1077> ■友達■　ID:
<1077> ■友達■　ID:

// <1078> 　NO:
<1078> 　NO:

// <1079> 俺はスクモンバトルに勝利した！
<1079> 俺はスクモンバトルに勝利した！

// <1080> ツノバッタンがレベルアップ！
<1080> ツノバッタンがレベルアップ！

// <1081> ■マッピー／既読■　ID:
<1081> ■マッピー／既読■　ID:

// <1082>  (Z
<1082>  (Z

// <1083> -
<1083> -

// <1084> ■マッピー／コンプリート■
<1084> ■マッピー／コンプリート■

// <1085> はやてのラン
<1085> はやてのラン

// <1086> 「おにたん、スクモンしょうぶ、やろー」
<1086> 「おにたん、スクモンしょうぶ、やろー」

// <1087> スクモンブリーダーが現れた。
<1087> スクモンブリーダーが現れた。

// <1088> ただし幼子。
<1088> ただし幼子。

// <1089> ニコニコの母親が同伴していた。
<1089> ニコニコの母親が同伴していた。

// <1090> 例によってみんなには先に行ってもらう。
<1090> 例によってみんなには先に行ってもらう。

// <1091> こんなもんに巻き込まれたら…
<1091> こんなもんに巻き込まれたら…

// <1092> 瑚太朗
<1092> 瑚太朗

// <1093> （静流はハマりそう…）
<1093> （静流はハマりそう…）

// <1094> 
<1094> 

// <1095> 多分よくない。
<1095> 多分よくない。

// <1096> 瑚太朗
<1096> 瑚太朗

// <1097> 「…あの、おかあさんですか」
<1097> 「…あの、おかあさんですか」

// <1098> 
<1098> 

// <1099> 母親
<1099> 母親

// <1100> 「ええ」
<1100> 「ええ」

// <1101> 瑚太朗
<1101> 瑚太朗

// <1102> 「スクモンはいいとしても、こんな野犬とかもいるかもしんない森で、ちょっと危険なんじゃないですか？」
<1102> 「スクモンはいいとしても、こんな野犬とかもいるかもしんない森で、ちょっと危険なんじゃないですか？」

// <1103> 
<1103> 

// <1104> 母親
<1104> 母親

// <1105> 「…言われてみれば」
<1105> 「…言われてみれば」

// <1106> 瑚太朗
<1106> 瑚太朗

// <1107> 「娘さんのためにも、安全性には気を払ってやってください」
<1107> 「娘さんのためにも、安全性には気を払ってやってください」

// <1108> 瑚太朗
<1108> 瑚太朗

// <1109> 「勝負は、それからです」
<1109> 「勝負は、それからです」

// <1110> 
<1110> 

// <1111> 母親
<1111> 母親

// <1112> 「君の言う通りね…ありがとう」
<1112> 「君の言う通りね…ありがとう」

// <1113> 親子は森を出て行った。
<1113> 親子は森を出て行った。

// <1114> ■友達■　ID:
<1114> ■友達■　ID:

// <1115> 　NO:
<1115> 　NO:

// <1116> 俺はスクモンバトルに勝利した！
<1116> 俺はスクモンバトルに勝利した！

// <1117> ツノバッタンがレベルアップ！
<1117> ツノバッタンがレベルアップ！

// <1118> 瑚太朗
<1118> 瑚太朗

// <1119> 「なんでだ！？」
<1119> 「なんでだ！？」

// <1120> 
<1120> 

// <1121> 子供
<1121> 子供

// <1122> 「…さすがだね、兄ちゃん。戦わずして勝つ」
<1122> 「…さすがだね、兄ちゃん。戦わずして勝つ」

// <1123> 瑚太朗
<1123> 瑚太朗

// <1124> 「おまえは俺のあとでもつけているのか」
<1124> 「おまえは俺のあとでもつけているのか」

// <1125> 
<1125> 

// <1126> 子供
<1126> 子供

// <1127> 「ち、ちげーよ。そんな暇じゃないし」
<1127> 「ち、ちげーよ。そんな暇じゃないし」

// <1128> 子供
<1128> 子供

// <1129> 「ただ、ビギナーだからちょっと気にかけてやってるだけだろ」
<1129> 「ただ、ビギナーだからちょっと気にかけてやってるだけだろ」

// <1130> 瑚太朗
<1130> 瑚太朗

// <1131> 「…いいけどさ」
<1131> 「…いいけどさ」

// <1132> 
<1132> 

// <1133> 子供
<1133> 子供

// <1134> 「スクモンの世界の奥深さは、まだまだこんなもんじゃないからな！」
<1134> 「スクモンの世界の奥深さは、まだまだこんなもんじゃないからな！」

// <1135> 少年は走り去った。
<1135> 少年は走り去った。

// <1136> 瑚太朗
<1136> 瑚太朗

// <1137> 「この世界は…すっげー奥が浅いと思うんだがよ…」
<1137> 「この世界は…すっげー奥が浅いと思うんだがよ…」

// <1138> 
<1138> 

// <1139> ■マッピー／既読■　ID:
<1139> ■マッピー／既読■　ID:

// <1140>  (Z
<1140>  (Z

// <1141> -
<1141> -

// <1142> ■マッピー／コンプリート■
<1142> ■マッピー／コンプリート■

// <1143> げきりゅうのダイサク
<1143> げきりゅうのダイサク

// <1144> 「うおおおっ、おいどんと勝負するたい！」
<1144> 「うおおおっ、おいどんと勝負するたい！」

// <1145> スクモンブリーダーが現れた。
<1145> スクモンブリーダーが現れた。

// <1146> みんなは空気を読んで先に行ってくれた。
<1146> みんなは空気を読んで先に行ってくれた。

// <1147> 瑚太朗
<1147> 瑚太朗

// <1148> 「…いいけど」
<1148> 「…いいけど」

// <1149> …
<1149> …

// <1150> （
<1150> （

// <1151> バ
<1151> バ

// <1152> ト
<1152> ト

// <1153> ル
<1153> ル

// <1154> 中
<1154> 中

// <1155> ）
<1155> ）

// <1156> …
<1156> …

// <1157> 瑚太朗
<1157> 瑚太朗

// <1158> 「…勝ったけど」
<1158> 「…勝ったけど」

// <1159> 
<1159> 

// <1160> げきりゅうのダイサク
<1160> げきりゅうのダイサク

// <1161> 「負けたか…！」
<1161> 「負けたか…！」

// <1162> げきりゅうのダイサク
<1162> げきりゅうのダイサク

// <1163> 「勝負の世界は厳しかー！」
<1163> 「勝負の世界は厳しかー！」

// <1164> 瑚太朗
<1164> 瑚太朗

// <1165> 「おまえさ、小学校とかでもそんな話し方なの？」
<1165> 「おまえさ、小学校とかでもそんな話し方なの？」

// <1166> 
<1166> 

// <1167> げきりゅうのダイサク
<1167> げきりゅうのダイサク

// <1168> 「いや、学校じゃ普通にオレって言ってるよ」
<1168> 「いや、学校じゃ普通にオレって言ってるよ」

// <1169> 瑚太朗
<1169> 瑚太朗

// <1170> 「…」
<1170> 「…」

// <1171> 
<1171> 

// <1172> げきりゅうのダイサク
<1172> げきりゅうのダイサク

// <1173> 「キャラが大事だからさ」
<1173> 「キャラが大事だからさ」

// <1174> 瑚太朗
<1174> 瑚太朗

// <1175> 「………」
<1175> 「………」

// <1176> 
<1176> 

// <1177> 少年はポケットから金を出す。
<1177> 少年はポケットから金を出す。

// <1178> げきりゅうのダイサク
<1178> げきりゅうのダイサク

// <1179> 「じゃこれ、少ないけど」
<1179> 「じゃこれ、少ないけど」

// <1180> 瑚太朗
<1180> 瑚太朗

// <1181> 「いらねぇよ」
<1181> 「いらねぇよ」

// <1182> 
<1182> 

// <1183> げきりゅうのダイサク
<1183> げきりゅうのダイサク

// <1184> 「マジ？　あんがと、兄ちゃん！　またな！」
<1184> 「マジ？　あんがと、兄ちゃん！　またな！」

// <1185> 瑚太朗
<1185> 瑚太朗

// <1186> 「…おう」
<1186> 「…おう」

// <1187> ■友達■　ID:
<1187> ■友達■　ID:

// <1188> 　NO:
<1188> 　NO:

// <1189> 
<1189> 

// <1190> 俺はスクモンバトルに勝利した！
<1190> 俺はスクモンバトルに勝利した！

// <1191> ツノバッタンがレベルアップ！
