// <0000> ＭＴＧに参加している時のことだった。
<0000> ＭＴＧに参加している時のことだった。
<5335> 多少ぎこちなかったが、じきに慣れた。

// <5336> 軽快に指を走らせる。
<5336> 軽快に指を走らせる。

// <5337> 篝は今日も窓にへばりついていた。
<5337> 篝は今日も窓にへばりついていた。

// <5338> 外に行きたがるそぶりは見せるが、強引に出て行こうとはしない。
<5338> 外に行きたがるそぶりは見せるが、強引に出て行こうとはしない。

// <5339> その気になれば、壁くらい切り刻めるし、ドアを開けるくらいできるはずなのに。
<5339> その気になれば、壁くらい切り刻めるし、ドアを開けるくらいできるはずなのに。

// <5340> まるで移動する性質が失われてしまったかのように、ただ一途に、雨の日の猫のように、窓越しの風景を注視するばかりだった。
<5340> まるで移動する性質が失われてしまったかのように、ただ一途に、雨の日の猫のように、窓越しの風景を注視するばかりだった。

// <5341> 篝
<5341> 篝

// <5342> 「…」
<5342> 「…」

// <5343> 瑚太朗＿必要
<5343> 瑚太朗＿必要

// <5344> 「…」
<5344> 「…」

// <5345> 口数も日に日に減っている。
<5345> 口数も日に日に減っている。

// <5346> 篝は食事もしないし、トイレも風呂も無縁の存在だ。
<5346> 篝は食事もしないし、トイレも風呂も無縁の存在だ。

// <5347> ふとした一瞬、篝をオブジェか観葉植物のように感じつつある自分を発見して、罪悪感に襲われる。
<5347> ふとした一瞬、篝をオブジェか観葉植物のように感じつつある自分を発見して、罪悪感に襲われる。

// <5348> …かく乱されている。
<5348> …かく乱されている。

// <5349> 目には見えるが、認識できない。
<5349> 目には見えるが、認識できない。

// <5350> それに近い状態になっている。
<5350> それに近い状態になっている。

// <5351> 瑚太朗＿必要
<5351> 瑚太朗＿必要

// <5352> 「なあ、見ろよ」
<5352> 「なあ、見ろよ」

// <5353> しいたけ栽培キットを指さす。
<5353> しいたけ栽培キットを指さす。

// <5354> 市販品だ。
<5354> 市販品だ。

// <5355> ほだ木には、すでに大量のしいたけが生えている。
<5355> ほだ木には、すでに大量のしいたけが生えている。

// <5356> 篝
<5356> 篝

// <5357> 「…しいたけ」
<5357> 「…しいたけ」

// <5358> 瑚太朗＿必要
<5358> 瑚太朗＿必要

// <5359> 「ああ、しいたけだ」
<5359> 「ああ、しいたけだ」

// <5360> 瑚太朗＿必要
<5360> 瑚太朗＿必要

// <5361> 「地球緑化、大成功だぜ」
<5361> 「地球緑化、大成功だぜ」

// <5362> 篝
<5362> 篝

// <5363> 「…」
<5363> 「…」

// <5364> 目が興味ねぇよと語っていた。
<5364> 目が興味ねぇよと語っていた。

// <5365> 瑚太朗＿必要
<5365> 瑚太朗＿必要

// <5366> 「やっぱこの路線じゃないな」
<5366> 「やっぱこの路線じゃないな」

// <5367> しいたけをむしって口に放り込んだ。
<5367> しいたけをむしって口に放り込んだ。

// <5368> エコや緑化という方面に、篝の求める“良い記憶”はない。
<5368> エコや緑化という方面に、篝の求める“良い記憶”はない。

// <5369> 規模が小さすぎる。そして歩みが遅すぎる。
<5369> 規模が小さすぎる。そして歩みが遅すぎる。

// <5370> もっと目に見えて効果のあることでなければ、篝の気は引けまい。
<5370> もっと目に見えて効果のあることでなければ、篝の気は引けまい。

// <5371> 瑚太朗＿必要
<5371> 瑚太朗＿必要

// <5372> （ガイアとガーディアンの闘争を抑止する…それしかない）
<5372> （ガイアとガーディアンの闘争を抑止する…それしかない）

// <5373> 作業中のノートパソコンを閉じ、テレビをつけた。
<5373> 作業中のノートパソコンを閉じ、テレビをつけた。

// <5374> 宇宙のニュースが報じられている。
<5374> 宇宙のニュースが報じられている。

// <5375> 地球から１８光年の距離に、地球と同じ水と大気がある惑星を発見――
<5375> 地球から１８光年の距離に、地球と同じ水と大気がある惑星を発見――

// <5376> １８光年。
<5376> １８光年。

// <5377> 光の速さで１８年の距離。
<5377> 光の速さで１８年の距離。

// <5378> 俺の心は一時、ＭＴＧに通っていた頃の童心に舞い戻る。
<5378> 俺の心は一時、ＭＴＧに通っていた頃の童心に舞い戻る。

// <5379> 篝
<5379> 篝

// <5380> 「…星」
<5380> 「…星」

// <5381> そのニュースに、篝が反応を示した。
<5381> そのニュースに、篝が反応を示した。

// <5382> 窓際を離れ、テレビに向き直る。
<5382> 窓際を離れ、テレビに向き直る。

// <5383> 瑚太朗＿必要
<5383> 瑚太朗＿必要

// <5384> 「なんだ、星のニュースが好きなのか」
<5384> 「なんだ、星のニュースが好きなのか」

// <5385> 篝
<5385> 篝

// <5386> 「…星…水…」
<5386> 「…星…水…」

// <5387> 瑚太朗＿必要
<5387> 瑚太朗＿必要

// <5388> 「地球型惑星ってんだ。最近、よく見つかってる」
<5388> 「地球型惑星ってんだ。最近、よく見つかってる」

// <5389> 瑚太朗＿必要
<5389> 瑚太朗＿必要

// <5390> 「しかもけっこう近い。２０光年とか３０光年の世界だ」
<5390> 「しかもけっこう近い。２０光年とか３０光年の世界だ」

// <5391> 篝
<5391> 篝

// <5392> 「お行きなさい」
<5392> 「お行きなさい」

// <5393> 瑚太朗＿必要
<5393> 瑚太朗＿必要

// <5394> 「行けないさ…ロケットもないし」
<5394> 「行けないさ…ロケットもないし」

// <5395> 篝
<5395> 篝

// <5396> 「近い…」
<5396> 「近い…」

// <5397> 瑚太朗＿必要
<5397> 瑚太朗＿必要

// <5398> 「ＳＦレベルでは近いって意味だよ」
<5398> 「ＳＦレベルでは近いって意味だよ」

// <5399> 瑚太朗＿必要
<5399> 瑚太朗＿必要

// <5400> 「人類はまだ光速で宇宙旅行はできないし…核融合だってまだゲットしてないんだ」
<5400> 「人類はまだ光速で宇宙旅行はできないし…核融合だってまだゲットしてないんだ」

// <5401> 瑚太朗＿必要
<5401> 瑚太朗＿必要

// <5402> 「もし核融合があっても光速は出せないけどな」
<5402> 「もし核融合があっても光速は出せないけどな」

// <5403> 篝
<5403> 篝

// <5404> 「購入…お買いなさい…ホモ・コムニカンス（交易するヒト）」
<5404> 「購入…お買いなさい…ホモ・コムニカンス（交易するヒト）」

// <5405> 瑚太朗＿必要
<5405> 瑚太朗＿必要

// <5406> 「買えるかっ」
<5406> 「買えるかっ」

// <5407> 篝
<5407> 篝

// <5408> 「ネット通販…」
<5408> 「ネット通販…」

// <5409> 瑚太朗＿必要
<5409> 瑚太朗＿必要

// <5410> 「ネットでも買えない」
<5410> 「ネットでも買えない」

// <5411> そもそも売ってない。
<5411> そもそも売ってない。

// <5412> 瑚太朗＿必要
<5412> 瑚太朗＿必要

// <5413> 「そういや、太陽光を受けて燃料なしで加速できるってのがあったな」
<5413> 「そういや、太陽光を受けて燃料なしで加速できるってのがあったな」

// <5414> 瑚太朗＿必要
<5414> 瑚太朗＿必要

// <5415> 「あれなら今まさに研究されてんのか？」
<5415> 「あれなら今まさに研究されてんのか？」

// <5416> 瑚太朗＿必要
<5416> 瑚太朗＿必要

// <5417> 「でも人が乗れるほどの推力かって言ったら…いや、そこはハイブリッドでいけるか？」
<5417> 「でも人が乗れるほどの推力かって言ったら…いや、そこはハイブリッドでいけるか？」

// <5418> 篝
<5418> 篝

// <5419> 「光…？」
<5419> 「光…？」

// <5420> 瑚太朗＿必要
<5420> 瑚太朗＿必要

// <5421> 「将来、光を受けて宇宙を飛ぶ帆船みたいなものができれば、行けるかもな」
<5421> 「将来、光を受けて宇宙を飛ぶ帆船みたいなものができれば、行けるかもな」

// <5422> 瑚太朗＿必要
<5422> 瑚太朗＿必要

// <5423> 「移民船だな。２０光年を小刻みに往還ミッションなんてかなり無理がある」
<5423> 「移民船だな。２０光年を小刻みに往還ミッションなんてかなり無理がある」

// <5424> 瑚太朗＿必要
<5424> 瑚太朗＿必要

// <5425> 「もう人工生態系ごとのんびり移動して、惑星についたらテラフォーミングしながら資源を吸い上げて、数世代後に星がこなれたら移住。これだ」
<5425> 「もう人工生態系ごとのんびり移動して、惑星についたらテラフォーミングしながら資源を吸い上げて、数世代後に星がこなれたら移住。これだ」

// <5426> 瑚太朗＿必要
<5426> 瑚太朗＿必要

// <5427> 「あ、テラフォーミングってのは、惑星改造のことな」
<5427> 「あ、テラフォーミングってのは、惑星改造のことな」

// <5428> 篝
<5428> 篝

// <5429> 「………」
<5429> 「………」

// <5430> 篝がじっと俺を見つめていた。
<5430> 篝がじっと俺を見つめていた。

// <5431> 瑚太朗＿必要
<5431> 瑚太朗＿必要

// <5432> 「な、なんだよ…」
<5432> 「な、なんだよ…」

// <5433> 篝
<5433> 篝

// <5434> 「続けてください」
<5434> 「続けてください」

// <5435> 瑚太朗＿必要
<5435> 瑚太朗＿必要

// <5436> 「続けるったって…こんなところだけど」
<5436> 「続けるったって…こんなところだけど」

// <5437> 瑚太朗＿必要
<5437> 瑚太朗＿必要

// <5438> 「あ、ちなみにテラフォーミングってのも、かなり時間がかかるんだよ」
<5438> 「あ、ちなみにテラフォーミングってのも、かなり時間がかかるんだよ」

// <5439> 瑚太朗＿必要
<5439> 瑚太朗＿必要

// <5440> 「どんなに技術が進んでも、最低千年単位でかかるだろうさ」
<5440> 「どんなに技術が進んでも、最低千年単位でかかるだろうさ」

// <5441> 瑚太朗＿必要
<5441> 瑚太朗＿必要

// <5442> 「ひとつの星を地球みたいにしないといけないからな、大事だぜ」
<5442> 「ひとつの星を地球みたいにしないといけないからな、大事だぜ」

// <5443> 瑚太朗＿必要
<5443> 瑚太朗＿必要

// <5444> 「だから惑星移住のためには、生態系の技術を完全に会得しなけりゃいけない」
<5444> 「だから惑星移住のためには、生態系の技術を完全に会得しなけりゃいけない」

// <5445> 懐かしくも思い出す。
<5445> 懐かしくも思い出す。

// <5446> 子供の頃、ＭＴＧで教わったり、本を読んだりして得た知識だった。
<5446> 子供の頃、ＭＴＧで教わったり、本を読んだりして得た知識だった。

// <5447> 瑚太朗＿必要
<5447> 瑚太朗＿必要

// <5448> 「人工生態系って、あれも大変なんだぞ」
<5448> 「人工生態系って、あれも大変なんだぞ」

// <5449> 瑚太朗＿必要
<5449> 瑚太朗＿必要

// <5450> 「密閉された環境に生態系を再現して、どれだけ生活していけるかって実験があって」
<5450> 「密閉された環境に生態系を再現して、どれだけ生活していけるかって実験があって」

// <5451> 瑚太朗＿必要
<5451> 瑚太朗＿必要

// <5452> 「確か、二年で限界になっちまったのかな？」
<5452> 「確か、二年で限界になっちまったのかな？」

// <5453> 瑚太朗＿必要
<5453> 瑚太朗＿必要

// <5454> 「酸素や二酸化炭素のバランスが狂ったり、食糧が採れなくなったりして」
<5454> 「酸素や二酸化炭素のバランスが狂ったり、食糧が採れなくなったりして」

// <5455> 瑚太朗＿必要
<5455> 瑚太朗＿必要

// <5456> 「ま、それは生態系をじかに再現しようとしたせいもあるけどな」
<5456> 「ま、それは生態系をじかに再現しようとしたせいもあるけどな」

// <5457> 瑚太朗＿必要
<5457> 瑚太朗＿必要

// <5458> 「割り切って機械を導入しまくれば、またずっと時間は延びる」
<5458> 「割り切って機械を導入しまくれば、またずっと時間は延びる」

// <5459> 篝
<5459> 篝

// <5460> 「それで、旅ができますか？」
<5460> 「それで、旅ができますか？」

// <5461> 瑚太朗＿必要
<5461> 瑚太朗＿必要

// <5462> 「いいや、問題はまだまだある」
<5462> 「いいや、問題はまだまだある」

// <5463> 瑚太朗＿必要
<5463> 瑚太朗＿必要

// <5464> 「移住先の星に行って、すぐに無駄なく作業に着手しないといけないだろ？」
<5464> 「移住先の星に行って、すぐに無駄なく作業に着手しないといけないだろ？」

// <5465> 瑚太朗＿必要
<5465> 瑚太朗＿必要

// <5466> 「余計な物資は持って行けないし、失敗も許されない」
<5466> 「余計な物資は持って行けないし、失敗も許されない」

// <5467> 瑚太朗＿必要
<5467> 瑚太朗＿必要

// <5468> 「入念に計画するためには、あらかじめ惑星の状態を把握できてなきゃダメだ」
<5468> 「入念に計画するためには、あらかじめ惑星の状態を把握できてなきゃダメだ」

// <5469> 瑚太朗＿必要
<5469> 瑚太朗＿必要

// <5470> 「さしあたっては、今以上の観測技術が必要だな」
<5470> 「さしあたっては、今以上の観測技術が必要だな」

// <5471> 瑚太朗＿必要
<5471> 瑚太朗＿必要

// <5472> 「惑星を直接観察して、状態を分析しておくんだ」
<5472> 「惑星を直接観察して、状態を分析しておくんだ」

// <5473> 瑚太朗＿必要
<5473> 瑚太朗＿必要

// <5474> 「現地調達できる資源と、こちら側から持ち込まないといけない資源が、それでわかる」
<5474> 「現地調達できる資源と、こちら側から持ち込まないといけない資源が、それでわかる」

// <5475> 瑚太朗＿必要
<5475> 瑚太朗＿必要

// <5476> 「物資と人材、移民船はどう考えても巨大なものになるな」
<5476> 「物資と人材、移民船はどう考えても巨大なものになるな」

// <5477> 瑚太朗＿必要
<5477> 瑚太朗＿必要

// <5478> 「そういうものをどうやって建造するか…うーん、いろいろ考えないと」
<5478> 「そういうものをどうやって建造するか…うーん、いろいろ考えないと」

// <5479> 篝
<5479> 篝

// <5480> 「急がないと…」
<5480> 「急がないと…」

// <5481> 瑚太朗＿必要
<5481> 瑚太朗＿必要

// <5482> 「なんだよ、こういうのは良い記憶なのか？」
<5482> 「なんだよ、こういうのは良い記憶なのか？」

// <5483> 篝
<5483> 篝

// <5484> 「広がって、地に満ちよ…広がって、地に満ちよ」
<5484> 「広がって、地に満ちよ…広がって、地に満ちよ」

// <5485> 瑚太朗＿必要
<5485> 瑚太朗＿必要

// <5486> 「ああ、なるほど」
<5486> 「ああ、なるほど」

// <5487> 瑚太朗＿必要
<5487> 瑚太朗＿必要

// <5488> 「確かに星に移住するのは、良い記憶かもな」
<5488> 「確かに星に移住するのは、良い記憶かもな」

// <5489> 開拓精神は、篝にとって良い記憶のようだ。
<5489> 開拓精神は、篝にとって良い記憶のようだ。

// <5490> しかし今の地球に、開拓できる場所はほとんどない。
<5490> しかし今の地球に、開拓できる場所はほとんどない。

// <5491> 海底にでも住むか？
<5491> 海底にでも住むか？

// <5492> 瑚太朗＿必要
<5492> 瑚太朗＿必要

// <5493> 「どっちにしろハードル高いな」
<5493> 「どっちにしろハードル高いな」

// <5494> 瑚太朗＿必要
<5494> 瑚太朗＿必要

// <5495> 「あと千年もあれば、なんとかなるかもだけど…」
<5495> 「あと千年もあれば、なんとかなるかもだけど…」

// <5496> 篝
<5496> 篝

// <5497> 「間に合わない…間に合わない…」
<5497> 「間に合わない…間に合わない…」

// <5498> 篝
<5498> 篝

// <5499> 「お急ぎください」
<5499> 「お急ぎください」

// <5500> 瑚太朗＿必要
<5500> 瑚太朗＿必要

// <5501> 「無理だよ。それに他の良い記憶を、今準備してるところだろ」
<5501> 「無理だよ。それに他の良い記憶を、今準備してるところだろ」

// <5502> 篝
<5502> 篝

// <5503> 「ああ…」
<5503> 「ああ…」

// <5504> 涙を流す。
<5504> 涙を流す。

// <5505> 最近、篝はよく泣く。
<5505> 最近、篝はよく泣く。

// <5506> 自分が間違っているのではないかと思わされて、心細くなる。
<5506> 自分が間違っているのではないかと思わされて、心細くなる。

// <5507> 瑚太朗＿必要
<5507> 瑚太朗＿必要

// <5508> （ここまでやってしまったんだ…もう他の道には行けない）
<5508> （ここまでやってしまったんだ…もう他の道には行けない）

// <5509> 瑚太朗＿必要
<5509> 瑚太朗＿必要

// <5510> （それに…これでいいような…妙な確信もあるんだ…）
<5510> （それに…これでいいような…妙な確信もあるんだ…）

// <5511> 洲崎も幹部である以上、外回りは避けられない。
<5511> 洲崎も幹部である以上、外回りは避けられない。

// <5512> そんな時は、当然現地のシティホテルを利用するのが常だ。
<5512> そんな時は、当然現地のシティホテルを利用するのが常だ。

// <5513> マーテルも馬鹿ではないから、両隣の部屋をボディガードで固めるくらいの警備態勢はとる。
<5513> マーテルも馬鹿ではないから、両隣の部屋をボディガードで固めるくらいの警備態勢はとる。

// <5514> 宿泊階も３０階以上のエグゼクティブフロアであり、外部からの進入はおろか、狙撃も困難な部屋が厳選されている。
<5514> 宿泊階も３０階以上のエグゼクティブフロアであり、外部からの進入はおろか、狙撃も困難な部屋が厳選されている。

// <5515> 廊下側にも警備の者は立ち、フロアへの出入りも制限される。
<5515> 廊下側にも警備の者は立ち、フロアへの出入りも制限される。

// <5516> 就寝中の深夜でも、警備スタッフ間では３０分ごとの安全確認という徹底ぶりだ。
<5516> 就寝中の深夜でも、警備スタッフ間では３０分ごとの安全確認という徹底ぶりだ。

// <5517> 警備態勢に穴はない。常識的には。
<5517> 警備態勢に穴はない。常識的には。

// <5518> 以下の手順で、作戦は実施された。
<5518> 以下の手順で、作戦は実施された。

// <5519> 洲崎の宿泊する部屋にガス注入。
<5519> 洲崎の宿泊する部屋にガス注入。

// <5520> 事前工作により巧妙に設置された進入口より実行班４名突入。
<5520> 事前工作により巧妙に設置された進入口より実行班４名突入。

// <5521> ガスによって昏睡した、側近を含めた対象二名を確保。
<5521> ガスによって昏睡した、側近を含めた対象二名を確保。

// <5522> 室内の施錠を解除するなど、各種偽装工作を行う。
<5522> 室内の施錠を解除するなど、各種偽装工作を行う。

// <5523> 後、進入口より脱出。
<5523> 後、進入口より脱出。

// <5524> 実行班は全員、成人男性ひとり分の重量を背負った上で、ザイルを用いることなく壁面を移動する運動能力を持つ。
<5524> 実行班は全員、成人男性ひとり分の重量を背負った上で、ザイルを用いることなく壁面を移動する運動能力を持つ。

// <5525> 洲崎が側近とともに失踪したことが判明したのは２０分後。
<5525> 洲崎が側近とともに失踪したことが判明したのは２０分後。

// <5526> だがその時、すでに洲崎らの身柄は車内に押し込まれ、幹線道路を時速６０キロで西進していた。
<5526> だがその時、すでに洲崎らの身柄は車内に押し込まれ、幹線道路を時速６０キロで西進していた。

// <5527> 次に洲崎が目覚めたのは、どこともわからぬ薄暗い地下の一室だった。
<5527> 次に洲崎が目覚めたのは、どこともわからぬ薄暗い地下の一室だった。

// <5528> 居合わせた男たちが顔を隠していないことから、洲崎は自身の死を予感せざるを得なかったろう。
<5528> 居合わせた男たちが顔を隠していないことから、洲崎は自身の死を予感せざるを得なかったろう。

// <5529> 江坂
<5529> 江坂

// <5530> 「…では」
<5530> 「…では」

// <5531> 男たちにも、もちろん事をのどかに済ませるつもりはなかった。
<5531> 男たちにも、もちろん事をのどかに済ませるつもりはなかった。

// <5532> …全てが終わった時、洲崎にはわずかな時間しか残されていなかった。
<5532> …全てが終わった時、洲崎にはわずかな時間しか残されていなかった。

// <5533> 洲崎
<5533> 洲崎

// <5534> 「…強引な真似をしたものだ」
<5534> 「…強引な真似をしたものだ」

// <5535> 洲崎
<5535> 洲崎

// <5536> 「警告しておこう。私という枷がなくなれば、マーテルは暴走する」
<5536> 「警告しておこう。私という枷がなくなれば、マーテルは暴走する」

// <5537> 洲崎
<5537> 洲崎

// <5538> 「おまえたちが、あの怪物を解き放ったのだ…」
<5538> 「おまえたちが、あの怪物を解き放ったのだ…」

// <5539> 最後の言葉を吐き出すと同時に、洲崎は事切れた。
<5539> 最後の言葉を吐き出すと同時に、洲崎は事切れた。

// <5540> 江坂
<5540> 江坂

// <5541> 「…すぐに情報部に報告書を回してくれ」
<5541> 「…すぐに情報部に報告書を回してくれ」

// <5542> 瑚太朗＿必要
<5542> 瑚太朗＿必要

// <5543> 「はい」
<5543> 「はい」

// <5544> 居合わせた俺が鈴木凡人だとは、洲崎も最期まで気付かなかった。
<5544> 居合わせた俺が鈴木凡人だとは、洲崎も最期まで気付かなかった。

// <5545> 瑚太朗＿必要
<5545> 瑚太朗＿必要

// <5546> （…むごいもんだ）
<5546> （…むごいもんだ）

// <5547> おかげで重要情報のお相伴に与れた。
<5547> おかげで重要情報のお相伴に与れた。

// <5548> 部屋を退出し、扉の外で聞き耳を立てる。
<5548> 部屋を退出し、扉の外で聞き耳を立てる。

// <5549> 江坂
<5549> 江坂

// <5550> 「連中も鍵を手に入れていないというのは、誤算だったな」
<5550> 「連中も鍵を手に入れていないというのは、誤算だったな」

// <5551> 情報担当
<5551> 情報担当

// <5552> 「本当でしょうか」
<5552> 「本当でしょうか」

// <5553> 江坂
<5553> 江坂

// <5554> 「事実だろうな」
<5554> 「事実だろうな」

// <5555> 情報担当
<5555> 情報担当

// <5556> 「なら鍵を手に入れてしまえば、こちらのチェックメイトになりますね」
<5556> 「なら鍵を手に入れてしまえば、こちらのチェックメイトになりますね」

// <5557> 情報担当
<5557> 情報担当

// <5558> 「“目”が必要ですが」
<5558> 「“目”が必要ですが」

// <5559> 江坂
<5559> 江坂

// <5560> 「打診はしたが、情報部は鍵を生きたまま捕獲することが条件だと圧力をかけてきている」
<5560> 「打診はしたが、情報部は鍵を生きたまま捕獲することが条件だと圧力をかけてきている」

// <5561> 江坂
<5561> 江坂

// <5562> 「応じなければ、独自の動きを見せる気配だ」
<5562> 「応じなければ、独自の動きを見せる気配だ」

// <5563> 情報担当
<5563> 情報担当

// <5564> 「独自って」
<5564> 「独自って」

// <5565> 江坂
<5565> 江坂

// <5566> 「介入実績を作るつもりなのだろうな。我々は結果を出せていない」
<5566> 「介入実績を作るつもりなのだろうな。我々は結果を出せていない」

// <5567> 情報担当
<5567> 情報担当

// <5568> 「部外者に引っかき回されるのはごめんですよ」
<5568> 「部外者に引っかき回されるのはごめんですよ」

// <5569> 江坂
<5569> 江坂

// <5570> 「鍵を捕獲するなど認められん。見逃せば、全てが終わってしまうものだ。そのことを連中は理解していない」
<5570> 「鍵を捕獲するなど認められん。見逃せば、全てが終わってしまうものだ。そのことを連中は理解していない」

// <5571> 江坂
<5571> 江坂

// <5572> 「…こちらの判断でやるしかなかろう。部外者の乱入は、なんとかこちらで阻止してみよう」
<5572> 「…こちらの判断でやるしかなかろう。部外者の乱入は、なんとかこちらで阻止してみよう」

// <5573> 情報担当
<5573> 情報担当

// <5574> 「厳しいですね」
<5574> 「厳しいですね」

// <5575> 江坂
<5575> 江坂

// <5576> 「内通者もいるようだからな」
<5576> 「内通者もいるようだからな」

// <5577> 呻きそうになった。
<5577> 呻きそうになった。

// <5578> 情報担当
<5578> 情報担当

// <5579> 「今宮から報告のあった、盗聴機器の件ですか」
<5579> 「今宮から報告のあった、盗聴機器の件ですか」

// <5580> 情報担当
<5580> 情報担当

// <5581> 「“会議”のスパイでしょうか？」
<5581> 「“会議”のスパイでしょうか？」

// <5582> 江坂
<5582> 江坂

// <5583> 「そう考えるのが妥当だ。ガイア主義者の感じはしない」
<5583> 「そう考えるのが妥当だ。ガイア主義者の感じはしない」

// <5584> 江坂
<5584> 江坂

// <5585> 「貴様と清水にだけ伝えておくが、“目”については“教区”から回してもらうことになった」
<5585> 「貴様と清水にだけ伝えておくが、“目”については“教区”から回してもらうことになった」

// <5586> 情報担当
<5586> 情報担当

// <5587> 「根回しの甲斐がありましたね」
<5587> 「根回しの甲斐がありましたね」

// <5588> 江坂
<5588> 江坂

// <5589> 「外国人だ。目立つぞ。収穫祭合わせの来日になる。任せて良いか」
<5589> 「外国人だ。目立つぞ。収穫祭合わせの来日になる。任せて良いか」

// <5590> 情報担当
<5590> 情報担当

// <5591> 「了解です。今回はヘリ班に回しますよ」
<5591> 「了解です。今回はヘリ班に回しますよ」

// <5592> 俺の知らない情報が、次々と出てくる。
<5592> 俺の知らない情報が、次々と出てくる。

// <5593> 江坂
<5593> 江坂

// <5594> 「指揮所の方は？」
<5594> 「指揮所の方は？」

// <5595> 情報担当
<5595> 情報担当

// <5596> 「盗聴器を撤去せず、そのままダミー情報を放流しています」
<5596> 「盗聴器を撤去せず、そのままダミー情報を放流しています」

// <5597> 情報担当
<5597> 情報担当

// <5598> 「我々は何も発見しておらず、ほとんど静観しているということになっています」
<5598> 「我々は何も発見しておらず、ほとんど静観しているということになっています」

// <5599> 情報担当
<5599> 情報担当

// <5600> 「どうも変ですよ。これ、ガイアってことはないんですかね」
<5600> 「どうも変ですよ。これ、ガイアってことはないんですかね」

// <5601> 江坂
<5601> 江坂

// <5602> 「考えにくいが、仮にそうだったとして、主義者側の動きもない」
<5602> 「考えにくいが、仮にそうだったとして、主義者側の動きもない」

// <5603> 情報担当
<5603> 情報担当

// <5604> 「ふむ。何か見落としがありますかね」
<5604> 「ふむ。何か見落としがありますかね」

// <5605> 江坂
<5605> 江坂

// <5606> 「かもしれん。が、内部から分断されても最低限機能するよう、保険をかけておけ」
<5606> 「かもしれん。が、内部から分断されても最低限機能するよう、保険をかけておけ」

// <5607> 情報担当
<5607> 情報担当

// <5608> 「…げ。まいったな…」
<5608> 「…げ。まいったな…」

// <5609> 江坂
<5609> 江坂

// <5610> 「足の引っ張り合いは我々にとって潜在的宿命だ。あきらめたまえ」
<5610> 「足の引っ張り合いは我々にとって潜在的宿命だ。あきらめたまえ」

// <5611> 江坂
<5611> 江坂

// <5612> 「たとえ街を焼き払ってでも、鍵を仕留めることになるだろう」
<5612> 「たとえ街を焼き払ってでも、鍵を仕留めることになるだろう」

// <5613> 江坂
<5613> 江坂

// <5614> 「…今回は、得体の知れない流れが入り交じっている。侮れんよ」
<5614> 「…今回は、得体の知れない流れが入り交じっている。侮れんよ」

// <5615> …闘争がはじまる。
<5615> …闘争がはじまる。

// <5616> たぶん、最後の。
<5616> たぶん、最後の。

// <5617> 静かにその場を離れた。
<5617> 静かにその場を離れた。

// <5618> 女
<5618> 女

// <5619> 「ねえ、何か聞こえない？」
<5619> 「ねえ、何か聞こえない？」

// <5620> 男
<5620> 男

// <5621> 「え、何かって？」
<5621> 「え、何かって？」

// <5622> 女
<5622> 女

// <5623> 「…なんだろう…お祈り…歌？」
<5623> 「…なんだろう…お祈り…歌？」

// <5624> 男
<5624> 男

// <5625> 「さあ、俺には聞こえないな…」
<5625> 「さあ、俺には聞こえないな…」

// <5626> 学生
<5626> 学生

// <5627> 「なあ、これって風か？」
<5627> 「なあ、これって風か？」

// <5628> 学生
<5628> 学生

// <5629> 「にしては甲高くないか？」
<5629> 「にしては甲高くないか？」

// <5630> 学生
<5630> 学生

// <5631> 「いや、そんな音、聞こえねーぞ」
<5631> 「いや、そんな音、聞こえねーぞ」

// <5632> 勤め人
<5632> 勤め人

// <5633> 「ん…耳が痛いな…なんだこりゃ…」
<5633> 「ん…耳が痛いな…なんだこりゃ…」

// <5634> 少女
<5634> 少女

// <5635> 「なにこれ…いろんなものが震えてるみたい…気持ち悪い」
<5635> 「なにこれ…いろんなものが震えてるみたい…気持ち悪い」

// <5636> 風祭市で奇妙な噂が流れ始めた。
<5636> 風祭市で奇妙な噂が流れ始めた。

// <5637> 歌が聞こえる。
<5637> 歌が聞こえる。

// <5638> この世のものではない歌が。
<5638> この世のものではない歌が。

// <5639> 耳にできる者と、そうでない者がいることが、噂をあやふやなものにした。
<5639> 耳にできる者と、そうでない者がいることが、噂をあやふやなものにした。

// <5640> 歌は切々と流れ続けた。
<5640> 歌は切々と流れ続けた。

// <5641> 止まることなく、終わることなく。
<5641> 止まることなく、終わることなく。

// <5642> まるで人以外の者たちが、唱和しているかのように。
<5642> まるで人以外の者たちが、唱和しているかのように。

// <5643> どのようなニュースでも取り上げられることはなかった。
<5643> どのようなニュースでも取り上げられることはなかった。

// <5644> ただオカルト現象を扱う個人サイトのいくつかが、一部のマニアたちに向けてこの現象を報じた。
<5644> ただオカルト現象を扱う個人サイトのいくつかが、一部のマニアたちに向けてこの現象を報じた。

// <5645> 篝は停止しつつある。
<5645> 篝は停止しつつある。

// <5646> 窓によりかかるようにして、ずっと同じ姿勢でいる。
