// <0000> すぐさま救急車で運ばれる。
<0000> すぐさま救急車で運ばれる。
<5660> 瑚太朗

// <5661> 「頷いてくれますか」
<5661> 「頷いてくれますか」

// <5662> ちはや
<5662> ちはや

// <5663> 「だ、だから…」
<5663> 「だ、だから…」

// <5664> 頷いた。
<5664> 頷いた。

// <5665> 瑚太朗
<5665> 瑚太朗

// <5666> 「うん」
<5666> 「うん」

// <5667> 瑚太朗も頷き返す。
<5667> 瑚太朗も頷き返す。

// <5668> 瑚太朗
<5668> 瑚太朗

// <5669> 「いよっしゃあああああーーー！！！」
<5669> 「いよっしゃあああああーーー！！！」

// <5670> 瑚太朗は拳を高く上げる。
<5670> 瑚太朗は拳を高く上げる。

// <5671> 瑚太朗
<5671> 瑚太朗

// <5672> 「行くぜ！」
<5672> 「行くぜ！」

// <5673> 瑚太朗
<5673> 瑚太朗

// <5674> 「そんで…」
<5674> 「そんで…」

// <5675> 瑚太朗
<5675> 瑚太朗

// <5676> 「天王寺瑚太朗、鳳ちはやと結婚して一生添い遂げることを誓いまぁーーーす！」
<5676> 「天王寺瑚太朗、鳳ちはやと結婚して一生添い遂げることを誓いまぁーーーす！」

// <5677> ちはや
<5677> ちはや

// <5678> 「だからそんな恥ずかしい事を叫ばないでくださいっ！」
<5678> 「だからそんな恥ずかしい事を叫ばないでくださいっ！」

// <5679> 瑚太朗
<5679> 瑚太朗

// <5680> 「なんか半分くらいはちはやのそういう反応見たくてやってる」
<5680> 「なんか半分くらいはちはやのそういう反応見たくてやってる」

// <5681> ちはや
<5681> ちはや

// <5682> 「…意地悪いです」
<5682> 「…意地悪いです」

// <5683> 瑚太朗
<5683> 瑚太朗

// <5684> 「もう半分、気合入れたかった」
<5684> 「もう半分、気合入れたかった」

// <5685> 瑚太朗
<5685> 瑚太朗

// <5686> 「…正念場っすから」
<5686> 「…正念場っすから」

// <5687> ちはや
<5687> ちはや

// <5688> 「………」
<5688> 「………」

// <5689> 瑚太朗
<5689> 瑚太朗

// <5690> 「よし、行こう」
<5690> 「よし、行こう」

// <5691> 瑚太朗が一歩踏み出す。
<5691> 瑚太朗が一歩踏み出す。

// <5692> 私も一歩。
<5692> 私も一歩。

// <5693> 同じ道。
<5693> 同じ道。

// <5694> 瑚太朗
<5694> 瑚太朗

// <5695> 「どうしたよ、行こうぜ」
<5695> 「どうしたよ、行こうぜ」

// <5696> ちはや
<5696> ちはや

// <5697> 「行きますよ」
<5697> 「行きますよ」

// <5698> …おとーさん。
<5698> …おとーさん。

// <5699> 一緒に歩く人、見つかりました。
<5699> 一緒に歩く人、見つかりました。

// <5700> 
<5700> 

// <5701> 光の柱を目指す。
<5701> 光の柱を目指す。

// <5702> 多分、それはぎるが言ってた、力が一点に集まっている場所。
<5702> 多分、それはぎるが言ってた、力が一点に集まっている場所。

// <5703> 朱音
<5703> 朱音

// <5704> 「どうして…どうして…」
<5704> 「どうして…どうして…」

// <5705> どこまでも静かな空間に、呟きが響く。
<5705> どこまでも静かな空間に、呟きが響く。

// <5706> 二人の足音。衣擦れの音。何もかもが耳に届く。
<5706> 二人の足音。衣擦れの音。何もかもが耳に届く。

// <5707> 歩みを止めずに目を閉じる。
<5707> 歩みを止めずに目を閉じる。

// <5708> 数歩。
<5708> 数歩。

// <5709> あらゆる感覚が鋭利に、多角的に展開される。
<5709> あらゆる感覚が鋭利に、多角的に展開される。

// <5710> 能力を使ったわけじゃない。
<5710> 能力を使ったわけじゃない。

// <5711> ただ、今ここにある自分の再確認。
<5711> ただ、今ここにある自分の再確認。

// <5712> 瑚太朗
<5712> 瑚太朗

// <5713> （…これも咲夜に教わったことだったっけな）
<5713> （…これも咲夜に教わったことだったっけな）

// <5714> 俺はあの域に達しているだろうか。
<5714> 俺はあの域に達しているだろうか。

// <5715> 人を捨てずに…。
<5715> 人を捨てずに…。

// <5716> 瑚太朗
<5716> 瑚太朗

// <5717> （…いや）
<5717> （…いや）

// <5718> 何一つ捨ててやしない。
<5718> 何一つ捨ててやしない。

// <5719> これまでの戦いを思い出す。
<5719> これまでの戦いを思い出す。

// <5720> 幾重にも俺の体は書き換えられてきた。
<5720> 幾重にも俺の体は書き換えられてきた。

// <5721> けれど。
<5721> けれど。

// <5722> 瑚太朗
<5722> 瑚太朗

// <5723> （思い一つ、何一つ変わっちゃいない）
<5723> （思い一つ、何一つ変わっちゃいない）

// <5724> 目を開ける。
<5724> 目を開ける。

// <5725> これがラストスタンドだ。
<5725> これがラストスタンドだ。

// <5726> さあ、変えてやる。
<5726> さあ、変えてやる。

// <5727> この世界という物語を。
<5727> この世界という物語を。

// <5728> 瑚太朗
<5728> 瑚太朗

// <5729> 「―――クソくだらねえ、三文芝居の脚本家がやってきたぜ」
<5729> 「―――クソくだらねえ、三文芝居の脚本家がやってきたぜ」

// <5730> 朱音＿不要
<5730> 朱音＿不要

// <5731> 「………」
<5731> 「………」

// <5732> 会長が立ち上がる。
<5732> 会長が立ち上がる。

// <5733> 生気のない目がこちらを睨む。
<5733> 生気のない目がこちらを睨む。

// <5734> 瑚太朗
<5734> 瑚太朗

// <5735> 「終わりだよ、会長」
<5735> 「終わりだよ、会長」

// <5736> ちはや
<5736> ちはや

// <5737> 「そうです！　もうこんなこと止めていいじゃないですか！」
<5737> 「そうです！　もうこんなこと止めていいじゃないですか！」

// <5738> ちはや
<5738> ちはや

// <5739> 「ガイアもこの町はもう放棄するしかないと思います！　それに、指導者のいないガイアなんて…」
<5739> 「ガイアもこの町はもう放棄するしかないと思います！　それに、指導者のいないガイアなんて…」

// <5740> ちはや
<5740> ちはや

// <5741> 「もう、負けなんですよ！　世界は維持されるんです！」
<5741> 「もう、負けなんですよ！　世界は維持されるんです！」

// <5742> 朱音＿不要
<5742> 朱音＿不要

// <5743> 「………」
<5743> 「………」

// <5744> 朱音＿不要
<5744> 朱音＿不要

// <5745> 「………………」
<5745> 「………………」

// <5746> 朱音＿不要
<5746> 朱音＿不要

// <5747> 「………………………………………………………………………………………………………………………」
<5747> 「………………………………………………………………………………………………………………………」

// <5748> 朱音
<5748> 朱音

// <5749> 「ふ」
<5749> 「ふ」

// <5750> 微笑一つ。
<5750> 微笑一つ。

// <5751> 朱音
<5751> 朱音

// <5752> 「馬鹿ね！　失敗したならやり直せば良いじゃない！」
<5752> 「馬鹿ね！　失敗したならやり直せば良いじゃない！」

// <5753> 朱音
<5753> 朱音

// <5754> 「それに、何もかも終わりなら私の勝ちと言うことじゃない！」
<5754> 「それに、何もかも終わりなら私の勝ちと言うことじゃない！」

// <5755> ちはや
<5755> ちはや

// <5756> 「朱音さん…」
<5756> 「朱音さん…」

// <5757> 瑚太朗
<5757> 瑚太朗

// <5758> 「もうさ、その光は会長の味方じゃないんだよ」
<5758> 「もうさ、その光は会長の味方じゃないんだよ」

// <5759> 瑚太朗
<5759> 瑚太朗

// <5760> 「宣言しとくよ。あんた絶対俺に勝てない」
<5760> 「宣言しとくよ。あんた絶対俺に勝てない」

// <5761> 瑚太朗
<5761> 瑚太朗

// <5762> 「何したってもう勝てないよ」
<5762> 「何したってもう勝てないよ」

// <5763> 朱音
<5763> 朱音

// <5764> 「何を世迷言を…」
<5764> 「何を世迷言を…」

// <5765> ちはや
<5765> ちはや

// <5766> 「そういうこと言ってるの、全部朱音さんじゃないですか！」
<5766> 「そういうこと言ってるの、全部朱音さんじゃないですか！」

// <5767> ちはや
<5767> ちはや

// <5768> 「もう諦めてください！　これ以上なにやったって無駄だって…」
<5768> 「もう諦めてください！　これ以上なにやったって無駄だって…」

// <5769> 朱音
<5769> 朱音

// <5770> 「………」
<5770> 「………」

// <5771> 朱音
<5771> 朱音

// <5772> 「うるさい小蝿は叩き潰すに限るわ」
<5772> 「うるさい小蝿は叩き潰すに限るわ」

// <5773> 瑚太朗
<5773> 瑚太朗

// <5774> 「………」
<5774> 「………」

// <5775> 朱音
<5775> 朱音

// <5776> 「結局お前たちもそう。私に勝てる？　勝てるからなんだというの？　力を振るって屈服させるだけの話？」
<5776> 「結局お前たちもそう。私に勝てる？　勝てるからなんだというの？　力を振るって屈服させるだけの話？」

// <5777> 朱音
<5777> 朱音

// <5778> 「勝者だから敗者は言う事を聞けというの？　何をしてもいいというの」
<5778> 「勝者だから敗者は言う事を聞けというの？　何をしてもいいというの」

// <5779> 朱音
<5779> 朱音

// <5780> 「醜い競争原理に支配されているお前たちこそ、まず自らを顧みるべきだわ」
<5780> 「醜い競争原理に支配されているお前たちこそ、まず自らを顧みるべきだわ」

// <5781> ちはや
<5781> ちはや

// <5782> 「醜い醜いって、信念を通そうとすることの何が醜いんですか…」
<5782> 「醜い醜いって、信念を通そうとすることの何が醜いんですか…」

// <5783> ちはや
<5783> ちはや

// <5784> 「力を振るうってことは、朱音さんの言うように醜い所だってあると思います」
<5784> 「力を振るうってことは、朱音さんの言うように醜い所だってあると思います」

// <5785> ちはや
<5785> ちはや

// <5786> 「けど、それが裏なら表だってちゃんと存在してるんです！　裏があるからそれが全てなんて考えは、おかしいと思います！」
<5786> 「けど、それが裏なら表だってちゃんと存在してるんです！　裏があるからそれが全てなんて考えは、おかしいと思います！」

// <5787> ちはや
<5787> ちはや

// <5788> 「いいことだってあるじゃないですか…」
<5788> 「いいことだってあるじゃないですか…」

// <5789> 瑚太朗
<5789> 瑚太朗

// <5790> 「…ちはや、もういいよ」
<5790> 「…ちはや、もういいよ」

// <5791> 瑚太朗
<5791> 瑚太朗

// <5792> 「会長さん、病気なんだよ」
<5792> 「会長さん、病気なんだよ」

// <5793> 瑚太朗
<5793> 瑚太朗

// <5794> 「看病して治してやらなきゃな」
<5794> 「看病して治してやらなきゃな」

// <5795> 朱音
<5795> 朱音

// <5796> 「四半世紀も生きていない小僧が何を知った口を利く！」
<5796> 「四半世紀も生きていない小僧が何を知った口を利く！」

// <5797> 瑚太朗
<5797> 瑚太朗

// <5798> 「…四半世紀？」
<5798> 「…四半世紀？」

// <5799> 瑚太朗
<5799> 瑚太朗

// <5800> 「なあ、そのあんたの影にいるのはなんだ？　そいつが病魔か？」
<5800> 「なあ、そのあんたの影にいるのはなんだ？　そいつが病魔か？」

// <5801> 朱音
<5801> 朱音

// <5802> 「う、五月蝿い…！」
<5802> 「う、五月蝿い…！」

// <5803> 朱音
<5803> 朱音

// <5804> 「お前らは醜さも恐ろしさも！　汚らわしさもおぞましさも知らない！　四半世紀も生きない餓鬼が何を…！」
<5804> 「お前らは醜さも恐ろしさも！　汚らわしさもおぞましさも知らない！　四半世紀も生きない餓鬼が何を…！」

// <5805> 瑚太朗
<5805> 瑚太朗

// <5806> 「その論調はさ…裏を見なけりゃ表を信じて生きていけるってことだぜ」
<5806> 「その論調はさ…裏を見なけりゃ表を信じて生きていけるってことだぜ」

// <5807> 朱音
<5807> 朱音

// <5808> 「黙れ黙れ黙れ黙れ黙れ黙れ…！」
<5808> 「黙れ黙れ黙れ黙れ黙れ黙れ…！」

// <5809> 瑚太朗
<5809> 瑚太朗

// <5810> 「問答もここまでだな…！」
<5810> 「問答もここまでだな…！」

// <5811> 元より論破したところで、会長がはいそうですかって止めてくれるわけはない。
<5811> 元より論破したところで、会長がはいそうですかって止めてくれるわけはない。

// <5812> 瑚太朗
<5812> 瑚太朗

// <5813> （…話し合いってのも、やっぱ難しいもんね…）
<5813> （…話し合いってのも、やっぱ難しいもんね…）

// <5814> ケンカ腰で言ってりゃこうはなるか…。
<5814> ケンカ腰で言ってりゃこうはなるか…。

// <5815> 朱音
<5815> 朱音

// <5816> 「あははははは！　まだ私には手に入れた力がある…！　ずたぼろの血塊になってあの世で仲良しごっこを続けるがいいわ！」
<5816> 「あははははは！　まだ私には手に入れた力がある…！　ずたぼろの血塊になってあの世で仲良しごっこを続けるがいいわ！」

// <5817> 朱音
<5817> 朱音

// <5818> 「安心なさい。常世送りになるのはあなたたちばかりじゃない…もっとたくさんお友達を送ってあげるから…！」
<5818> 「安心なさい。常世送りになるのはあなたたちばかりじゃない…もっとたくさんお友達を送ってあげるから…！」

// <5819> 巨人が振りかぶる。
<5819> 巨人が振りかぶる。

// <5820> 瑚太朗
<5820> 瑚太朗

// <5821> 「……！！」
<5821> 「……！！」

// <5822> 俺もちはやも、横っ飛びにその拳を避ける。
<5822> 俺もちはやも、横っ飛びにその拳を避ける。

// <5823> 瑚太朗
<5823> 瑚太朗

// <5824> （…鈍重だ）
<5824> （…鈍重だ）

// <5825> その間に。
<5825> その間に。

// <5826> 瑚太朗
<5826> 瑚太朗

// <5827> （こいつ相手なら、両手剣…）
<5827> （こいつ相手なら、両手剣…）

// <5828> 瞬時にオーロラを発現させる。
<5828> 瞬時にオーロラを発現させる。

// <5829> 瑚太朗
<5829> 瑚太朗

// <5830> 「ちはや！　離れててくれ！」
<5830> 「ちはや！　離れててくれ！」

// <5831> そう伝える。
<5831> そう伝える。

// <5832> そして。
<5832> そして。

// <5833> 巨人の手の先を確認する。
<5833> 巨人の手の先を確認する。

// <5834> 地面を砕いたその手に、無数の傷を確認した。
<5834> 地面を砕いたその手に、無数の傷を確認した。

// <5835> 瑚太朗
<5835> 瑚太朗

// <5836> （こいつの身体なら、間違いなくこれで斬れる…）
<5836> （こいつの身体なら、間違いなくこれで斬れる…）

// <5837> 瑚太朗
<5837> 瑚太朗

// <5838> （………）
<5838> （………）

// <5839> 瑚太朗
<5839> 瑚太朗

// <5840> （こんなのを、会長は自慢げに…）
<5840> （こんなのを、会長は自慢げに…）

// <5841> 朱音
<5841> 朱音

// <5842> 「ふん、ちょこまかと…」
<5842> 「ふん、ちょこまかと…」

// <5843> 瑚太朗
<5843> 瑚太朗

// <5844> 「会長」
<5844> 「会長」

// <5845> 朱音
<5845> 朱音

// <5846> 「………」
<5846> 「………」

// <5847> 瑚太朗
<5847> 瑚太朗

// <5848> 「わりいんだけどさ…」
<5848> 「わりいんだけどさ…」

// <5849> 巨人に飛び掛る。
<5849> 巨人に飛び掛る。

// <5850> 狙うは右の肩口。
<5850> 狙うは右の肩口。

// <5851> 巨人が向き直るよりも早く、目標に取り付き…。
<5851> 巨人が向き直るよりも早く、目標に取り付き…。

// <5852> 肩にオーロラを突き立てる。
<5852> 肩にオーロラを突き立てる。

// <5853> そしてそのまま、飛び降りざまに、胴体から肩を引き裂く。
<5853> そしてそのまま、飛び降りざまに、胴体から肩を引き裂く。

// <5854> 瑚太朗
<5854> 瑚太朗

// <5855> （次は…）
<5855> （次は…）

// <5856> 確かめるように、身体を動かす。
<5856> 確かめるように、身体を動かす。

// <5857> 今度は左だ。
<5857> 今度は左だ。

// <5858> 再び引き裂く。
<5858> 再び引き裂く。

// <5859> バランスを失った巨人が倒れる。
<5859> バランスを失った巨人が倒れる。

// <5860> 瑚太朗
<5860> 瑚太朗

// <5861> 「軟いよ、こいつ」
<5861> 「軟いよ、こいつ」

// <5862> 瑚太朗
<5862> 瑚太朗

// <5863> 「クリボイログは、もっと硬くて、動きも速くて…何より、威圧感が凄まじかった」
<5863> 「クリボイログは、もっと硬くて、動きも速くて…何より、威圧感が凄まじかった」

// <5864> 瑚太朗
<5864> 瑚太朗

// <5865> 「こいつ、そんなのない」
<5865> 「こいつ、そんなのない」

// <5866> 瑚太朗
<5866> 瑚太朗

// <5867> 「キリマンジャロだって、ミドウのフォゴだって…」
<5867> 「キリマンジャロだって、ミドウのフォゴだって…」

// <5868> 瑚太朗
<5868> 瑚太朗

// <5869> 「こいつには、速さも特別な攻撃もない」
<5869> 「こいつには、速さも特別な攻撃もない」

// <5870> 西九条さんだって、静流だって、咲夜だって…。
<5870> 西九条さんだって、静流だって、咲夜だって…。

// <5871> 瑚太朗
<5871> 瑚太朗

// <5872> 「戦ってるやつ、もっと強かったんだ」
<5872> 「戦ってるやつ、もっと強かったんだ」

// <5873> 瑚太朗
<5873> 瑚太朗

// <5874> 「今更こんなの話にならない」
<5874> 「今更こんなの話にならない」

// <5875> 朱音
<5875> 朱音

// <5876> 「………！！」
<5876> 「………！！」

// <5877> 瑚太朗
<5877> 瑚太朗

// <5878> 「知ってるか？　俺、ガイア最強の魔物とまともにやりあえたんだぜ」
<5878> 「知ってるか？　俺、ガイア最強の魔物とまともにやりあえたんだぜ」

// <5879> 瑚太朗
<5879> 瑚太朗

// <5880> 「…こんなもん、戦いも知らない、世間知らずのお嬢様のお人形遊びだよ」
<5880> 「…こんなもん、戦いも知らない、世間知らずのお嬢様のお人形遊びだよ」

// <5881> 朱音
<5881> 朱音

// <5882> 「く…こ、こんな…」
<5882> 「く…こ、こんな…」

// <5883> 瑚太朗
<5883> 瑚太朗

// <5884> 「これなら、まだ黒犬千体くらい用意してきたほうが役に立ったと思うよ」
<5884> 「これなら、まだ黒犬千体くらい用意してきたほうが役に立ったと思うよ」

// <5885> ちはや
<5885> ちはや

// <5886> 「…瑚太朗…」
<5886> 「…瑚太朗…」

// <5887> 瑚太朗
<5887> 瑚太朗

// <5888> 「ああ、なんとなくわかってたんだけどさ…俺、今、すげえ強くなってんだ」
<5888> 「ああ、なんとなくわかってたんだけどさ…俺、今、すげえ強くなってんだ」

// <5889> 瑚太朗
<5889> 瑚太朗

// <5890> 「会長さ…いつもなんかに頼ってばっかりだったろ」
<5890> 「会長さ…いつもなんかに頼ってばっかりだったろ」

// <5891> 瑚太朗
<5891> 瑚太朗

// <5892> 「自分で強くなろうって思ったこと、あったか？」
<5892> 「自分で強くなろうって思ったこと、あったか？」

// <5893> 瑚太朗
<5893> 瑚太朗

// <5894> 「…変えられるんだぜ、自分だって」
<5894> 「…変えられるんだぜ、自分だって」

// <5895> それがきっと、決定的な差。
<5895> それがきっと、決定的な差。

// <5896> 朱音
<5896> 朱音

// <5897> 「なら…」
<5897> 「なら…」

// <5898> 瑚太朗
<5898> 瑚太朗

// <5899> 「！？」
<5899> 「！？」

// <5900> 瞬間、会長の足元に赤い光が浮き上がる。
<5900> 瞬間、会長の足元に赤い光が浮き上がる。

// <5901> 瑚太朗
<5901> 瑚太朗

// <5902> （何を…）
<5902> （何を…）

// <5903> 瑚太朗
<5903> 瑚太朗

// <5904> （…いや）
<5904> （…いや）

// <5905> 見覚えがある。
<5905> 見覚えがある。

// <5906> 朱音
<5906> 朱音

// <5907> 「…！！」
<5907> 「…！！」

// <5908> ？？？
<5908> ？？？

// <5909> 「そこまでよ」
<5909> 「そこまでよ」

// <5910> ちはや
<5910> ちはや

// <5911> 「あっ…」
<5911> 「あっ…」

// <5912> 瑚太朗
<5912> 瑚太朗

// <5913> 「西九条さん…」
<5913> 「西九条さん…」

// <5914> 西九条
<5914> 西九条

// <5915> 「間に合ったみたいね」
<5915> 「間に合ったみたいね」

// <5916> 静流
<5916> 静流

// <5917> 「………」
<5917> 「………」

// <5918> 朱音
<5918> 朱音

// <5919> 「ガーディアン…！」
<5919> 「ガーディアン…！」

// <5920> 静流
<5920> 静流

// <5921> 「…外の魔物たちはみんな騎士団の人たちが片付けている」
<5921> 「…外の魔物たちはみんな騎士団の人たちが片付けている」

// <5922> 瑚太朗
<5922> 瑚太朗

// <5923> 「…静流」
<5923> 「…静流」

// <5924> 静流
<5924> 静流

// <5925> 「コタロー」
<5925> 「コタロー」

// <5926> 静流
<5926> 静流

// <5927> 「やっぱり、こうするのがいいと思ったんだ」
<5927> 「やっぱり、こうするのがいいと思ったんだ」

// <5928> ちはや
<5928> ちはや

// <5929> 「来てくれたんですね…」
<5929> 「来てくれたんですね…」

// <5930> 静流
<5930> 静流

// <5931> 「間に合って良かった」
<5931> 「間に合って良かった」

// <5932> 瑚太朗
<5932> 瑚太朗

// <5933> 「ああ、助かるよ」
<5933> 「ああ、助かるよ」

// <5934> 朱音
<5934> 朱音

// <5935> 「…ふ」
<5935> 「…ふ」

// <5936> 朱音
<5936> 朱音

// <5937> 「負けね…」
<5937> 「負けね…」

// <5938> 朱音
<5938> 朱音

// <5939> 「結局こうして、弱いものが淘汰されていく…」
<5939> 「結局こうして、弱いものが淘汰されていく…」

// <5940> 朱音
<5940> 朱音

// <5941> 「そんな世の中を崩したかったのに」
<5941> 「そんな世の中を崩したかったのに」

// <5942> 数歩、後ずさる。
<5942> 数歩、後ずさる。

// <5943> 
<5943> 

// <5944> 朱音
<5944> 朱音

// <5945> 「ほんの、泡沫の夢だったわ」
<5945> 「ほんの、泡沫の夢だったわ」

// <5946> 背後には、光の柱が。
<5946> 背後には、光の柱が。

// <5947> 会長はそれに、身を…。
<5947> 会長はそれに、身を…。

// <5948> 瑚太朗
<5948> 瑚太朗

// <5949> 「…！！」
<5949> 「…！！」

// <5950> 息を飲む。
<5950> 息を飲む。

// <5951> 俺も、静流も、西九条さんも、弾かれた様に会長へ向かって駆け、手を伸ばす。
<5951> 俺も、静流も、西九条さんも、弾かれた様に会長へ向かって駆け、手を伸ばす。

// <5952> けど、誰よりも速く飛び出して、
<5952> けど、誰よりも速く飛び出して、

// <5953> …一番、この中じゃ、遅くて、遠かったはずなのに。
<5953> …一番、この中じゃ、遅くて、遠かったはずなのに。

// <5954> 千里朱音の手をつかんだのは…。
<5954> 千里朱音の手をつかんだのは…。

// <5955> ちはや
<5955> ちはや

// <5956> 「いい加減にしてください…」
<5956> 「いい加減にしてください…」

// <5957> ちはや
<5957> ちはや

// <5958> 「朱音さん…！！」
<5958> 「朱音さん…！！」

// <5959> 掴んだのは、ちはやの手だった。
<5959> 掴んだのは、ちはやの手だった。

// <5960> 朱音
<5960> 朱音

// <5961> 「は、離しなさい…！」
<5961> 「は、離しなさい…！」

// <5962> 朱音
<5962> 朱音

// <5963> 「もう何もないじゃない！」
<5963> 「もう何もないじゃない！」

// <5964> 朱音
<5964> 朱音

// <5965> 「こんな思いを抱えてどう生きろというの！」
<5965> 「こんな思いを抱えてどう生きろというの！」

// <5966> ちはや
<5966> ちはや

// <5967> 「………！」
<5967> 「………！」

// <5968> ぐ、と引っ張りあげる。
<5968> ぐ、と引っ張りあげる。

// <5969> ちはや
<5969> ちはや

// <5970> 「朱音さん…」
<5970> 「朱音さん…」

// <5971> ちはや
<5971> ちはや

// <5972> 「どんな思いがあったって生きれば生きられるんです！」
<5972> 「どんな思いがあったって生きれば生きられるんです！」

// <5973> ちはや
<5973> ちはや

// <5974> 「何があったって、何か見つけられるんです！」
<5974> 「何があったって、何か見つけられるんです！」

// <5975> 朱音
<5975> 朱音

// <5976> 「………」
<5976> 「………」

// <5977> ちはや
<5977> ちはや

// <5978> 「どんなものを見て、朱音さんがどんな思いなのか、私にははっきりとはわからないですけど……」
<5978> 「どんなものを見て、朱音さんがどんな思いなのか、私にははっきりとはわからないですけど……」

// <5979> ちはや
<5979> ちはや

// <5980> 「いやなことばっかりじゃなかったはずです…！」
<5980> 「いやなことばっかりじゃなかったはずです…！」

// <5981> ちはや
<5981> ちはや

// <5982> 「私に言ったのは朱音さんじゃないですか…」
<5982> 「私に言ったのは朱音さんじゃないですか…」

// <5983> ちはや
<5983> ちはや

// <5984> 「友達、作っていいって！」
<5984> 「友達、作っていいって！」

// <5985> ちはや
<5985> ちはや

// <5986> 「出来るんですよ、何があっても！　きっと、どこかでは！」
<5986> 「出来るんですよ、何があっても！　きっと、どこかでは！」

// <5987> 朱音
<5987> 朱音

// <5988> 「…そんなことだけじゃない…私、ガイアの聖女で…」
<5988> 「…そんなことだけじゃない…私、ガイアの聖女で…」

// <5989> 朱音
<5989> 朱音

// <5990> 「そうしなければならなくて…そうしてきた人たちのことはどうすればいいの！？」
<5990> 「そうしなければならなくて…そうしてきた人たちのことはどうすればいいの！？」

// <5991> ちはや
<5991> ちはや

// <5992> 「今ここで生きてる朱音さんにはそんなの関係ないです！」
<5992> 「今ここで生きてる朱音さんにはそんなの関係ないです！」

// <5993> ちはや
<5993> ちはや

// <5994> 「逃げたって…逃げてる道だって、それは歩いていってる道になるんです！」
<5994> 「逃げたって…逃げてる道だって、それは歩いていってる道になるんです！」

// <5995> ちはや
<5995> ちはや

// <5996> 「そうするしかないんだったら…今あなたを掴んでる私の手はなんなんですか…」
<5996> 「そうするしかないんだったら…今あなたを掴んでる私の手はなんなんですか…」

// <5997> ちはや
<5997> ちはや

// <5998> 「あなたに駆け寄った周りのみんなはなんなんですか！」
<5998> 「あなたに駆け寄った周りのみんなはなんなんですか！」

// <5999> ちはや
<5999> ちはや

// <6000> 「朱音さん…オカ研の時だって…」
<6000> 「朱音さん…オカ研の時だって…」

// <6001> ちはや
<6001> ちはや

// <6002> 「本当はみんなの中に入りたいって思ってたんじゃないですかぁ…」
<6002> 「本当はみんなの中に入りたいって思ってたんじゃないですかぁ…」

// <6003> 会長の胸に顔を押し付け、ちはやは続ける。
<6003> 会長の胸に顔を押し付け、ちはやは続ける。

// <6004> ちはや
<6004> ちはや

// <6005> 「二人でいたとき、たまに隠し切れなくて…笑いながら瑚太朗のこととか話してたじゃないですかぁ…」
<6005> 「二人でいたとき、たまに隠し切れなくて…笑いながら瑚太朗のこととか話してたじゃないですかぁ…」

// <6006> ちはや
<6006> ちはや

// <6007> 「いいんですか、そんなのなくしてもっ！」
<6007> 「いいんですか、そんなのなくしてもっ！」

// <6008> ちはや
<6008> ちはや

// <6009> 「あるじゃないですか、朱音さんにもっ！」
<6009> 「あるじゃないですか、朱音さんにもっ！」

// <6010> 朱音
<6010> 朱音

// <6011> 「だって…だって…」
<6011> 「だって…だって…」

// <6012> ちはや
<6012> ちはや

// <6013> 「だっても何もないですっ！」
<6013> 「だっても何もないですっ！」

// <6014> ちはや
<6014> ちはや

// <6015> 「いいんです、私たちは！　歩いててもっ！」
<6015> 「いいんです、私たちは！　歩いててもっ！」

// <6016> ちはや
<6016> ちはや

// <6017> 「私たちは…私はっ！　そうして欲しいんですっ！」
<6017> 「私たちは…私はっ！　そうして欲しいんですっ！」

// <6018> 瑚太朗
<6018> 瑚太朗

// <6019> 「…ちはや」
<6019> 「…ちはや」

// <6020> ちはやは、会長の肩を何度も揺らしながら、叫び続けた。
<6020> ちはやは、会長の肩を何度も揺らしながら、叫び続けた。

// <6021> それが…。
<6021> それが…。

// <6022> だんだんと、会長の影を取り去って行くようで。
<6022> だんだんと、会長の影を取り去って行くようで。

// <6023> 朱音
<6023> 朱音

// <6024> 「う…」
<6024> 「う…」

// <6025> 朱音
<6025> 朱音

// <6026> 「うわあああああぁぁぁーーっ！！」
<6026> 「うわあああああぁぁぁーーっ！！」

// <6027> その影が抜けた後の『千里朱音』は、ただ…感情を迸らせるように、泣きじゃくっていた。
<6027> その影が抜けた後の『千里朱音』は、ただ…感情を迸らせるように、泣きじゃくっていた。

// <6028> …そうなんだ。
<6028> …そうなんだ。

// <6029> きっと、誰かがいれば…。
<6029> きっと、誰かがいれば…。

// <6030> 何かがあれば…。
<6030> 何かがあれば…。

// <6031> 歩いていける道だって、あるよな。
<6031> 歩いていける道だって、あるよな。

// <6032> 静流
<6032> 静流

// <6033> 「………」
<6033> 「………」

// <6034> 静流が二人に歩み寄る。
<6034> 静流が二人に歩み寄る。

// <6035> 静流
<6035> 静流

// <6036> 「…ちー」
<6036> 「…ちー」

// <6037> ちはや
<6037> ちはや

// <6038> 「はい…？」
<6038> 「はい…？」

